date,freq
2017,1.9094316085e-05
2016,5.70346054617e-06
2015,9.23988117513e-06
2014,5.22043758322e-06
2013,6.96244969252e-06
2012,8.9640005737e-06
2011,5.88641976471e-06
2010,1.66934591805e-05
2009,2.79343263986e-05
2008,2.73072713471e-05
2007,2.61614309785e-05
2006,2.86339372259e-05
2005,2.81518057976e-05
2004,2.93814609197e-05
2003,3.06087341434e-05
2002,4.29680443204e-05
2001,4.12175399606e-05
2000,5.08718510324e-05
1999,5.30596399196e-05
1998,4.63696384312e-05
1997,3.28629633758e-05
1996,3.06272779038e-05
1995,2.54549145926e-05
1994,2.77044206425e-05
1993,3.00996131509e-05
1992,2.86769262796e-05
1991,8.85429697767e-06
1990,1.24357476011e-05
1989,1.24657969696e-05
1988,1.37184911812e-05
1987,1.22427969226e-05
1986,1.14911408909e-05
1985,1.49620049764e-05
1984,1.98832103216e-05
1983,1.34777536771e-05
1982,1.81770758798e-05
1981,1.75849644381e-05
1980,2.19430110527e-05
1979,2.83744960571e-05
1978,2.02151370261e-05
1977,4.38030987181e-05
1976,3.37239146331e-05
1975,2.55941562316e-05
1974,2.45413870321e-05
1973,4.01022642013e-05
1972,2.83041364373e-05
1971,2.30734388511e-05
1970,2.27010420499e-05
1969,3.00358005029e-05
1968,3.33091715668e-05
1967,2.88432399874e-05
1966,3.1470921239e-05
1965,2.03303048998e-05
1964,3.66695469165e-05
1963,2.80585848084e-05
1962,2.21221585596e-05
1961,3.0025546393e-05
1960,3.16756674927e-05
1959,1.92827869945e-05
1958,3.28558996442e-05
1957,3.4781337655e-05
1956,3.46316194678e-05
1955,3.82482310193e-05
1954,2.97952965438e-05
1953,7.44597652035e-05
1952,2.978644185e-05
1951,3.36763722708e-05
1950,4.84253936516e-05
1949,5.38318911296e-05
1948,2.7303321886e-05
1947,3.62919388562e-05
1946,3.24950016779e-05
1945,4.74252751334e-05
1944,3.82867521997e-05
1943,3.55412337547e-05
1942,4.00903592152e-05
1941,4.74286686773e-05
1940,3.57074438118e-05
1939,4.1922955669e-05
1938,3.96036989855e-05
1937,7.48780539091e-05
1936,5.99927837252e-05
1935,5.98976310702e-05
1934,5.30470433912e-05
1933,5.25050923738e-05
1932,8.54700854701e-05
1931,7.26426530418e-05
1930,5.55044115166e-05
1929,6.41169226209e-05
1928,6.74512410825e-05
1927,8.17106234428e-05
1926,5.49531761041e-05
1925,6.32479470771e-05
1924,6.06843902145e-05
1923,6.7258884542e-05
1922,9.16450459762e-05
1921,8.092304057e-05
1920,7.48643414096e-05
1919,7.55350851478e-05
1918,8.38522152939e-05
1917,6.84219417663e-05
1916,7.08989935202e-05
1915,7.89345832421e-05
1914,5.15415486625e-05
1913,7.23788016966e-05
1912,7.41402903757e-05
1911,6.28772959877e-05
1910,6.58732377652e-05
1909,6.8373837062e-05
1908,7.38778744195e-05
1907,7.2372226564e-05
1906,7.5714113357e-05
1905,5.09765514236e-05
1904,7.74840025084e-05
1903,6.26502218536e-05
1902,5.82013987508e-05
1901,8.97915260104e-05
1900,7.99366502047e-05
1899,6.31649236156e-05
1898,6.79044617187e-05
1897,6.34521874818e-05
1896,8.11720999537e-05
1895,6.70278283772e-05
1894,7.68810008142e-05
1893,8.08842495438e-05
1892,7.58474668874e-05
1891,8.09711093846e-05
1890,9.50410216713e-05
1889,6.79483510171e-05
1888,7.29276854735e-05
1887,7.8723610078e-05
1886,7.291464126e-05
1885,6.17154774614e-05
1884,8.41140530947e-05
1883,6.77403391581e-05
1882,6.95771979678e-05
1881,6.79741530035e-05
1880,7.93390565112e-05
1879,5.98668115646e-05
1878,7.0665274299e-05
1877,7.7055811145e-05
1876,5.23999831298e-05
1875,6.85010907481e-05
1874,5.94301459415e-05
1873,5.40812907753e-05
1872,6.00934453075e-05
1871,7.37739339667e-05
1870,9.41327821336e-05
1869,7.99180195799e-05
1868,5.43534147166e-05
1867,4.28506295614e-05
1866,9.47238798901e-05
1865,0.000120237441199
1864,7.50707072224e-05
1863,6.58033972338e-05
1862,8.16720883032e-05
1861,7.45721002046e-05
1860,0.000103395170901
1859,0.000130118208778
1858,8.21892288276e-05
1857,9.86070000405e-05
1856,8.88744562849e-05
1855,9.30118282967e-05
1854,8.90818996715e-05
1853,0.000104307506401
1852,0.00011693490234
1851,7.7900084674e-05
1850,6.00736674802e-05
1849,6.06634151076e-05
1848,6.37578900389e-05
1847,0.000107317656745
1846,0.000134318334453
1845,7.52449397778e-05
1844,0.00013569015659
1843,7.03505679883e-05
1842,7.08066476022e-05
1841,9.92430898973e-05
1840,9.44386609916e-05
1839,6.80472150462e-05
1838,8.73662886255e-05
1837,5.77869004031e-05
1836,0.000105759019261
1835,7.38114724737e-05
1834,6.85987968187e-05
1833,5.49143994342e-05
1832,6.19917506692e-05
1831,5.6882691962e-05
1830,5.91089104409e-05
1829,3.82743071752e-05
1828,4.43072945445e-05
1827,5.6652088196e-05
1826,3.22345644788e-05
1825,2.26244343891e-05
1824,4.97373865988e-05
1823,4.05247961096e-05
1822,3.09337347845e-05
1821,5.55796400663e-05
1820,6.60140081725e-05
1819,4.11355769852e-05
1818,1.17306180863e-05
1817,2.40684023996e-05
1816,2.66654222803e-05
1815,2.60693313868e-05
1814,0.000123795437812
1813,5.44887013786e-05
1812,2.59612139464e-05
