date,freq
2017,4.05030947257e-06
2016,1.99621119116e-06
2015,2.88746286723e-07
2014,9.21253691156e-07
2013,3.32986724425e-06
2012,5.97600038246e-07
2011,1.17728395294e-06
2010,2.34294163937e-06
2009,1.39671631993e-06
2008,2.75831023708e-06
2007,5.74976505023e-07
2006,5.95359090836e-06
2005,5.63036115952e-07
2004,1.97759833113e-06
2003,2.35451801103e-06
2002,2.19544752002e-06
2001,1.96273999812e-06
2000,6.16628497363e-07
1999,0.0
1998,6.35200526454e-07
1997,6.44371830899e-07
1996,1.56261621958e-06
1995,1.8401143079e-06
1994,1.78738197693e-06
1993,5.52286479834e-07
1992,1.59316257109e-06
1991,2.27681922283e-06
1990,1.74100466415e-06
1989,2.59704103533e-06
1988,1.61394013896e-06
1987,1.66947230763e-06
1986,1.12108691619e-06
1985,1.97611386481e-06
1984,1.88084421961e-06
1983,2.86760716535e-06
1982,1.73115008379e-06
1981,2.38440195771e-06
1980,2.62006102122e-06
1979,5.06687429592e-06
1978,1.02788832336e-06
1977,2.34062359563e-06
1976,9.72805229801e-07
1975,3.11280278492e-06
1974,3.02565045602e-06
1973,3.08478955394e-06
1972,3.89181876012e-06
1971,3.54975982325e-06
1970,3.24300600713e-06
1969,1.44750845797e-06
1968,3.7851331326e-07
1967,1.12376259691e-06
1966,0.0
1965,3.12773921536e-06
1964,1.17030468883e-06
1963,3.79170064978e-07
1962,8.04442129439e-07
1961,2.46785312819e-06
1960,8.227446102e-07
1959,2.05136031857e-06
1958,4.32314469003e-07
1957,1.7610803876e-06
1956,4.43995121382e-07
1955,4.66441841699e-07
1954,4.88447484324e-07
1953,0.0
1952,0.0
1951,1.10414335314e-06
1950,0.0
1949,0.0
1948,0.0
1947,0.0
1946,0.0
1945,0.0
1944,0.0
1943,0.0
1942,1.11362108931e-06
1941,2.23193734952e-06
1940,4.53427857927e-06
1939,3.91280919577e-06
1938,0.0
1937,3.07718029764e-06
1936,0.0
1935,4.30918209138e-07
1934,8.48752694259e-07
1933,4.13425924203e-07
1932,8.50448611643e-07
1931,8.25484693656e-07
1930,0.0
1929,1.66537461353e-06
1928,1.62533111042e-06
1927,0.0
1926,0.0
1925,0.0
1924,1.38971885987e-06
1923,1.01907400821e-06
1922,0.0
1921,8.092304057e-07
1920,8.8075695776e-07
1919,3.59690881656e-06
1918,1.4841100052e-06
1917,0.0
1916,2.85883038388e-06
1915,0.0
1914,2.1475645276e-06
1913,1.67028003915e-06
1912,1.58872050805e-06
1911,2.06155068812e-06
1910,2.01139657298e-06
1909,1.03596722821e-06
1908,1.4874739816e-06
1907,0.0
1906,6.15561897211e-07
1905,6.37206892794e-07
1904,6.56644089054e-07
1903,6.52606477641e-07
1902,0.0
1901,6.85431496263e-07
1900,0.0
1899,0.0
1898,6.59266618628e-07
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,2.5475354187e-06
1892,6.42775143114e-07
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,1.35027113444e-06
1885,7.09373304154e-07
1884,1.39031492719e-06
1883,1.42611240333e-06
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,1.27804836902e-06
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,1.85733097824e-06
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,5.65610859729e-06
1824,0.0
1823,5.0655995137e-06
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
