date,freq
2017,1.73584691682e-06
2016,0.0
2015,2.88746286723e-07
2014,0.0
2013,9.08145612067e-07
2012,5.97600038246e-07
2011,0.0
2010,0.0
2009,2.79343263986e-07
2008,2.75831023708e-07
2007,2.87488252511e-07
2006,8.50512986908e-07
2005,1.68910834785e-06
2004,2.82514047305e-07
2003,2.94314751379e-07
2002,2.50908288003e-06
2001,1.30849333208e-06
2000,1.23325699473e-06
1999,8.84327331993e-07
1998,3.17600263227e-06
1997,1.2887436618e-06
1996,1.56261621958e-06
1995,9.2005715395e-07
1994,1.19158798462e-06
1993,4.14214859875e-06
1992,5.31054190363e-07
1991,1.77085939553e-06
1990,1.24357476011e-06
1989,0.0
1988,3.76586032424e-06
1987,0.0
1986,3.64353247761e-06
1985,5.64603961374e-07
1984,4.29907250198e-06
1983,1.14704286614e-06
1982,0.0
1981,1.19220097886e-06
1980,2.94756864887e-06
1979,1.35116647891e-06
1978,1.02788832336e-06
1977,3.34374799375e-07
1976,6.48536819867e-07
1975,1.03760092831e-06
1974,2.35328368801e-06
1973,0.0
1972,3.53801705466e-07
1971,3.54975982325e-07
1970,3.60334000792e-07
1969,1.80938557247e-06
1968,0.0
1967,3.74587532303e-07
1966,3.70246132224e-07
1965,0.0
1964,3.90101562942e-07
1963,3.79170064978e-07
1962,0.0
1961,4.11308854698e-07
1960,0.0
1959,1.23081619114e-06
1958,0.0
1957,0.0
1956,4.43995121382e-07
1955,9.32883683398e-07
1954,1.46534245297e-06
1953,0.0
1952,5.31900747321e-07
1951,0.0
1950,5.20703157544e-07
1949,5.07848029524e-07
1948,0.0
1947,1.62501218759e-06
1946,5.90818212326e-07
1945,6.67961621597e-07
1944,1.29785600677e-06
1943,0.0
1942,0.0
1941,2.23193734952e-06
1940,1.13356964482e-06
1939,5.58972742253e-07
1938,2.75025687399e-06
1937,1.53859014882e-06
1936,3.42815907001e-06
1935,3.01642746397e-06
1934,4.2437634713e-07
1933,1.65370369681e-06
1932,2.12612152911e-06
1931,2.06371173414e-06
1930,2.16814107487e-06
1929,1.24903096015e-06
1928,1.21899833282e-06
1927,1.84656776142e-06
1926,1.42120283028e-06
1925,4.5831845708e-07
1924,1.85295847983e-06
1923,5.09537004106e-07
1922,6.9603832387e-06
1921,8.092304057e-07
1920,2.64227087328e-06
1919,4.4961360207e-06
1918,4.45233001561e-06
1917,2.42201563774e-06
1916,0.0
1915,5.55877346775e-07
1914,5.36891131901e-07
1913,0.0
1912,5.29573502684e-07
1911,0.0
1910,5.02849143246e-07
1909,5.17983614106e-07
1908,4.95824660534e-07
1907,1.08018248603e-06
1906,3.07780948606e-06
1905,1.27441378559e-06
1904,1.31328817811e-06
1903,6.52606477641e-07
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,1.25848216982e-06
1895,1.31427114465e-06
1894,1.26034427564e-06
1893,6.36883854676e-07
1892,0.0
1891,6.18100071638e-07
1890,1.31091064374e-06
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,7.09373304154e-07
1884,0.0
1883,0.0
1882,1.37776629639e-06
1881,0.0
1880,0.0
1879,0.0
1878,5.6083551031e-06
1877,1.26321001877e-06
1876,5.11219347607e-06
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,1.30739975186e-06
1869,2.57800063161e-06
1868,1.46901120856e-06
1867,0.0
1866,1.85733097824e-06
1865,1.84980678768e-06
1864,0.0
1863,3.55694039101e-06
1862,0.0
1861,0.0
1860,0.0
1859,1.80719734414e-06
1858,0.0
1857,0.0
1856,6.8364966373e-06
1855,1.75494015654e-06
1854,2.22704749179e-06
1853,0.0
1852,0.0
1851,3.38696020322e-06
1850,3.43278099887e-06
1849,3.46648086329e-06
1848,0.0
1847,0.0
1846,2.06643591466e-06
1845,0.0
1844,4.05045243554e-06
1843,0.0
1842,4.56817081304e-06
1841,2.42056316823e-06
1840,0.0
1839,2.43025768022e-06
1838,1.36509825977e-05
1837,6.93442804837e-06
1836,0.0
1835,0.0
1834,2.07875141875e-06
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,2.39214419845e-06
1828,0.0
1827,5.6652088196e-06
1826,1.28938257915e-05
1825,1.13122171946e-05
1824,9.94747731975e-06
1823,1.01311990274e-05
1822,1.03112449282e-05
1821,0.0
1820,0.0
1819,1.17530219958e-05
1818,0.0
1817,1.20342011998e-05
1816,0.0
1815,6.51733284671e-06
1814,1.30310987171e-05
1813,0.0
1812,6.49030348659e-06
