date,freq
2017,0.0
2016,0.0
2015,0.0
2014,0.0
2013,0.0
2012,0.0
2011,0.0
2010,2.92867704922e-07
2009,0.0
2008,0.0
2007,0.0
2006,0.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,0.0
2000,0.0
1999,0.0
1998,0.0
1997,0.0
1996,0.0
1995,0.0
1994,0.0
1993,2.76143239917e-07
1992,0.0
1991,2.52979913648e-07
1990,0.0
1989,0.0
1988,0.0
1987,0.0
1986,2.80271729047e-07
1985,0.0
1984,0.0
1983,0.0
1982,2.88525013965e-07
1981,0.0
1980,0.0
1979,0.0
1978,0.0
1977,1.00312439813e-06
1976,0.0
1975,0.0
1974,0.0
1973,1.02826318465e-06
1972,3.53801705466e-07
1971,0.0
1970,0.0
1969,1.80938557247e-06
1968,0.0
1967,0.0
1966,0.0
1965,0.0
1964,7.80203125884e-07
1963,0.0
1962,0.0
1961,0.0
1960,0.0
1959,0.0
1958,0.0
1957,0.0
1956,0.0
1955,0.0
1954,0.0
1953,0.0
1952,0.0
1951,0.0
1950,0.0
1949,0.0
1948,0.0
1947,5.41670729197e-07
1946,0.0
1945,0.0
1944,0.0
1943,0.0
1942,1.11362108931e-06
1941,2.7899216869e-06
1940,5.66784822409e-06
1939,2.23589096901e-06
1938,1.1001027496e-06
1937,6.66722397821e-06
1936,9.42743744252e-06
1935,3.87826388225e-06
1934,4.2437634713e-07
1933,4.13425924203e-07
1932,1.27567291746e-06
1931,4.95290816194e-06
1930,1.7345128599e-06
1929,1.66537461353e-06
1928,2.43799666563e-06
1927,1.84656776142e-06
1926,4.73734276759e-07
1925,0.0
1924,4.63239619958e-07
1923,5.09537004106e-06
1922,2.32012774623e-06
1921,0.0
1920,1.76151391552e-06
1919,1.79845440828e-06
1918,7.42055002601e-07
1917,3.63302345662e-06
1916,1.14353215355e-06
1915,1.11175469355e-06
1914,0.0
1913,0.0
1912,1.05914700537e-06
1911,0.0
1910,0.0
1909,1.03596722821e-06
1908,0.0
1907,2.70045621507e-06
1906,6.15561897211e-07
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,1.37086299253e-06
1900,0.0
1899,1.93362011068e-06
1898,0.0
1897,0.0
1896,1.25848216982e-06
1895,1.31427114465e-06
1894,1.89051641346e-06
1893,1.27376770935e-06
1892,6.42775143114e-07
1891,6.18100071638e-07
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,2.08547239078e-06
1883,0.0
1882,0.0
1881,0.0
1880,7.02115544347e-07
1879,0.0
1878,1.12167102062e-06
1877,2.52642003754e-06
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,1.30739975186e-06
1869,1.28900031581e-06
1868,0.0
1867,3.42805036492e-06
1866,3.71466195648e-06
1865,0.0
1864,5.63030304168e-06
1863,3.55694039101e-06
1862,5.21311201935e-06
1861,3.38964091839e-06
1860,0.0
1859,0.0
1858,1.82642730728e-06
1857,3.52167857287e-06
1856,8.54562079662e-06
1855,7.01976062616e-06
1854,2.22704749179e-06
1853,2.16487277436e-05
1852,0.0
1851,0.0
1850,1.71639049944e-06
1849,3.46648086329e-06
1848,0.0
1847,1.75930584828e-06
1846,0.0
1845,5.24964696124e-06
1844,0.0
1843,1.85133073653e-06
1842,2.28408540652e-06
1841,4.84112633645e-06
1840,2.19624793004e-06
1839,2.43025768022e-06
1838,0.0
1837,4.62295203225e-06
1836,4.40662580256e-06
1835,2.17092566099e-06
1834,6.23625425624e-06
1833,2.19657597737e-06
1832,0.0
1831,2.27530767848e-06
1830,2.27341963234e-06
1829,7.17643259536e-06
1828,5.21262288758e-06
1827,5.6652088196e-06
1826,1.28938257915e-05
1825,5.65610859729e-06
1824,0.0
1823,0.0
1822,0.0
1821,5.55796400663e-06
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,6.66635557007e-06
1815,0.0
1814,0.0
1813,0.0
1812,0.0
