date,freq
2017,1.33081596956e-05
2016,1.482899742e-05
2015,1.27048366158e-05
2014,1.56613127497e-05
2013,1.57411906092e-05
2012,2.03184013004e-05
2011,2.35456790589e-05
2010,1.84506654101e-05
2009,1.70399391032e-05
2008,2.09631578018e-05
2007,1.14995301005e-05
2006,2.06958160148e-05
2005,2.3365998812e-05
2004,2.14710675952e-05
2003,2.35451801103e-05
2002,1.85044862402e-05
2001,2.64969899747e-05
2000,1.38741411907e-05
1999,1.47387888666e-05
1998,1.20688100026e-05
1997,1.70758535188e-05
1996,1.78138249032e-05
1995,1.38008573093e-05
1994,1.54906438001e-05
1993,1.85015970744e-05
1992,3.26598327073e-05
1991,3.81999669608e-05
1990,3.63123829952e-05
1989,1.94778077649e-05
1988,2.47470821307e-05
1987,3.61718999986e-05
1986,2.21414665947e-05
1985,2.14549505322e-05
1984,2.20327465726e-05
1983,2.92495930865e-05
1982,2.33705261311e-05
1981,3.06991752056e-05
1980,2.16155034251e-05
1979,1.45250396483e-05
1978,1.54183248504e-05
1977,1.90593635644e-05
1976,1.88075677762e-05
1975,1.03760092831e-05
1974,1.27749685921e-05
1973,1.64522109544e-05
1972,1.48596716296e-05
1971,9.22937554045e-06
1970,1.44133600317e-05
1969,1.33894532362e-05
1968,1.66545857834e-05
1967,1.46089137598e-05
1966,3.29519057679e-05
1965,1.91574026941e-05
1964,2.34060937765e-05
1963,1.89585032489e-05
1962,2.17199374948e-05
1961,1.89202073161e-05
1960,1.48094029836e-05
1959,1.64108825485e-05
1958,2.33449813262e-05
1957,2.06926945543e-05
1956,1.99797804622e-05
1955,1.77247899846e-05
1954,2.14916893103e-05
1953,2.57932519986e-05
1952,2.23398313875e-05
1951,1.71142219737e-05
1950,2.08281263018e-05
1949,1.16805046791e-05
1948,2.1296591071e-05
1947,2.81668779183e-05
1946,1.18163642465e-05
1945,1.87029254047e-05
1944,2.20635521151e-05
1943,1.71124458819e-05
1942,1.89315585183e-05
1941,1.89714674709e-05
1940,2.26713928964e-05
1939,1.56512367831e-05
1938,3.13529283635e-05
1937,3.48747100399e-05
1936,4.28519883751e-05
1935,2.71478471757e-05
1934,3.39501077704e-05
1933,2.93532406184e-05
1932,3.44431687715e-05
1931,3.59085841741e-05
1930,2.86194621883e-05
1929,4.37160836051e-05
1928,5.28232610887e-05
1927,5.40121070215e-05
1926,2.46341823915e-05
1925,3.34572473668e-05
1924,3.24267733971e-05
1923,5.55395334475e-05
1922,6.14833852752e-05
1921,3.2369216228e-05
1920,4.84416326768e-05
1919,4.67598146153e-05
1918,3.85868601352e-05
1917,4.7229304936e-05
1916,2.97318359923e-05
1915,3.55761501936e-05
1914,3.2213467914e-05
1913,3.3405600783e-05
1912,3.23039836637e-05
1911,3.35001986819e-05
1910,3.2685194311e-05
1909,1.91653937219e-05
1908,2.37995837056e-05
1907,1.99833759915e-05
1906,2.64691615801e-05
1905,2.03906205694e-05
1904,2.16692549388e-05
1903,1.69677684187e-05
1902,2.8073615868e-05
1901,2.46755338655e-05
1900,1.43636168337e-05
1899,2.25589012913e-05
1898,1.58223988471e-05
1897,3.17260937409e-05
1896,1.51017860379e-05
1895,1.77426604528e-05
1894,1.70146477212e-05
1893,2.67491218964e-05
1892,2.18543548659e-05
1891,1.66887019342e-05
1890,2.94954894842e-05
1889,3.29446550386e-05
1888,1.84089303137e-05
1887,1.93473279005e-05
1886,1.35027113444e-05
1885,1.70249592997e-05
1884,1.66837791262e-05
1883,1.64002926383e-05
1882,1.37776629639e-05
1881,3.013287195e-05
1880,1.75528886087e-05
1879,3.24701350859e-05
1878,1.34600522474e-05
1877,1.76849402628e-05
1876,1.66146287972e-05
1875,1.18559580141e-05
1874,1.48575364854e-05
1873,9.23339110798e-06
1872,1.36576012062e-05
1871,1.70247539923e-05
1870,1.56887970223e-05
1869,1.03120025264e-05
1868,2.05661569198e-05
1867,2.39963525544e-05
1866,2.78599646736e-05
1865,2.40474882399e-05
1864,9.3838384028e-06
1863,1.42277615641e-05
1862,3.4754080129e-05
1861,2.03378455103e-05
1860,1.45116029335e-05
1859,1.98791707856e-05
1858,2.00907003801e-05
1857,1.93692321508e-05
1856,4.78554764611e-05
1855,2.80790425047e-05
1854,6.68114247536e-06
1853,2.16487277436e-05
1852,2.7284810546e-05
1851,5.08044030483e-06
1850,2.40294669921e-05
1849,8.66620215823e-06
1848,1.06263150065e-05
1847,1.05558350897e-05
1846,1.44650514026e-05
1845,6.99952928166e-06
1844,2.02522621777e-05
1843,3.14726225211e-05
1842,2.74090248783e-05
1841,1.45233790094e-05
1840,1.97662313703e-05
1839,9.72103072089e-06
1838,5.46039303909e-06
1837,6.93442804837e-06
1836,4.40662580256e-06
1835,8.68370264397e-06
1834,1.03937570937e-05
1833,1.75726078189e-05
1832,0.0
1831,1.36518460709e-05
1830,1.13670981617e-05
1829,0.000102862200533
1828,0.00022674909561
1827,0.0
1826,1.93407386873e-05
1825,1.69683257919e-05
1824,0.0
1823,1.51967985411e-05
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,5.86530904313e-06
1817,6.0171005999e-06
1816,0.0
1815,1.30346656934e-05
1814,0.0
1813,0.0
1812,3.89418209195e-05
