date,freq
2017,1.04150815009e-05
2016,3.4220763277e-06
2015,4.33119430084e-06
2014,4.29918389206e-06
2013,3.93529765229e-06
2012,2.98800019123e-06
2011,3.82617284706e-06
2010,5.27161868859e-06
2009,6.1455518077e-06
2008,9.10242378237e-06
2007,6.03725330274e-06
2006,6.80410389526e-06
2005,8.44554173927e-06
2004,5.36776689879e-06
2003,1.00067015469e-05
2002,7.84088400008e-06
2001,6.54246666041e-06
2000,9.8660559578e-06
1999,9.72760065193e-06
1998,7.30480605422e-06
1997,1.15986929562e-05
1996,7.81308109791e-06
1995,1.28808001553e-05
1994,1.60864377924e-05
1993,1.38071619958e-05
1992,1.38074089494e-05
1991,1.64436943871e-05
1990,9.94859808087e-06
1989,1.45434297978e-05
1988,1.10285909496e-05
1987,8.62560692275e-06
1986,9.52923878759e-06
1985,1.04451732854e-05
1984,1.15537573491e-05
1983,1.11836679449e-05
1982,8.65575041894e-06
1981,8.04735660728e-06
1980,6.2226449254e-06
1979,5.74245753537e-06
1978,4.45418273456e-06
1977,3.67812279313e-06
1976,6.48536819867e-06
1975,2.76693580882e-06
1974,5.37893414403e-06
1973,3.08478955394e-06
1972,9.19884434211e-06
1971,5.32463973488e-06
1970,2.52233800554e-06
1969,1.19419447783e-05
1968,7.57026626519e-06
1967,9.36468830759e-06
1966,5.92393811558e-06
1965,8.99225024416e-06
1964,7.4119296959e-06
1963,2.65419045485e-06
1962,6.43553703551e-06
1961,1.39845010597e-05
1960,6.1705845765e-06
1959,4.10272063714e-06
1958,4.32314469003e-06
1957,1.05664823256e-05
1956,6.21593169934e-06
1955,6.53018578379e-06
1954,8.79205471784e-06
1953,5.35331645254e-06
1952,7.44661046249e-06
1951,2.76035838285e-06
1950,1.56210947263e-06
1949,5.58632832477e-06
1948,1.14673951921e-05
1947,4.33336583358e-06
1946,5.90818212326e-07
1945,4.67573135118e-06
1944,1.29785600677e-06
1943,4.6071969682e-06
1942,1.67043163397e-06
1941,5.5798433738e-07
1940,2.83392411205e-06
1939,2.23589096901e-06
1938,6.05056512278e-06
1937,0.0
1936,3.42815907001e-06
1935,2.58550925483e-06
1934,8.48752694259e-07
1933,2.06712962102e-06
1932,8.50448611643e-07
1931,4.12742346828e-07
1930,0.0
1929,2.08171826691e-06
1928,4.06332777606e-07
1927,9.2328388071e-07
1926,1.42120283028e-06
1925,4.5831845708e-07
1924,2.77943771975e-06
1923,1.01907400821e-06
1922,0.0
1921,0.0
1920,8.8075695776e-07
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,1.03596722821e-06
1908,9.91649321067e-07
1907,2.70045621507e-06
1906,1.23112379442e-06
1905,0.0
1904,0.0
1903,6.52606477641e-07
1902,6.84722338245e-07
1901,0.0
1900,1.87351523917e-06
1899,1.28908007379e-06
1898,1.31853323726e-06
1897,6.47471300835e-07
1896,0.0
1895,3.28567786163e-06
1894,6.30172137821e-07
1893,6.36883854676e-07
1892,0.0
1891,0.0
1890,6.55455321871e-07
1889,3.43173489985e-06
1888,0.0
1887,0.0
1886,0.0
1885,7.09373304154e-07
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,7.02115544347e-07
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,1.31732866823e-06
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,1.85733097824e-06
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,1.69348010161e-06
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
