date,freq
2017,1.73584691682e-06
2016,8.55519081925e-07
2015,1.15498514689e-06
2014,9.21253691156e-07
2013,2.7244368362e-06
2012,4.48200028685e-06
2011,4.1204938353e-06
2010,4.97875098367e-06
2009,2.79343263986e-06
2008,3.86163433192e-06
2007,5.1747885452e-06
2006,2.83504328969e-06
2005,8.44554173927e-07
2004,2.54262642574e-06
2003,1.76588850827e-06
2002,4.39089504004e-06
2001,2.61698666416e-06
2000,2.15819974077e-06
1999,2.65298199598e-06
1998,3.4936028955e-06
1997,2.89967323904e-06
1996,2.81270919525e-06
1995,4.60028576975e-06
1994,1.01284978693e-05
1993,3.86600535884e-06
1992,7.70028576026e-06
1991,1.11311162005e-05
1990,7.21273360863e-06
1989,1.74001749367e-05
1988,2.07122317833e-05
1987,3.00505015373e-05
1986,4.03591289827e-05
1985,3.92399753155e-05
1984,4.4602877208e-05
1983,4.9322843244e-05
1982,4.81836773321e-05
1981,5.69275967404e-05
1980,4.48685449884e-05
1979,3.51303284517e-05
1978,2.80956141718e-05
1977,3.07624815425e-05
1976,4.92887983099e-05
1975,3.0436293897e-05
1974,2.38690202641e-05
1973,2.46783164315e-05
1972,2.72427313209e-05
1971,2.16535349218e-05
1970,3.27903940721e-05
1969,1.99032412971e-05
1968,1.09768860845e-05
1967,6.74257558146e-06
1966,1.11073839667e-05
1965,1.09470872538e-05
1964,3.51091406648e-06
1963,1.17542720143e-05
1962,1.20666319416e-05
1961,1.80975896067e-05
1960,1.52207752887e-05
1959,1.47697942937e-05
1958,2.24803523882e-05
1957,1.62899935853e-05
1956,3.86275755602e-05
1955,2.472141761e-05
1954,4.20064836519e-05
1953,6.27798020344e-05
1952,3.93606553017e-05
1951,3.53325873005e-05
1950,2.968007998e-05
1949,2.64080975353e-05
1948,2.56651225728e-05
1947,2.81668779183e-05
1946,1.59520917328e-05
1945,2.00388486479e-05
1944,2.33614081219e-05
1943,1.77706168773e-05
1942,1.55906952504e-05
1941,6.69581204856e-06
1940,3.96749375687e-06
1939,4.47178193803e-06
1938,4.40041099839e-06
1937,4.10290706351e-06
1936,3.85667895376e-06
1935,2.15459104569e-06
1934,2.54625808278e-06
1933,2.48055554522e-06
1932,1.70089722329e-06
1931,4.12742346828e-07
1930,1.7345128599e-06
1929,2.08171826691e-06
1928,2.03166388803e-06
1927,2.76985164213e-06
1926,3.31613993732e-06
1925,1.83327382832e-06
1924,1.38971885987e-06
1923,5.09537004106e-07
1922,5.80031936558e-07
1921,0.0
1920,0.0
1919,8.99227204141e-07
1918,7.42055002601e-07
1917,0.0
1916,0.0
1915,1.11175469355e-06
1914,0.0
1913,0.0
1912,0.0
1911,1.03077534406e-06
1910,5.02849143246e-07
1909,0.0
1908,0.0
1907,5.40091243015e-07
1906,1.23112379442e-06
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,6.85431496263e-07
1900,0.0
1899,6.44540036893e-07
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,1.23620014328e-06
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,6.75135567222e-07
1885,0.0
1884,0.0
1883,0.0
1882,6.88883148196e-07
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,1.80719734414e-06
1858,0.0
1857,3.52167857287e-06
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,5.08044030483e-06
1850,0.0
1849,3.46648086329e-06
1848,0.0
1847,5.27791754485e-06
1846,0.0
1845,1.74988232041e-06
1844,0.0
1843,1.85133073653e-06
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,2.31147601612e-06
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
