date,freq
2017,1.9094316085e-05
2016,2.25286691574e-05
2015,2.62759120918e-05
2014,3.22438791905e-05
2013,2.24009250977e-05
2012,1.85256011856e-05
2011,2.08967901647e-05
2010,1.84506654101e-05
2009,2.73756398707e-05
2008,2.28939749678e-05
2007,1.98366894233e-05
2006,3.6855562766e-05
2005,2.44920710439e-05
2004,2.9663974967e-05
2003,3.44348259114e-05
2002,3.35589835203e-05
2001,2.84597299728e-05
2000,3.11397391168e-05
1999,2.59402684051e-05
1998,3.27128271124e-05
1997,3.47960788685e-05
1996,3.7190266026e-05
1995,3.7108971876e-05
1994,4.28971674464e-05
1993,4.22499157073e-05
1992,3.77048475158e-05
1991,6.02092194482e-05
1990,4.22815418437e-05
1989,5.37587494312e-05
1988,4.08864835203e-05
1987,5.03624146134e-05
1986,5.07291829575e-05
1985,5.44842822726e-05
1984,4.13785728315e-05
1983,4.38743896298e-05
1982,4.38558021226e-05
1981,5.4245144538e-05
1980,4.87986365202e-05
1979,3.715707817e-05
1978,4.52270862278e-05
1977,3.97906011256e-05
1976,4.4100503751e-05
1975,4.49627068933e-05
1974,3.29459716322e-05
1973,3.77029834371e-05
1972,3.78567824848e-05
1971,2.23634868865e-05
1970,3.24300600713e-05
1969,9.04692786233e-06
1968,1.51405325304e-06
1967,1.12376259691e-06
1966,1.11073839667e-06
1965,1.56386960768e-06
1964,3.90101562942e-07
1963,7.58340129957e-07
1962,4.02221064719e-07
1961,4.11308854698e-07
1960,2.0568615255e-06
1959,0.0
1958,0.0
1957,0.0
1956,1.77598048553e-06
1955,1.3993255251e-06
1954,1.46534245297e-06
1953,4.86665132049e-07
1952,0.0
1951,2.76035838285e-06
1950,0.0
1949,1.52354408857e-06
1948,0.0
1947,5.41670729197e-07
1946,5.90818212326e-07
1945,2.00388486479e-06
1944,0.0
1943,3.94902597274e-05
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,4.30918209138e-07
1934,0.0
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,5.02849143246e-07
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,6.8634697997e-07
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
