date,freq
2017,1.27295440567e-05
2016,1.31179592562e-05
2015,1.53035531963e-05
2014,1.47400590585e-05
2013,1.24113233649e-05
2012,1.64340010518e-05
2011,1.53046913883e-05
2010,8.20029573781e-06
2009,1.45258497273e-05
2008,1.43432132328e-05
2007,1.2936971363e-05
2006,1.27576948036e-05
2005,1.66095654206e-05
2004,2.28836378317e-05
2003,3.32575669058e-05
2002,2.35226520002e-05
2001,2.06087699803e-05
2000,1.84988549209e-05
1999,1.97499770812e-05
1998,2.47728205317e-05
1997,2.25530140815e-05
1996,1.84388713911e-05
1995,2.60682860286e-05
1994,2.38317596925e-05
1993,3.09280428707e-05
1992,1.91179508531e-05
1991,2.90926900695e-05
1990,2.71099297704e-05
1989,3.03853801133e-05
1988,2.71679923392e-05
1987,2.61550661528e-05
1986,2.63455425304e-05
1985,2.11726485515e-05
1984,2.57944350119e-05
1983,3.41245252676e-05
1982,2.65443012847e-05
1981,2.26518185983e-05
1980,1.83404271485e-05
1979,2.16186636626e-05
1978,2.60398375251e-05
1977,3.51093539344e-05
1976,2.17259834656e-05
1975,1.79850827573e-05
1974,1.88262695041e-05
1973,2.94768779599e-05
1972,1.76900852733e-05
1971,1.3134111346e-05
1970,1.80167000396e-05
1969,2.89501691595e-06
1968,2.64959319282e-06
1967,1.49835012921e-06
1966,0.0
1965,7.8193480384e-07
1964,1.17030468883e-06
1963,3.79170064978e-07
1962,8.04442129439e-07
1961,1.23392656409e-06
1960,8.227446102e-07
1959,4.10272063714e-07
1958,4.32314469003e-07
1957,1.3208102907e-06
1956,0.0
1955,0.0
1954,4.88447484324e-07
1953,4.86665132049e-07
1952,0.0
1951,1.10414335314e-06
1950,1.04140631509e-06
1949,0.0
1948,0.0
1947,0.0
1946,0.0
1945,0.0
1944,0.0
1943,0.0
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,5.50051374798e-07
1937,0.0
1936,0.0
1935,0.0
1934,4.2437634713e-07
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,6.15561897211e-07
1905,6.37206892794e-07
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,6.24505079724e-07
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,1.41874660831e-06
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,1.35068513503e-06
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,1.74988232041e-06
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
