date,freq
2017,0.0
2016,0.0
2015,0.0
2014,3.07084563719e-07
2013,0.0
2012,0.0
2011,2.94320988236e-07
2010,0.0
2009,0.0
2008,5.51662047416e-07
2007,0.0
2006,2.83504328969e-07
2005,5.63036115952e-07
2004,5.65028094609e-07
2003,0.0
2002,9.4090608001e-07
2001,6.54246666041e-07
2000,3.08314248681e-07
1999,0.0
1998,6.35200526454e-07
1997,0.0
1996,0.0
1995,0.0
1994,0.0
1993,2.76143239917e-07
1992,0.0
1991,0.0
1990,2.48714952022e-07
1989,2.59704103533e-06
1988,0.0
1987,2.78245384605e-07
1986,8.4081518714e-07
1985,0.0
1984,5.37384062747e-07
1983,5.73521433069e-07
1982,0.0
1981,0.0
1980,0.0
1979,6.75583239455e-07
1978,0.0
1977,0.0
1976,3.24268409934e-07
1975,0.0
1974,0.0
1973,0.0
1972,0.0
1971,0.0
1970,0.0
1969,1.08563134348e-06
1968,7.57026626519e-07
1967,1.12376259691e-06
1966,3.70246132224e-07
1965,7.8193480384e-07
1964,0.0
1963,0.0
1962,4.02221064719e-07
1961,0.0
1960,0.0
1959,1.23081619114e-06
1958,0.0
1957,2.2013504845e-06
1956,4.43995121382e-07
1955,4.66441841699e-07
1954,4.88447484324e-07
1953,1.45999539615e-06
1952,5.31900747321e-07
1951,0.0
1950,0.0
1949,0.0
1948,0.0
1947,5.41670729197e-07
1946,4.13572748628e-06
1945,6.67961621597e-07
1944,1.94678401015e-06
1943,6.58170995457e-07
1942,1.67043163397e-06
1941,1.11596867476e-06
1940,0.0
1939,5.58972742253e-07
1938,0.0
1937,1.02572676588e-06
1936,8.57039767502e-07
1935,2.58550925483e-06
1934,8.48752694259e-07
1933,4.13425924203e-07
1932,4.25224305821e-07
1931,0.0
1930,4.33628214974e-07
1929,0.0
1928,8.12665555211e-07
1927,0.0
1926,0.0
1925,9.1663691416e-07
1924,2.31619809979e-06
1923,1.01907400821e-06
1922,0.0
1921,0.0
1920,0.0
1919,1.79845440828e-06
1918,1.4841100052e-06
1917,1.21100781887e-06
1916,0.0
1915,0.0
1914,0.0
1913,5.5676001305e-07
1912,0.0
1911,5.1538767203e-07
1910,0.0
1909,0.0
1908,0.0
1907,1.08018248603e-06
1906,6.15561897211e-07
1905,0.0
1904,0.0
1903,0.0
1902,2.05416701473e-06
1901,6.85431496263e-07
1900,0.0
1899,0.0
1898,0.0
1897,1.29494260167e-06
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,6.42775143114e-07
1891,0.0
1890,0.0
1889,0.0
1888,1.41607156259e-06
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,1.37776629639e-06
1881,0.0
1880,2.80846217739e-06
1879,0.0
1878,1.12167102062e-06
1877,1.26321001877e-06
1876,1.27804836902e-06
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,1.41872949936e-06
1870,1.30739975186e-06
1869,0.0
1868,0.0
1867,0.0
1866,1.85733097824e-06
1865,0.0
1864,0.0
1863,0.0
1862,3.4754080129e-06
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,1.96806615851e-06
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,5.65610859729e-06
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
