date,freq
2017,0.0
2016,0.0
2015,0.0
2014,0.0
2013,0.0
2012,0.0
2011,0.0
2010,0.0
2009,0.0
2008,0.0
2007,0.0
2006,0.0
2005,0.0
2004,0.0
2003,0.0
2002,6.27270720006e-07
2001,0.0
2000,0.0
1999,5.89551554662e-07
1998,0.0
1997,3.22185915449e-07
1996,3.12523243916e-07
1995,0.0
1994,0.0
1993,0.0
1992,1.85868966627e-06
1991,1.01191965459e-06
1990,0.0
1989,0.0
1988,5.3798004632e-07
1987,0.0
1986,8.4081518714e-07
1985,0.0
1984,2.68692031374e-07
1983,0.0
1982,5.77050027929e-07
1981,5.96100489428e-07
1980,3.27507627653e-07
1979,6.75583239455e-07
1978,6.8525888224e-07
1977,6.6874959875e-07
1976,2.26987886954e-06
1975,3.45866976102e-07
1974,1.00855015201e-06
1973,1.71377197441e-06
1972,0.0
1971,2.12985589395e-06
1970,0.0
1969,3.61877114493e-07
1968,7.57026626519e-07
1967,3.37128779073e-06
1966,2.59172292557e-06
1965,3.9096740192e-07
1964,1.17030468883e-06
1963,0.0
1962,4.02221064719e-07
1961,2.05654427349e-06
1960,1.2341169153e-06
1959,4.10272063714e-07
1958,3.89083022103e-06
1957,1.7610803876e-06
1956,1.33198536414e-06
1955,3.73153473359e-06
1954,9.76894968649e-07
1953,5.35331645254e-06
1952,3.19140448392e-06
1951,8.28107514855e-06
1950,4.16562526035e-06
1949,2.0313921181e-06
1948,9.28312944123e-06
1947,0.0
1946,2.95409106163e-06
1945,6.67961621597e-07
1944,0.0
1943,6.58170995457e-07
1942,0.0
1941,5.5798433738e-07
1940,0.0
1939,0.0
1938,0.0
1937,5.12863382939e-07
1936,4.28519883751e-07
1935,4.30918209138e-07
1934,0.0
1933,8.26851848407e-07
1932,8.50448611643e-07
1931,8.25484693656e-07
1930,1.30088464492e-06
1929,4.99612384059e-06
1928,8.12665555211e-07
1927,1.84656776142e-06
1926,2.3686713838e-06
1925,3.66654765664e-06
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,5.71766076776e-07
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,5.02849143246e-07
1909,0.0
1908,0.0
1907,0.0
1906,6.15561897211e-07
1905,1.27441378559e-06
1904,1.31328817811e-06
1903,6.52606477641e-07
1902,0.0
1901,6.85431496263e-07
1900,6.24505079724e-07
1899,6.44540036893e-07
1898,0.0
1897,0.0
1896,0.0
1895,6.57135572326e-07
1894,6.30172137821e-07
1893,6.36883854676e-07
1892,0.0
1891,0.0
1890,1.96636596561e-06
1889,0.0
1888,7.08035781296e-07
1887,1.3342984759e-06
1886,0.0
1885,7.09373304154e-07
1884,3.47578731796e-06
1883,2.13916860499e-06
1882,6.88883148196e-07
1881,7.00764463954e-07
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
