date,freq
2017,5.78615638939e-07
2016,2.85173027308e-07
2015,0.0
2014,6.14169127438e-07
2013,3.02715204022e-07
2012,2.98800019123e-07
2011,2.94320988236e-07
2010,1.17147081969e-06
2009,0.0
2008,5.51662047416e-07
2007,0.0
2006,1.13401731588e-06
2005,8.44554173927e-07
2004,1.69508428383e-06
2003,2.06020325965e-06
2002,2.50908288003e-06
2001,3.2712333302e-07
2000,6.16628497363e-07
1999,2.94775777331e-07
1998,6.35200526454e-07
1997,0.0
1996,6.25046487833e-07
1995,9.2005715395e-07
1994,5.95793992311e-07
1993,8.28429719751e-07
1992,7.96581285544e-07
1991,1.01191965459e-06
1990,2.23843456819e-06
1989,1.81792872473e-06
1988,3.76586032424e-06
1987,1.94771769223e-06
1986,1.96190210333e-06
1985,3.10532178756e-06
1984,1.61215218824e-06
1983,8.60282149604e-07
1982,1.73115008379e-06
1981,1.49025122357e-06
1980,9.82522882958e-07
1979,2.02674971837e-06
1978,3.4262944112e-07
1977,3.34374799375e-07
1976,6.48536819867e-07
1975,4.49627068933e-06
1974,3.36183384002e-07
1973,1.71377197441e-06
1972,1.41520682186e-06
1971,7.0995196465e-07
1970,1.80167000396e-06
1969,1.08563134348e-06
1968,1.13553993978e-06
1967,3.74587532303e-07
1966,7.40492264448e-07
1965,3.12773921536e-06
1964,1.56040625177e-06
1963,2.27502038987e-06
1962,2.41332638832e-06
1961,5.75832396577e-06
1960,4.113723051e-07
1959,2.46163238228e-06
1958,1.72925787601e-06
1957,3.52216077519e-06
1956,8.87990242763e-07
1955,3.26509289189e-06
1954,1.9537899373e-06
1953,1.9466605282e-06
1952,2.12760298928e-06
1951,4.96864508913e-06
1950,9.37265683579e-06
1949,4.06278423619e-06
1948,6.00673081491e-06
1947,5.95837802117e-06
1946,4.72654569861e-06
1945,4.00776972958e-06
1944,3.89356802031e-06
1943,3.29085497729e-06
1942,6.12491599121e-06
1941,3.34790602428e-06
1940,4.53427857927e-06
1939,5.03075468028e-06
1938,2.75025687399e-06
1937,2.5643169147e-06
1936,7.28483802377e-06
1935,4.30918209138e-06
1934,6.79002155407e-06
1933,1.07490740293e-05
1932,5.9531402815e-06
1931,5.7783928556e-06
1930,6.50442322461e-06
1929,9.99224768117e-06
1928,4.46966055366e-06
1927,5.53970328426e-06
1926,3.78987421407e-06
1925,1.09996429699e-05
1924,1.29707093588e-05
1923,1.12098140903e-05
1922,3.48019161935e-06
1921,4.0461520285e-06
1920,4.4037847888e-06
1919,1.07907264497e-05
1918,8.90466003121e-06
1917,3.02751954718e-06
1916,5.14589469098e-06
1915,9.44991489518e-06
1914,6.44269358281e-06
1913,1.78163204176e-05
1912,5.82530852952e-06
1911,5.66926439233e-06
1910,3.01709485947e-06
1909,5.17983614106e-07
1908,4.95824660534e-06
1907,5.94100367316e-06
1906,0.0
1905,0.0
1904,1.31328817811e-06
1903,7.17867125406e-06
1902,4.10833402947e-06
1901,2.05629448879e-06
1900,0.0
1899,1.28908007379e-06
1898,4.6148663304e-06
1897,8.41712691085e-06
1896,8.18013410386e-06
1895,3.28567786163e-06
1894,1.38637870321e-05
1893,1.91065156403e-06
1892,1.92832542934e-06
1891,1.23620014328e-06
1890,6.55455321871e-06
1889,1.37269395994e-06
1888,3.54017890648e-06
1887,2.6685969518e-06
1886,6.75135567222e-07
1885,1.41874660831e-06
1884,1.39031492719e-06
1883,0.0
1882,1.37776629639e-06
1881,7.00764463954e-07
1880,1.40423108869e-06
1879,2.02938344287e-06
1878,1.34600522474e-05
1877,2.52642003754e-06
1876,1.27804836902e-06
1875,0.0
1874,0.0
1873,2.63811174514e-06
1872,1.36576012062e-06
1871,5.67491799743e-06
1870,1.30739975186e-06
1869,5.15600126322e-06
1868,1.46901120856e-06
1867,3.42805036492e-06
1866,5.57199293471e-06
1865,1.84980678768e-06
1864,5.63030304168e-06
1863,3.55694039101e-06
1862,8.68852003225e-06
1861,3.38964091839e-06
1860,1.81395036669e-06
1859,0.0
1858,3.65285461456e-06
1857,0.0
1856,1.70912415932e-06
1855,3.50988031308e-06
1854,4.45409498358e-06
1853,1.37764631096e-05
1852,7.79566015599e-06
1851,5.08044030483e-06
1850,5.14917149831e-06
1849,8.66620215823e-06
1848,8.8552625054e-06
1847,3.51861169657e-06
1846,2.06643591466e-06
1845,1.04992939225e-05
1844,6.07567865331e-06
1843,2.40672995749e-05
1842,1.14204270326e-05
1841,1.21028158411e-05
1840,2.41587272304e-05
1839,1.70118037616e-05
1838,5.46039303909e-06
1837,9.2459040645e-06
1836,8.81325160511e-06
1835,0.0
1834,0.0
1833,6.5897279321e-06
1832,0.0
1831,0.0
1830,0.0
1829,2.39214419845e-06
1828,0.0
1827,0.0
1826,6.44691289576e-06
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
