date,freq
2017,2.77735506691e-05
2016,2.33841882393e-05
2015,2.33884492245e-05
2014,4.23776697932e-05
2013,3.51149636666e-05
2012,1.76292011283e-05
2011,2.59002469647e-05
2010,1.61077237707e-05
2009,2.45822072308e-05
2008,2.23423129204e-05
2007,2.78863604936e-05
2006,2.23968419886e-05
2005,1.52019751307e-05
2004,1.55382726018e-05
2003,2.32508653589e-05
2002,2.03862984002e-05
2001,2.25715099784e-05
2000,1.69572836775e-05
1999,1.68022193079e-05
1998,1.46096121084e-05
1997,2.19086422506e-05
1996,1.90639178789e-05
1995,1.38008573093e-05
1994,1.3405364827e-05
1993,1.04934431168e-05
1992,1.7524788282e-05
1991,2.17562725737e-05
1990,1.26844625531e-05
1989,1.94778077649e-05
1988,1.90982916444e-05
1987,1.50252507687e-05
1986,1.56952168266e-05
1985,1.24212871502e-05
1984,1.82710581334e-05
1983,1.63453608425e-05
1982,1.32721506424e-05
1981,9.83565807557e-06
1980,8.51519831897e-06
1979,6.41804077483e-06
1978,6.16732994016e-06
1977,7.35624558625e-06
1976,1.07008575278e-05
1975,7.26320649815e-06
1974,5.04275076003e-06
1973,4.11305273859e-06
1972,6.36843069838e-06
1971,3.54975982325e-06
1970,4.3240080095e-06
1969,5.4281567174e-06
1968,9.46283283149e-06
1967,4.12046285534e-06
1966,5.55369198336e-06
1965,8.21031544032e-06
1964,7.02182813295e-06
1963,4.92921084472e-06
1962,4.82665277663e-06
1961,6.99225052987e-06
1960,4.9364676612e-06
1959,3.28217650971e-06
1958,1.72925787601e-06
1957,4.84297106589e-06
1956,2.66397072829e-06
1955,5.59730210039e-06
1954,3.9075798746e-06
1953,3.89332105639e-06
1952,3.19140448392e-06
1951,4.96864508913e-06
1950,4.16562526035e-06
1949,7.10987241334e-06
1948,3.82246506403e-06
1947,1.62501218759e-06
1946,2.95409106163e-06
1945,2.67184648639e-06
1944,6.48928003385e-06
1943,6.58170995457e-06
1942,1.67043163397e-06
1941,0.0
1940,1.70035446723e-06
1939,2.23589096901e-06
1938,1.6501541244e-06
1937,3.59004368057e-06
1936,2.14259941876e-06
1935,8.61836418277e-07
1934,4.2437634713e-07
1933,3.30740739363e-06
1932,0.0
1931,4.12742346828e-07
1930,8.67256429948e-07
1929,1.66537461353e-06
1928,8.12665555211e-07
1927,4.61641940355e-07
1926,0.0
1925,9.1663691416e-07
1924,1.38971885987e-06
1923,5.09537004106e-07
1922,5.80031936558e-07
1921,4.8553824342e-06
1920,1.76151391552e-06
1919,8.99227204141e-07
1918,1.4841100052e-06
1917,3.02751954718e-06
1916,1.14353215355e-06
1915,5.00289612098e-06
1914,1.18116049018e-05
1913,9.46492022186e-06
1912,1.11210435564e-05
1911,7.21542740842e-06
1910,9.55413372167e-06
1909,7.7697542116e-06
1908,4.4624219448e-06
1907,4.32072994412e-06
1906,1.23112379442e-06
1905,1.27441378559e-06
1904,1.31328817811e-06
1903,1.95781943292e-06
1902,6.1625010442e-06
1901,1.37086299253e-06
1900,0.0
1899,1.93362011068e-06
1898,1.31853323726e-06
1897,1.9424139025e-06
1896,2.51696433965e-06
1895,1.97140671698e-06
1894,2.52068855128e-06
1893,1.27376770935e-06
1892,1.28555028623e-06
1891,0.0
1890,1.96636596561e-06
1889,6.8634697997e-07
1888,1.41607156259e-06
1887,1.3342984759e-06
1886,2.70054226889e-06
1885,7.09373304154e-07
1884,6.95157463593e-07
1883,7.13056201664e-07
1882,0.0
1881,7.00764463954e-07
1880,2.10634663304e-06
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,1.31905587257e-06
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,1.46901120856e-06
1867,0.0
1866,3.71466195648e-06
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,1.75494015654e-06
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,1.74988232041e-06
1844,2.02522621777e-06
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,2.17092566099e-06
1834,0.0
1833,0.0
1832,0.0
1831,2.27530767848e-06
1830,0.0
1829,0.0
1828,2.60631144379e-06
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,1.01311990274e-05
1822,0.0
1821,0.0
1820,0.0
1819,5.87651099789e-06
1818,0.0
1817,0.0
1816,6.66635557007e-06
1815,0.0
1814,0.0
1813,0.0
1812,0.0
