date,freq
2017,2.14087786408e-05
2016,1.76807276931e-05
2015,1.21273440424e-05
2014,1.84250738231e-05
2013,1.96764882615e-05
2012,2.21112014151e-05
2011,2.14854321412e-05
2010,1.58148560658e-05
2009,1.70399391032e-05
2008,1.37915511854e-05
2007,1.66743186457e-05
2006,1.67267554092e-05
2005,1.99877821163e-05
2004,2.14710675952e-05
2003,1.32441638121e-05
2002,2.72862763203e-05
2001,1.37391799869e-05
2000,1.81905406722e-05
1999,1.76865466399e-05
1998,1.14336094762e-05
1997,2.67414309823e-05
1996,2.09390573424e-05
1995,1.50276001812e-05
1994,2.97896996156e-05
1993,3.03757563909e-05
1992,3.61116849447e-05
1991,2.42860717102e-05
1990,2.68612148183e-05
1989,1.94778077649e-05
1988,1.90982916444e-05
1987,1.69729684609e-05
1986,1.90584775752e-05
1985,2.59717822232e-05
1984,1.50467537569e-05
1983,1.92129680078e-05
1982,1.73115008379e-05
1981,1.43064117463e-05
1980,1.96504576592e-05
1979,2.33076217612e-05
1978,4.52270862278e-05
1977,3.61124783325e-05
1976,4.08578196516e-05
1975,2.24813534467e-05
1974,2.38690202641e-05
1973,3.4960948278e-05
1972,2.26433091498e-05
1971,3.37227183209e-05
1970,4.90054241077e-05
1969,3.51020801058e-05
1968,7.0024962953e-05
1967,0.000126985173451
1966,6.07203656847e-05
1965,7.42838063648e-05
1964,6.43667578854e-05
1963,3.4504475913e-05
1962,4.38420960544e-05
1961,4.03082677604e-05
1960,5.43011442732e-05
1959,3.15909489059e-05
1958,1.46986919461e-05
1957,1.05664823256e-05
1956,1.06558829132e-05
1955,6.99662762548e-06
1954,1.26996345924e-05
1953,1.11932980371e-05
1952,7.44661046249e-06
1951,7.17693179541e-06
1950,8.3312505207e-06
1949,5.58632832477e-06
1948,8.19099656579e-06
1947,5.95837802117e-06
1946,5.31736391093e-06
1945,8.01553945916e-06
1944,7.13820803723e-06
1943,1.5796103891e-05
1942,8.35215816983e-06
1941,1.89714674709e-05
1940,6.2346330465e-06
1939,1.17384275873e-05
1938,5.50051374798e-06
1937,6.66722397821e-06
1936,1.371263628e-05
1935,1.93913194112e-05
1934,1.23069140668e-05
1933,9.50879625668e-06
1932,1.06306076455e-05
1931,7.84210458974e-06
1930,1.04070771594e-05
1929,1.54047151751e-05
1928,6.50132444169e-06
1927,1.10794065685e-05
1926,1.98968396239e-05
1925,1.23745983412e-05
1924,6.48535467942e-06
1923,8.15259206569e-06
1922,1.27607026043e-05
1921,4.0461520285e-06
1920,1.14498404509e-05
1919,8.09304483727e-06
1918,2.9682200104e-06
1917,2.66421720152e-05
1916,6.86119292131e-06
1915,5.00289612098e-06
1914,2.1475645276e-06
1913,5.5676001305e-06
1912,2.64786751342e-06
1911,6.70003973639e-06
1910,5.02849143246e-06
1909,2.07193445643e-06
1908,3.47077262374e-06
1907,2.10635584776e-05
1906,6.15561897211e-06
1905,3.82324135677e-06
1904,1.31328817811e-06
1903,3.91563886585e-06
1902,7.53194572069e-06
1901,7.53974645889e-06
1900,3.12252539862e-06
1899,9.02356051651e-06
1898,5.93339956765e-06
1897,1.29494260167e-05
1896,8.18013410386e-06
1895,3.94281343395e-06
1894,8.8224099295e-06
1893,4.45818698273e-06
1892,8.35607686048e-06
1891,6.18100071638e-06
1890,3.93273193123e-06
1889,3.08856140987e-05
1888,1.77008945324e-05
1887,1.46772832349e-05
1886,1.55281180461e-05
1885,1.56062126914e-05
1884,0.0
1883,1.71133488399e-05
1882,4.82218203737e-06
1881,4.20458678372e-06
1880,6.31903989912e-06
1879,4.05876688574e-06
1878,4.48668408248e-06
1877,5.05284007509e-06
1876,1.15024353212e-05
1875,6.58664334117e-06
1874,1.89095918905e-05
1873,1.05524469805e-05
1872,2.86809625331e-05
1871,2.83745899872e-06
1870,9.15179826299e-06
1869,9.02300221064e-06
1868,1.46901120856e-05
1867,0.0
1866,3.71466195648e-06
1865,3.69961357536e-06
1864,1.6890909125e-05
1863,1.0670821173e-05
1862,5.21311201935e-06
1861,5.08446137758e-06
1860,9.06975183345e-06
1859,9.03598672071e-06
1858,5.47928192184e-06
1857,8.80419643219e-06
1856,1.70912415932e-06
1855,1.05296409392e-05
1854,6.68114247536e-06
1853,1.57445292681e-05
1852,1.948915039e-06
1851,1.18543607113e-05
1850,5.14917149831e-06
1849,6.93296172658e-06
1848,5.31315750324e-05
1847,2.4630281876e-05
1846,1.23986154879e-05
1845,4.72468226512e-05
1844,8.10090487107e-06
1843,7.40532294613e-06
1842,2.05567686587e-05
1841,2.1785068514e-05
1840,1.53737355103e-05
1839,1.70118037616e-05
1838,8.19058955864e-06
1837,1.38688560967e-05
1836,4.40662580256e-06
1835,6.51277698298e-06
1834,4.1575028375e-06
1833,1.31794558642e-05
1832,2.21399109533e-06
1831,2.27530767848e-06
1830,1.59139374264e-05
1829,0.0
1828,2.60631144379e-06
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,5.87651099789e-06
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,2.60621974342e-05
1813,2.33523005908e-05
1812,0.0
