date,freq
2017,0.0
2016,2.85173027308e-07
2015,2.30997029378e-06
2014,6.14169127438e-07
2013,0.0
2012,2.98800019123e-07
2011,5.88641976471e-07
2010,1.17147081969e-06
2009,5.58686527973e-07
2008,2.75831023708e-07
2007,1.14995301005e-06
2006,7.93812121114e-06
2005,1.40759028988e-06
2004,4.52022475688e-06
2003,2.06020325965e-06
2002,9.4090608001e-07
2001,2.61698666416e-06
2000,4.00808523286e-06
1999,7.07461865595e-06
1998,4.76400394841e-06
1997,9.66557746348e-07
1996,1.25009297567e-06
1995,1.53342858992e-06
1994,0.0
1993,1.6568594395e-06
1992,7.96581285544e-07
1991,1.01191965459e-06
1990,4.97429904043e-07
1989,0.0
1988,5.3798004632e-07
1987,1.11298153842e-06
1986,1.12108691619e-06
1985,0.0
1984,8.06076094121e-07
1983,2.86760716535e-07
1982,1.15410005586e-06
1981,0.0
1980,1.31003051061e-06
1979,3.37791619728e-07
1978,3.08366497008e-06
1977,6.6874959875e-07
1976,2.26987886954e-06
1975,4.84213766543e-06
1974,6.72366768004e-07
1973,1.71377197441e-06
1972,2.83041364373e-06
1971,1.4199039293e-06
1970,1.80167000396e-06
1969,2.89501691595e-06
1968,3.40661981934e-06
1967,3.37128779073e-06
1966,2.96196905779e-06
1965,3.51870661728e-06
1964,3.12081250354e-06
1963,5.3083809097e-06
1962,4.82665277663e-06
1961,8.22617709396e-06
1960,1.2341169153e-06
1959,3.69244857342e-06
1958,3.02620128302e-06
1957,8.80540193798e-07
1956,1.33198536414e-06
1955,0.0
1954,1.9537899373e-06
1953,0.0
1952,1.59570224196e-06
1951,2.20828670628e-06
1950,6.76914104807e-06
1949,1.066480862e-05
1948,9.82919587895e-06
1947,2.27501706263e-05
1946,5.90818212326e-07
1945,0.0
1944,0.0
1943,0.0
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,0.0
1934,0.0
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
