date,freq
2017,1.33081596956e-05
2016,1.31179592562e-05
2015,1.38598217627e-05
2014,1.1976297985e-05
2013,1.90710578534e-05
2012,1.25496008032e-05
2011,1.79535802824e-05
2010,1.34719144264e-05
2009,1.14530738234e-05
2008,1.26882270906e-05
2007,1.26494831105e-05
2006,2.92009458838e-05
2005,1.40759028988e-05
2004,1.83634130748e-05
2003,2.76655866296e-05
2002,1.75635801602e-05
2001,2.06087699803e-05
2000,2.92898536247e-05
1999,3.03619050651e-05
1998,2.44552202685e-05
1997,2.51305014051e-05
1996,4.37532541483e-05
1995,7.82048580858e-05
1994,2.26401717078e-05
1993,3.313718879e-05
1992,2.20387489001e-05
1991,3.69350673926e-05
1990,3.18355138588e-05
1989,4.23317688758e-05
1988,2.93199125244e-05
1987,2.83810292297e-05
1986,2.4103368698e-05
1985,3.41585396631e-05
1984,2.14953625099e-05
1983,2.12202930236e-05
1982,2.27934761032e-05
1981,4.44094864624e-05
1980,2.81656559781e-05
1979,2.36454133809e-05
1978,2.8438243613e-05
1977,2.80874831475e-05
1976,2.4320130745e-05
1975,1.72933488051e-05
1974,1.54644356641e-05
1973,9.11726690388e-05
1972,3.36111620192e-05
1971,1.81037750986e-05
1970,1.83770340404e-05
1969,5.4281567174e-06
1968,0.0
1967,3.74587532303e-07
1966,1.85123066112e-06
1965,7.8193480384e-07
1964,0.0
1963,4.55004077974e-06
1962,1.60888425888e-06
1961,8.22617709396e-07
1960,0.0
1959,0.0
1958,0.0
1957,8.80540193798e-07
1956,4.43995121382e-07
1955,4.66441841699e-07
1954,4.88447484324e-07
1953,4.86665132049e-07
1952,0.0
1951,1.10414335314e-06
1950,0.0
1949,0.0
1948,5.46066437719e-07
1947,0.0
1946,0.0
1945,0.0
1944,0.0
1943,0.0
1942,0.0
1941,0.0
1940,1.13356964482e-06
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,0.0
1934,0.0
1933,4.13425924203e-07
1932,0.0
1931,0.0
1930,0.0
1929,4.16343653382e-07
1928,0.0
1927,0.0
1926,9.47468553519e-07
1925,0.0
1924,0.0
1923,5.09537004106e-07
1922,0.0
1921,0.0
1920,0.0
1919,5.39536322484e-06
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,5.1538767203e-07
1910,5.02849143246e-07
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,7.02115544347e-07
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,1.41872949936e-06
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
