date,freq
2017,2.37232411965e-05
2016,4.02093968505e-05
2015,2.77196435254e-05
2014,5.37397986508e-05
2013,4.48018501953e-05
2012,3.85452024669e-05
2011,3.56128395765e-05
2010,3.19225798365e-05
2009,3.38005349424e-05
2008,4.35813017459e-05
2007,2.93238017562e-05
2006,2.29638506465e-05
2005,2.42105529859e-05
2004,2.11885535479e-05
2003,3.32575669058e-05
2002,1.85044862402e-05
2001,1.76646599831e-05
2000,1.63406551801e-05
1999,1.47387888666e-05
1998,2.69960223743e-05
1997,1.61092957725e-05
1996,1.96889643667e-05
1995,1.9321200233e-05
1994,2.02569957386e-05
1993,1.54640214353e-05
1992,2.4959546947e-05
1991,1.92264734372e-05
1990,2.56176400582e-05
1989,1.48031339014e-05
1988,2.74369823623e-05
1987,2.05901584607e-05
1986,2.80271729047e-05
1985,2.11726485515e-05
1984,1.82710581334e-05
1983,1.77791644252e-05
1982,1.52918257401e-05
1981,1.84791151723e-05
1980,2.03054729145e-05
1979,2.09430804231e-05
1978,1.67888426149e-05
1977,1.83906139656e-05
1976,4.21548932914e-05
1975,2.14437525183e-05
1974,1.88262695041e-05
1973,2.22790356674e-05
1972,1.91052920952e-05
1971,1.27791353637e-05
1970,2.12597060467e-05
1969,2.4245766671e-05
1968,1.81686390365e-05
1967,2.65957147935e-05
1966,1.51800914212e-05
1965,2.07212723018e-05
1964,1.87248750212e-05
1963,1.25126121443e-05
1962,1.36755162005e-05
1961,2.22106781537e-05
1960,2.18027321703e-05
1959,2.871904446e-06
1958,3.45851575203e-06
1957,2.2013504845e-06
1956,1.33198536414e-06
1955,3.73153473359e-06
1954,3.41913239027e-06
1953,4.37998618844e-06
1952,1.06380149464e-06
1951,1.65621502971e-06
1950,1.56210947263e-06
1949,0.0
1948,0.0
1947,1.08334145839e-06
1946,5.90818212326e-07
1945,6.67961621597e-07
1944,6.48928003385e-07
1943,0.0
1942,5.56810544655e-07
1941,4.46387469904e-06
1940,3.96749375687e-06
1939,2.23589096901e-06
1938,5.50051374798e-07
1937,0.0
1936,1.28555965125e-06
1935,1.72367283655e-06
1934,0.0
1933,2.06712962102e-06
1932,4.25224305821e-07
1931,4.12742346828e-07
1930,4.33628214974e-07
1929,8.32687306765e-07
1928,0.0
1927,4.61641940355e-07
1926,9.47468553519e-07
1925,9.1663691416e-07
1924,9.26479239916e-07
1923,0.0
1922,0.0
1921,1.6184608114e-06
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,1.0737822638e-06
1913,1.1135200261e-06
1912,5.29573502684e-07
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
