date,freq
2017,1.73584691682e-06
2016,2.28138421847e-06
2015,7.21865716807e-06
2014,7.06294496553e-06
2013,1.81629122413e-06
2012,4.48200028685e-06
2011,5.59209877648e-06
2010,3.51441245906e-06
2009,1.39671631993e-06
2008,9.10242378237e-06
2007,8.33715932283e-06
2006,3.6855562766e-06
2005,7.0379514494e-06
2004,4.80273880418e-06
2003,5.00335077344e-06
2002,1.41135912001e-05
2001,1.14493166557e-05
2000,4.9330279789e-06
1999,6.48506710128e-06
1998,2.85840236904e-06
1997,1.22430647871e-05
1996,4.68784865874e-06
1995,6.74708579564e-06
1994,6.55373391542e-06
1993,4.14214859875e-06
1992,6.10712318917e-06
1991,1.16370760278e-05
1990,2.71099297704e-05
1989,3.11644924239e-06
1988,9.68364083376e-06
1987,3.11634830757e-05
1986,1.177141262e-05
1985,3.66992574893e-06
1984,3.49299640786e-06
1983,1.72056429921e-06
1982,4.9049252374e-06
1981,4.172703426e-06
1980,4.91261441479e-06
1979,8.10699887346e-06
1978,9.25099491024e-06
1977,8.35936998438e-06
1976,7.13390501854e-06
1975,7.26320649815e-06
1974,3.36183384002e-06
1973,2.74203515906e-06
1972,2.83041364373e-06
1971,1.77487991163e-06
1970,6.12567801346e-06
1969,2.53313980145e-06
1968,2.64959319282e-06
1967,6.74257558146e-06
1966,4.44295358669e-06
1965,6.25547843072e-06
1964,5.07132031824e-06
1963,5.68755097468e-06
1962,6.43553703551e-06
1961,3.29047083759e-06
1960,3.7023507459e-06
1959,5.74380889199e-06
1958,6.48471703505e-06
1957,2.2013504845e-06
1956,6.21593169934e-06
1955,4.19797657529e-06
1954,3.41913239027e-06
1953,0.0
1952,0.0
1951,1.10414335314e-06
1950,1.56210947263e-06
1949,5.07848029524e-07
1948,1.09213287544e-06
1947,1.08334145839e-06
1946,5.90818212326e-07
1945,6.67961621597e-07
1944,1.94678401015e-06
1943,1.97451298637e-06
1942,1.67043163397e-06
1941,4.46387469904e-06
1940,2.26713928964e-06
1939,1.11794548451e-06
1938,5.50051374798e-07
1937,5.12863382939e-07
1936,0.0
1935,0.0
1934,0.0
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
