date,freq
2017,4.05030947257e-06
2016,4.84794146424e-06
2015,3.7537017274e-06
2014,1.41258899311e-05
2013,5.14615846838e-06
2012,4.18320026772e-06
2011,6.18074075295e-06
2010,9.07889885257e-06
2009,1.11737305595e-05
2008,7.99909968754e-06
2007,7.18720631278e-06
2006,1.41752164485e-05
2005,7.60098756535e-06
2004,8.75793546645e-06
2003,1.0889645801e-05
2002,1.31726851201e-05
2001,7.85095999249e-06
2000,8.94111321176e-06
1999,9.4328248746e-06
1998,1.36568113188e-05
1997,1.03099492944e-05
1996,1.5001115708e-05
1995,9.81394297547e-06
1994,1.01284978693e-05
1993,1.21503025563e-05
1992,1.1683192188e-05
1991,1.16370760278e-05
1990,7.21273360863e-06
1989,7.01201079538e-06
1988,1.10285909496e-05
1987,9.18209769195e-06
1986,1.28924995362e-05
1985,7.05754951718e-06
1984,1.04789892236e-05
1983,1.14704286614e-05
1982,1.52918257401e-05
1981,5.96100489428e-06
1980,5.24012204244e-06
1979,6.41804077483e-06
1978,1.06215126747e-05
1977,5.01562199063e-06
1976,5.18829455894e-06
1975,8.64667440256e-06
1974,1.21026018241e-05
1973,1.09681406362e-05
1972,7.07603410931e-06
1971,6.74454366418e-06
1970,7.92734801742e-06
1969,9.77068209132e-06
1968,5.29918638563e-06
1967,5.24422545225e-06
1966,8.14541490892e-06
1965,7.03741323456e-06
1964,2.34060937765e-06
1963,6.06672103965e-06
1962,1.60888425888e-06
1961,2.05654427349e-06
1960,7.8160737969e-06
1959,2.05136031857e-06
1958,6.91703150405e-06
1957,9.68594213178e-06
1956,2.66397072829e-06
1955,1.11946042008e-05
1954,9.28050220217e-06
1953,3.89332105639e-06
1952,5.85090822053e-06
1951,8.83314682512e-06
1950,1.09347663084e-05
1949,1.21883527086e-05
1948,1.20134616298e-05
1947,9.20840239635e-06
1946,1.59520917328e-05
1945,1.06873859456e-05
1944,1.94678401015e-05
1943,2.04033008592e-05
1942,2.00451796076e-05
1941,7.25379638594e-06
1940,1.58699750275e-05
1939,1.34153458141e-05
1938,1.81516953683e-05
1937,1.43601747223e-05
1936,2.65682327926e-05
1935,3.44734567311e-05
1934,1.99456883151e-05
1933,1.94310184376e-05
1932,2.42377854318e-05
1931,1.89861479541e-05
1930,1.6477872169e-05
1929,2.66459938165e-05
1928,2.55989649891e-05
1927,1.89273195546e-05
1926,2.46341823915e-05
1925,2.19992859398e-05
1924,3.61326903567e-05
1923,5.45204594393e-05
1922,5.22028742903e-05
1921,6.06922804275e-05
1920,7.75066122829e-05
1919,2.78760433284e-05
1918,2.44878150858e-05
1917,4.05687619322e-05
1916,4.45977539885e-05
1915,3.83555369275e-05
1914,1.50329516932e-05
1913,1.22487202871e-05
1912,6.35488203221e-06
1911,1.03077534406e-05
1910,1.45826251541e-05
1909,1.08776558962e-05
1908,1.28914411739e-05
1907,6.48109491618e-06
1906,1.04645522526e-05
1905,6.37206892794e-06
1904,7.87972906865e-06
1903,1.30521295528e-05
1902,6.1625010442e-06
1901,4.79802047384e-06
1900,1.87351523917e-06
1899,5.80086033204e-06
1898,1.31853323726e-05
1897,7.76965561002e-06
1896,9.43861627368e-06
1895,5.25708457861e-06
1894,3.78103282693e-06
1893,4.45818698273e-06
1892,4.4994260018e-06
1891,6.18100071638e-07
1890,3.27727660936e-06
1889,9.60885771958e-06
1888,4.95625046907e-06
1887,4.00289542769e-06
1886,1.35027113444e-06
1885,7.09373304154e-06
1884,9.7322044903e-06
1883,1.49741802349e-05
1882,1.37776629639e-05
1881,2.52275207023e-05
1880,2.59782751408e-05
1879,1.42056841001e-05
1878,2.57984334743e-05
1877,3.15802504693e-05
1876,2.55609673804e-05
1875,1.05386293459e-05
1874,1.21561662153e-05
1873,2.63811174514e-06
1872,6.82880060312e-06
1871,7.09364749679e-06
1870,1.56887970223e-05
1869,5.15600126322e-06
1868,2.6442201754e-05
1867,1.54262266421e-05
1866,1.30013168477e-05
1865,3.51463289659e-05
1864,9.3838384028e-06
1863,1.77847019551e-05
1862,2.43278560903e-05
1861,8.47410229597e-06
1860,3.62790073338e-06
1859,7.22878937657e-06
1858,1.09585638437e-05
1857,1.05650357186e-05
1856,2.05094899119e-05
1855,1.75494015654e-05
1854,8.90818996715e-06
1853,2.75529262192e-05
1852,1.948915039e-06
1851,1.52413209145e-05
1850,5.14917149831e-06
1849,8.66620215823e-06
1848,1.77105250108e-05
1847,7.03722339314e-06
1846,1.03321795733e-05
1845,1.74988232041e-05
1844,2.43027146132e-05
1843,1.48106458923e-05
1842,2.28408540652e-06
1841,2.42056316823e-06
1840,6.58874379011e-06
1839,4.86051536044e-06
1838,5.46039303909e-06
1837,9.2459040645e-06
1836,2.20331290128e-06
1835,4.34185132199e-06
1834,2.07875141875e-06
1833,2.19657597737e-06
1832,4.42798219066e-06
1831,2.27530767848e-06
1830,0.0
1829,4.7842883969e-06
1828,7.81893433138e-06
1827,1.13304176392e-05
1826,6.44691289576e-06
1825,1.69683257919e-05
1824,4.97373865988e-06
1823,1.51967985411e-05
1822,5.15562246408e-06
1821,1.11159280133e-05
1820,2.6405603269e-05
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,3.89205009847e-05
1812,0.0
