date,freq
2017,3.47169383364e-06
2016,1.42586513654e-06
2015,5.77492573446e-07
2014,9.21253691156e-07
2013,9.08145612067e-07
2012,5.97600038246e-07
2011,0.0
2010,8.78603114765e-07
2009,5.58686527973e-07
2008,5.51662047416e-07
2007,1.14995301005e-06
2006,8.50512986908e-07
2005,2.81518057976e-06
2004,3.67268261496e-06
2003,1.76588850827e-06
2002,3.13635360003e-06
2001,3.2712333302e-07
2000,0.0
1999,1.76865466399e-06
1998,2.22320184259e-06
1997,3.54404506994e-06
1996,2.18766270741e-06
1995,1.8401143079e-06
1994,2.08527897309e-06
1993,1.38071619958e-06
1992,3.71737933254e-06
1991,4.80661835931e-06
1990,3.23329437628e-06
1989,3.37615334592e-06
1988,4.57283039372e-06
1987,3.33894461526e-06
1986,3.92380420665e-06
1985,3.95222772962e-06
1984,2.68692031374e-06
1983,3.72788931495e-06
1982,3.46230016758e-06
1981,5.36490440485e-06
1980,2.94756864887e-06
1979,5.74245753537e-06
1978,6.50995938128e-06
1977,1.17031179781e-05
1976,4.53975773907e-06
1975,7.60907347425e-06
1974,4.03420060802e-06
1973,7.19784229253e-06
1972,1.34444648077e-05
1971,8.5194235758e-06
1970,9.0083500198e-06
1969,6.15191094638e-06
1968,7.19175295193e-06
1967,1.16122135014e-05
1966,2.70279676523e-05
1965,1.4856761273e-05
1964,1.91149765842e-05
1963,2.42668841586e-05
1962,3.45910115659e-05
1961,2.79690021195e-05
1960,3.41439013233e-05
1959,6.48229860668e-05
1958,5.74978243774e-05
1957,4.57880900775e-05
1956,5.10594389589e-05
1955,4.89763933784e-05
1954,2.88184015751e-05
1953,3.74732151678e-05
1952,4.78710672588e-05
1951,2.04266520331e-05
1950,2.23902357744e-05
1949,2.53924014762e-05
1948,2.83954547614e-05
1947,6.12087923993e-05
1946,2.3632728493e-05
1945,1.66990405399e-05
1944,2.72549761422e-05
1943,3.75157467411e-05
1942,2.78405272328e-05
1941,2.90151855437e-05
1940,3.34403045221e-05
1939,2.57127461436e-05
1938,3.35531338627e-05
1937,4.2054797401e-05
1936,5.44220252364e-05
1935,5.3002939724e-05
1934,8.14802586489e-05
1933,5.12648146012e-05
1932,4.67746736403e-05
1931,5.0354566313e-05
1930,2.21150389637e-05
1929,3.12257740037e-05
1928,3.81952810949e-05
1927,3.00067261231e-05
1926,1.70544339633e-05
1925,9.1663691416e-06
1924,3.2890013017e-05
1923,3.92343493162e-05
1922,1.85610219699e-05
1921,1.37569168969e-05
1920,7.92681261984e-06
1919,2.69768161242e-06
1918,7.42055002601e-07
1917,6.6605430038e-06
1916,4.00236253743e-06
1915,1.11175469355e-06
1914,1.6106733957e-06
1913,1.67028003915e-06
1912,3.1774410161e-06
1911,0.0
1910,1.50854742974e-06
1909,1.03596722821e-06
1908,0.0
1907,5.40091243015e-07
1906,0.0
1905,6.37206892794e-07
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
