date,freq
2017,1.73584691682e-06
2016,2.85173027308e-07
2015,2.30997029378e-06
2014,2.45667650975e-06
2013,3.32986724425e-06
2012,1.16532007458e-05
2011,5.88641976471e-07
2010,8.78603114765e-07
2009,2.23474611189e-06
2008,3.58580330821e-06
2007,4.31232378767e-06
2006,9.63914718496e-06
2005,7.60098756535e-06
2004,1.27131321287e-05
2003,7.0635540331e-06
2002,3.76362432004e-06
2001,1.30849333208e-06
2000,3.69977098418e-06
1999,3.53730932797e-06
1998,5.39920447486e-06
1997,2.5774873236e-06
1996,1.56261621958e-06
1995,7.05377151362e-06
1994,2.08527897309e-06
1993,2.76143239917e-06
1992,7.96581285544e-07
1991,1.77085939553e-06
1990,1.74100466415e-06
1989,3.37615334592e-06
1988,2.42091020844e-06
1987,2.78245384605e-06
1986,8.4081518714e-06
1985,1.41150990344e-06
1984,2.68692031374e-06
1983,1.72056429921e-06
1982,9.52132546083e-06
1981,4.47075367071e-06
1980,2.94756864887e-06
1979,6.75583239455e-06
1978,2.39840608784e-06
1977,4.34687239188e-06
1976,2.59414727947e-06
1975,4.15040371323e-06
1974,3.02565045602e-06
1973,3.08478955394e-06
1972,7.78363752025e-06
1971,2.8398078586e-06
1970,1.80167000396e-06
1969,1.08563134348e-06
1968,4.54215975911e-06
1967,4.12046285534e-06
1966,2.59172292557e-06
1965,3.9096740192e-06
1964,3.90101562942e-06
1963,3.79170064978e-06
1962,2.0111053236e-06
1961,5.75832396577e-06
1960,1.6454892204e-06
1959,3.69244857342e-06
1958,1.29694340701e-06
1957,1.3208102907e-06
1956,3.55196097105e-06
1955,1.11946042008e-05
1954,1.46534245297e-06
1953,7.78664211279e-06
1952,8.51041195713e-06
1951,3.86450173599e-06
1950,7.81054736316e-06
1949,4.57063226572e-06
1948,5.46066437719e-06
1947,0.0
1946,1.77245463698e-06
1945,2.67184648639e-06
1944,0.0
1943,2.63268398183e-06
1942,1.11362108931e-06
1941,5.5798433738e-07
1940,1.13356964482e-06
1939,1.11794548451e-06
1938,1.6501541244e-06
1937,1.02572676588e-06
1936,6.85631814002e-06
1935,2.15459104569e-06
1934,4.66813981843e-06
1933,4.13425924203e-07
1932,4.67746736403e-06
1931,1.23822704048e-06
1930,1.21415900193e-05
1929,5.41246749397e-06
1928,8.12665555211e-07
1927,1.38492582106e-06
1926,4.73734276759e-07
1925,0.0
1924,2.77943771975e-06
1923,1.01907400821e-06
1922,5.80031936558e-07
1921,8.092304057e-07
1920,0.0
1919,0.0
1918,0.0
1917,1.21100781887e-06
1916,2.2870643071e-06
1915,4.4470187742e-06
1914,0.0
1913,2.2270400522e-06
1912,2.11829401074e-06
1911,7.73081508045e-06
1910,3.01709485947e-06
1909,1.03596722821e-06
1908,1.98329864213e-06
1907,3.7806387011e-06
1906,2.46224758884e-06
1905,1.91162067838e-06
1904,4.59650862338e-06
1903,1.95781943292e-06
1902,1.36944467649e-06
1901,2.05629448879e-06
1900,6.24505079724e-07
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,2.52068855128e-06
1893,0.0
1892,6.42775143114e-07
1891,0.0
1890,0.0
1889,1.37269395994e-06
1888,7.08035781296e-07
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,1.31905587257e-06
1872,0.0
1871,1.41872949936e-06
1870,0.0
1869,0.0
1868,1.46901120856e-06
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
