date,freq
2017,5.20754075045e-06
2016,1.99621119116e-06
2015,6.3524183079e-06
2014,5.83460671066e-06
2013,3.63258244827e-06
2012,2.39040015299e-06
2011,6.47506174119e-06
2010,5.27161868859e-06
2009,5.86620854371e-06
2008,8.82659275866e-06
2007,4.02483553516e-06
2006,3.96906060557e-06
2005,8.1640236813e-06
2004,4.52022475688e-06
2003,5.00335077344e-06
2002,6.58634256007e-06
2001,7.19671332645e-06
2000,6.16628497363e-06
1999,8.25372176527e-06
1998,3.81120315873e-06
1997,5.15497464719e-06
1996,7.18803461007e-06
1995,4.60028576975e-06
1994,1.01284978693e-05
1993,8.28429719751e-06
1992,9.29344833135e-06
1991,5.3125781866e-06
1990,6.71530370458e-06
1989,7.01201079538e-06
1988,9.4146508106e-06
1987,6.95613461512e-06
1986,3.08298901951e-06
1985,5.08143565237e-06
1984,6.17991672159e-06
1983,7.74253934644e-06
1982,7.50165036308e-06
1981,6.55710538371e-06
1980,5.89513729775e-06
1979,6.41804077483e-06
1978,3.08366497008e-06
1977,6.01874638875e-06
1976,3.56695250927e-06
1975,5.18800464153e-06
1974,6.38748429603e-06
1973,3.42754394883e-06
1972,2.83041364373e-06
1971,2.12985589395e-06
1970,9.72901802138e-06
1969,3.61877114493e-06
1968,1.8925665663e-06
1967,9.36468830759e-06
1966,2.96196905779e-06
1965,2.34580441152e-06
1964,5.07132031824e-06
1963,4.92921084472e-06
1962,4.02221064719e-06
1961,4.52439740168e-06
1960,1.2341169153e-06
1959,1.64108825485e-06
1958,3.89083022103e-06
1957,2.2013504845e-06
1956,1.33198536414e-06
1955,4.66441841699e-06
1954,3.41913239027e-06
1953,1.45999539615e-06
1952,2.6595037366e-06
1951,1.71142219737e-05
1950,4.16562526035e-06
1949,7.10987241334e-06
1948,1.63819931316e-06
1947,3.79169510438e-06
1946,6.49900033558e-06
1945,4.00776972958e-06
1944,1.94678401015e-06
1943,3.29085497729e-06
1942,2.78405272328e-06
1941,5.5798433738e-07
1940,0.0
1939,1.11794548451e-06
1938,0.0
1937,1.02572676588e-06
1936,8.57039767502e-07
1935,8.61836418277e-07
1934,4.2437634713e-07
1933,0.0
1932,8.50448611643e-07
1931,4.12742346828e-07
1930,2.16814107487e-06
1929,8.32687306765e-07
1928,0.0
1927,1.38492582106e-06
1926,0.0
1925,0.0
1924,9.26479239916e-07
1923,0.0
1922,1.16006387312e-06
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,5.29573502684e-07
1911,0.0
1910,0.0
1909,2.58991807053e-06
1908,0.0
1907,0.0
1906,6.15561897211e-07
1905,1.91162067838e-06
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
