date,freq
2017,0.0
2016,1.99621119116e-06
2015,2.88746286723e-07
2014,6.14169127438e-07
2013,1.15031777529e-05
2012,0.0
2011,0.0
2010,5.85735409843e-07
2009,1.11737305595e-06
2008,5.51662047416e-07
2007,1.43744126256e-06
2006,1.98453030279e-06
2005,1.40759028988e-06
2004,2.82514047305e-07
2003,2.94314751379e-07
2002,3.13635360003e-07
2001,3.2712333302e-07
2000,0.0
1999,5.89551554662e-07
1998,3.17600263227e-07
1997,1.61092957725e-06
1996,3.12523243916e-07
1995,0.0
1994,0.0
1993,1.38071619958e-06
1992,2.12421676145e-06
1991,3.79469870472e-06
1990,7.46144856065e-07
1989,3.11644924239e-06
1988,0.0
1987,1.11298153842e-06
1986,5.60543458093e-07
1985,2.82301980687e-07
1984,5.91122469022e-06
1983,8.60282149604e-07
1982,7.79017537704e-06
1981,5.96100489428e-07
1980,6.55015255305e-07
1979,3.37791619728e-07
1978,3.4262944112e-07
1977,6.6874959875e-07
1976,3.24268409934e-07
1975,6.91733952205e-07
1974,0.0
1973,3.42754394883e-07
1972,1.41520682186e-06
1971,4.61468777023e-06
1970,2.88267200634e-06
1969,3.61877114493e-07
1968,2.64959319282e-06
1967,1.49835012921e-06
1966,1.4809845289e-06
1965,1.56386960768e-06
1964,2.34060937765e-06
1963,7.58340129957e-07
1962,2.41332638832e-06
1961,3.70177969228e-06
1960,8.227446102e-07
1959,1.23081619114e-06
1958,1.29694340701e-06
1957,3.08189067829e-06
1956,1.5095834127e-05
1955,4.66441841699e-07
1954,2.44223742162e-06
1953,2.43332566025e-06
1952,5.31900747321e-07
1951,3.86450173599e-06
1950,4.16562526035e-06
1949,6.09417635429e-06
1948,4.91459793947e-06
1947,5.95837802117e-06
1946,5.90818212326e-07
1945,5.34369297278e-06
1944,1.23296320643e-05
1943,5.92353895912e-06
1942,1.67043163397e-06
1941,5.5798433738e-07
1940,3.96749375687e-06
1939,1.67691822676e-06
1938,5.50051374798e-07
1937,5.12863382939e-07
1936,4.71371872126e-06
1935,1.72367283655e-06
1934,1.69750538852e-06
1933,2.06712962102e-06
1932,4.67746736403e-06
1931,4.12742346828e-06
1930,4.72654754321e-05
1929,1.04085913346e-05
1928,4.06332777606e-06
1927,8.77119686674e-06
1926,1.13696226422e-05
1925,7.33309531328e-06
1924,1.34339489788e-05
1923,1.4267036115e-05
1922,2.43613413355e-05
1921,8.092304057e-06
1920,1.40921113242e-05
1919,7.19381763313e-06
1918,2.9682200104e-06
1917,1.27155820982e-05
1916,6.86119292131e-06
1915,1.723219775e-05
1914,6.97958471471e-06
1913,1.67028003915e-05
1912,2.33012341181e-05
1911,2.06155068812e-05
1910,6.03418971895e-06
1909,2.27912790207e-05
1908,1.43789151555e-05
1907,8.64145988823e-06
1906,1.41579236359e-05
1905,3.31347584253e-05
1904,2.62657635622e-05
1903,7.8312777317e-06
1902,4.10833402947e-06
1901,1.37086299253e-06
1900,1.87351523917e-06
1899,2.57816014757e-06
1898,0.0
1897,3.23735650417e-06
1896,2.51696433965e-06
1895,0.0
1894,1.26034427564e-06
1893,1.27376770935e-06
1892,6.42775143114e-07
1891,6.18100071638e-07
1890,1.31091064374e-06
1889,2.05904093991e-06
1888,1.41607156259e-06
1887,6.67149237949e-07
1886,2.02540670167e-06
1885,7.09373304154e-07
1884,4.86610224515e-06
1883,2.13916860499e-06
1882,1.03332472229e-05
1881,5.60611571163e-06
1880,4.21269326608e-06
1879,0.0
1878,0.0
1877,2.52642003754e-06
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,1.36576012062e-06
1871,2.83745899872e-06
1870,0.0
1869,0.0
1868,0.0
1867,1.71402518246e-06
1866,3.71466195648e-06
1865,0.0
1864,1.87676768056e-06
1863,0.0
1862,3.4754080129e-06
1861,1.69482045919e-06
1860,0.0
1859,1.80719734414e-06
1858,0.0
1857,1.76083928644e-06
1856,1.70912415932e-05
1855,1.40395212523e-05
1854,0.0
1853,0.0
1852,5.84674511699e-06
1851,1.18543607113e-05
1850,2.05966859932e-05
1849,2.9465087338e-05
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,4.39249586007e-06
1839,0.0
1838,0.0
1837,2.31147601612e-06
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,2.21399109533e-06
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
