date,freq
2017,0.0
2016,0.0
2015,0.0
2014,0.0
2013,0.0
2012,0.0
2011,0.0
2010,0.0
2009,2.79343263986e-07
2008,2.75831023708e-07
2007,0.0
2006,0.0
2005,5.63036115952e-07
2004,2.82514047305e-07
2003,1.17725900552e-06
2002,1.25454144001e-06
2001,1.96273999812e-06
2000,6.16628497363e-07
1999,0.0
1998,1.27040105291e-06
1997,1.2887436618e-06
1996,3.12523243916e-07
1995,0.0
1994,0.0
1993,0.0
1992,0.0
1991,0.0
1990,0.0
1989,0.0
1988,0.0
1987,0.0
1986,0.0
1985,0.0
1984,2.68692031374e-07
1983,0.0
1982,2.88525013965e-07
1981,2.98050244714e-07
1980,6.55015255305e-07
1979,3.37791619728e-07
1978,1.02788832336e-06
1977,1.3374991975e-06
1976,1.9456104596e-06
1975,4.84213766543e-06
1974,1.00855015201e-06
1973,0.0
1972,3.53801705466e-07
1971,0.0
1970,0.0
1969,0.0
1968,3.7851331326e-07
1967,0.0
1966,0.0
1965,0.0
1964,0.0
1963,7.58340129957e-07
1962,8.04442129439e-07
1961,8.22617709396e-07
1960,8.227446102e-07
1959,0.0
1958,0.0
1957,0.0
1956,0.0
1955,4.66441841699e-07
1954,3.41913239027e-06
1953,1.9466605282e-06
1952,5.31900747321e-07
1951,5.5207167657e-07
1950,0.0
1949,1.01569605905e-06
1948,6.00673081491e-06
1947,4.33336583358e-06
1946,1.18163642465e-05
1945,1.33592324319e-06
1944,4.08824642132e-05
1943,3.48830627592e-05
1942,4.06471697598e-05
1941,3.62689819297e-05
1940,3.79745831014e-05
1939,3.85691192155e-05
1938,3.96036989855e-05
1937,3.23103931252e-05
1936,2.99963918626e-05
1935,3.18879474762e-05
1934,2.16431937036e-05
1933,1.86041665891e-05
1932,2.33873368202e-05
1931,2.3939056116e-05
1930,2.21150389637e-05
1929,2.49806192029e-05
1928,3.00686255428e-05
1927,2.67752325406e-05
1926,3.12664622661e-05
1925,2.74991074248e-05
1924,4.58607223759e-05
1923,8.25449946651e-05
1922,3.82821078129e-05
1921,4.53169027192e-05
1920,4.93223896345e-05
1919,4.40621330029e-05
1918,5.63961801977e-05
1917,3.63302345662e-05
1916,2.22988769942e-05
1915,6.11465081453e-06
1914,5.90580245091e-06
1913,1.94866004568e-05
1912,2.171251361e-05
1911,1.03077534406e-05
1910,6.03418971895e-06
1909,9.32370505391e-06
1908,1.98329864213e-05
1907,3.7806387011e-06
1906,1.41579236359e-05
1905,3.56835859965e-05
1904,3.93986453432e-06
1903,6.52606477641e-07
1902,1.36944467649e-06
1901,1.78212189028e-05
1900,1.06165863553e-05
1899,6.44540036893e-07
1898,1.97779985588e-06
1897,1.29494260167e-06
1896,1.38433038681e-05
1895,1.18284403019e-05
1894,3.97008446827e-05
1893,1.91065156403e-06
1892,7.07052657425e-06
1891,6.18100071638e-06
1890,2.49073022311e-05
1889,6.8634697997e-06
1888,1.41607156259e-06
1887,3.33574618974e-06
1886,6.75135567222e-06
1885,6.38435973739e-06
1884,1.5293464199e-05
1883,2.85222480665e-06
1882,1.17110135193e-05
1881,8.40917356744e-06
1880,9.82961762085e-06
1879,1.52203758215e-05
1878,6.73002612372e-06
1877,1.01056801502e-05
1876,5.11219347607e-06
1875,9.22130067763e-06
1874,5.40274054014e-06
1873,2.90192291965e-05
1872,1.22918410856e-05
1871,0.0
1870,3.6607193052e-05
1869,6.44500157903e-06
1868,7.34505604278e-06
1867,6.85610072983e-06
1866,1.11439858694e-05
1865,2.40474882399e-05
1864,5.63030304168e-06
1863,3.02339933236e-05
1862,8.68852003225e-06
1861,1.18637432144e-05
1860,1.81395036669e-06
1859,3.61439468829e-06
1858,1.82642730728e-06
1857,8.80419643219e-06
1856,8.54562079662e-06
1855,5.26482046962e-06
1854,2.22704749179e-06
1853,1.96806615851e-06
1852,9.74457519499e-06
1851,1.52413209145e-05
1850,5.14917149831e-06
1849,1.73324043165e-06
1848,3.54210500216e-06
1847,1.40744467863e-05
1846,4.13287182931e-06
1845,1.22491762429e-05
1844,4.05045243554e-06
1843,3.70266147307e-06
1842,9.13634162609e-06
1841,2.42056316823e-06
1840,1.31774875802e-05
1839,4.86051536044e-06
1838,8.19058955864e-06
1837,2.31147601612e-06
1836,6.60993870384e-06
1835,4.34185132199e-06
1834,2.07875141875e-06
1833,0.0
1832,2.21399109533e-06
1831,0.0
1830,9.09367852937e-06
1829,0.0
1828,2.60631144379e-06
1827,0.0
1826,0.0
1825,1.69683257919e-05
1824,0.0
1823,0.0
1822,1.03112449282e-05
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,7.78410019694e-06
1812,0.0
