date,freq
2017,5.20754075045e-06
2016,3.70724935501e-06
2015,5.48617944773e-06
2014,3.37793020091e-06
2013,3.93529765229e-06
2012,4.48200028685e-06
2011,6.47506174119e-06
2010,4.68588327875e-06
2009,3.35211916784e-06
2008,7.99909968754e-06
2007,5.1747885452e-06
2006,4.53606926351e-06
2005,5.06732504356e-06
2004,5.65028094609e-06
2003,9.12375729275e-06
2002,7.84088400008e-06
2001,1.24306866548e-05
2000,1.07909987038e-05
1999,9.4328248746e-06
1998,5.39920447486e-06
1997,4.51060281629e-06
1996,4.37532541483e-06
1995,6.13371435967e-06
1994,9.53270387698e-06
1993,1.07695863568e-05
1992,3.71737933254e-06
1991,3.28873887742e-06
1990,3.4820093283e-06
1989,2.07763282826e-06
1988,1.88293016212e-06
1987,2.50420846144e-06
1986,1.68163037428e-06
1985,5.64603961374e-07
1984,4.29907250198e-06
1983,1.43380358267e-06
1982,1.15410005586e-06
1981,7.74930636257e-06
1980,3.60258390418e-06
1979,1.35116647891e-06
1978,1.02788832336e-06
1977,1.00312439813e-06
1976,3.8912209192e-06
1975,2.76693580882e-06
1974,4.03420060802e-06
1973,1.37101757953e-06
1972,3.53801705466e-07
1971,2.12985589395e-06
1970,6.48601201426e-06
1969,3.61877114493e-06
1968,7.57026626519e-07
1967,2.62211272612e-06
1966,1.85123066112e-06
1965,9.38321764608e-06
1964,6.24162500707e-06
1963,1.51668025991e-06
1962,6.43553703551e-06
1961,7.81486823926e-06
1960,4.9364676612e-06
1959,6.1540809557e-06
1958,6.48471703505e-06
1957,3.96243087209e-06
1956,3.10796584967e-06
1955,1.3993255251e-05
1954,3.9075798746e-06
1953,8.75997237689e-06
1952,3.19140448392e-06
1951,8.28107514855e-06
1950,1.04140631509e-05
1949,1.62511369448e-05
1948,1.63819931316e-06
1947,1.62501218759e-06
1946,1.18163642465e-06
1945,2.00388486479e-06
1944,7.13820803723e-06
1943,4.6071969682e-06
1942,7.23853708052e-06
1941,7.81178072332e-06
1940,3.96749375687e-06
1939,1.56512367831e-05
1938,0.0
1937,0.0
1936,0.0
1935,0.0
1934,0.0
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,4.61641940355e-07
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,5.36891131901e-07
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
