date,freq
2017,1.15723127788e-06
2016,0.0
2015,2.88746286723e-07
2014,0.0
2013,0.0
2012,0.0
2011,5.88641976471e-07
2010,0.0
2009,3.63146243182e-06
2008,4.68912740304e-06
2007,6.61222980776e-06
2006,7.65461688217e-06
2005,0.0
2004,2.82514047305e-07
2003,0.0
2002,1.72499448002e-05
2001,6.54246666041e-06
2000,9.55774170912e-06
1999,7.36939443328e-06
1998,5.39920447486e-06
1997,7.41027605534e-06
1996,5.62541839049e-06
1995,1.07340001294e-05
1994,8.34111589236e-06
1993,7.73201071767e-06
1992,1.24797734735e-05
1991,1.16370760278e-05
1990,1.1689602745e-05
1989,1.09075723484e-05
1988,1.39874812043e-05
1987,1.58599869225e-05
1986,1.2051684349e-05
1985,5.64603961374e-06
1984,9.94160516082e-06
1983,9.74986436218e-06
1982,1.32721506424e-05
1981,1.16239595439e-05
1980,1.53928584997e-05
1979,1.08093318313e-05
1978,9.93625379248e-06
1977,1.63843651694e-05
1976,1.55648836768e-05
1975,1.0030142307e-05
1974,9.41313475205e-06
1973,1.26819126107e-05
1972,8.84504263664e-06
1971,1.45540152753e-05
1970,1.08100200238e-05
1969,8.68505074784e-06
1968,6.81323963867e-06
1967,8.99010077528e-06
1966,7.7751687767e-06
1965,6.25547843072e-06
1964,1.44337578289e-05
1963,1.25126121443e-05
1962,7.23997916495e-06
1961,7.40355938457e-06
1960,7.4047014918e-06
1959,4.92326476456e-06
1958,6.91703150405e-06
1957,7.92486174418e-06
1956,1.15438731559e-05
1955,6.99662762548e-06
1954,1.12342921395e-05
1953,1.11932980371e-05
1952,1.11699156937e-05
1951,9.38521850169e-06
1950,8.3312505207e-06
1949,7.61772044286e-06
1948,8.73706300351e-06
1947,5.41670729197e-06
1946,5.31736391093e-06
1945,3.33980810799e-06
1944,3.24464001692e-06
1943,2.63268398183e-06
1942,2.22724217862e-06
1941,3.34790602428e-06
1940,1.70035446723e-06
1939,3.35383645352e-06
1938,1.1001027496e-06
1937,1.53859014882e-06
1936,1.714079535e-06
1935,0.0
1934,3.39501077704e-06
1933,2.48055554522e-06
1932,2.55134583493e-06
1931,4.12742346828e-06
1930,4.33628214974e-06
1929,6.24515480073e-06
1928,6.50132444169e-06
1927,8.77119686674e-06
1926,4.73734276759e-06
1925,3.20822919956e-06
1924,2.31619809979e-06
1923,7.13351805748e-06
1922,4.64025549247e-06
1921,4.0461520285e-06
1920,7.04605566208e-06
1919,5.39536322484e-06
1918,2.9682200104e-06
1917,1.81651172831e-06
1916,2.2870643071e-06
1915,5.55877346775e-07
1914,3.75823792331e-06
1913,2.78380006525e-06
1912,4.76616152415e-06
1911,1.54616301609e-06
1910,4.02279314597e-06
1909,4.66185252696e-06
1908,9.91649321067e-07
1907,2.70045621507e-06
1906,3.07780948606e-06
1905,3.82324135677e-06
1904,3.28322044527e-06
1903,3.91563886585e-06
1902,6.1625010442e-06
1901,4.79802047384e-06
1900,3.12252539862e-06
1899,3.22270018447e-06
1898,1.31853323726e-06
1897,2.58988520334e-06
1896,2.51696433965e-06
1895,1.31427114465e-06
1894,0.0
1893,6.36883854676e-07
1892,1.28555028623e-06
1891,1.23620014328e-06
1890,6.55455321871e-07
1889,0.0
1888,0.0
1887,6.67149237949e-07
1886,6.75135567222e-07
1885,7.09373304154e-07
1884,2.08547239078e-06
1883,7.13056201664e-07
1882,0.0
1881,7.00764463954e-07
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
