date,freq
2017,5.78615638939e-06
2016,5.70346054617e-06
2015,7.21865716807e-06
2014,6.14169127438e-06
2013,1.02923169368e-05
2012,2.98800019123e-06
2011,2.94320988236e-06
2010,1.52291206559e-05
2009,5.86620854371e-06
2008,1.40673822091e-05
2007,6.89971806027e-06
2006,3.11854761866e-06
2005,4.78580698559e-06
2004,5.08525285148e-06
2003,4.12040651931e-06
2002,1.59954033602e-05
2001,8.83232999155e-06
2000,8.01617046571e-06
1999,6.48506710128e-06
1998,8.89280737036e-06
1997,7.41027605534e-06
1996,2.18766270741e-05
1995,8.28051438555e-06
1994,6.25583691927e-06
1993,1.15980160765e-05
1992,8.76239414099e-06
1991,1.49258149052e-05
1990,8.95373827278e-06
1989,8.82993952011e-06
1988,1.80223315517e-05
1987,8.34736153814e-06
1986,7.28706495522e-06
1985,1.83496287447e-05
1984,7.52337687846e-06
1983,9.46310364565e-06
1982,1.15410005586e-05
1981,5.06685416014e-06
1980,8.18769069132e-06
1979,6.0802491551e-06
1978,1.02788832336e-06
1977,3.00937319438e-06
1976,2.26987886954e-06
1975,3.11280278492e-06
1974,1.00855015201e-06
1973,1.02826318465e-06
1972,3.53801705466e-06
1971,7.45449562883e-06
1970,2.88267200634e-06
1969,2.17126268696e-06
1968,4.16364644585e-06
1967,3.74587532303e-07
1966,3.70246132224e-06
1965,7.03741323456e-06
1964,3.51091406648e-06
1963,1.13751019494e-06
1962,1.60888425888e-06
1961,0.0
1960,6.5819568816e-06
1959,6.1540809557e-06
1958,8.64628938007e-07
1957,8.80540193798e-07
1956,3.55196097105e-06
1955,9.32883683398e-07
1954,0.0
1953,0.0
1952,0.0
1951,0.0
1950,0.0
1949,0.0
1948,5.46066437719e-07
1947,0.0
1946,1.77245463698e-06
1945,6.67961621597e-06
1944,2.01167681049e-05
1943,2.10614718546e-05
1942,2.22724217862e-06
1941,0.0
1940,1.13356964482e-06
1939,5.58972742253e-07
1938,3.30030824879e-06
1937,0.0
1936,2.14259941876e-06
1935,4.30918209138e-07
1934,0.0
1933,4.13425924203e-07
1932,0.0
1931,0.0
1930,0.0
1929,4.16343653382e-07
1928,0.0
1927,9.2328388071e-07
1926,0.0
1925,9.1663691416e-07
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,7.42055002601e-07
1917,0.0
1916,0.0
1915,0.0
1914,5.36891131901e-07
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,2.07193445643e-06
1908,9.91649321067e-07
1907,5.40091243015e-07
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,6.47471300835e-07
1896,6.29241084912e-07
1895,0.0
1894,1.26034427564e-06
1893,0.0
1892,0.0
1891,1.85430021491e-06
1890,0.0
1889,0.0
1888,7.08035781296e-07
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,1.12167102062e-06
1877,1.26321001877e-06
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
