date,freq
2017,4.62892511151e-06
2016,8.84036384656e-06
2015,1.81910160635e-05
2014,1.13621288576e-05
2013,1.48330449971e-05
2012,1.4641200937e-05
2011,5.29777778824e-06
2010,1.4936252951e-05
2009,7.82161139162e-06
2008,6.89577559271e-06
2007,9.77460058538e-06
2006,1.21906861457e-05
2005,6.75643339142e-06
2004,5.08525285148e-06
2003,9.41807204413e-06
2002,6.27270720006e-06
2001,5.56109666135e-06
2000,4.9330279789e-06
1999,7.36939443328e-06
1998,7.30480605422e-06
1997,8.05464788623e-06
1996,1.34384994884e-05
1995,7.97382866757e-06
1994,3.27686695771e-06
1993,3.313718879e-06
1992,5.84159609399e-06
1991,1.77085939553e-06
1990,3.4820093283e-06
1989,3.63585744946e-06
1988,5.11081044004e-06
1987,3.06069923065e-06
1986,5.88570630998e-06
1985,2.82301980687e-06
1984,2.14953625099e-06
1983,4.01465003149e-06
1982,1.15410005586e-06
1981,2.98050244714e-07
1980,1.96504576592e-06
1979,3.04012457755e-06
1978,0.0
1977,2.00624879625e-06
1976,1.62134204967e-06
1975,3.45866976102e-07
1974,6.72366768004e-07
1973,3.42754394883e-07
1972,0.0
1971,7.0995196465e-07
1970,0.0
1969,2.53313980145e-06
1968,1.13553993978e-06
1967,1.49835012921e-06
1966,1.4809845289e-06
1965,7.8193480384e-07
1964,1.17030468883e-06
1963,2.27502038987e-06
1962,0.0
1961,8.22617709396e-07
1960,4.113723051e-07
1959,8.20544127427e-07
1958,0.0
1957,8.80540193798e-07
1956,3.55196097105e-06
1955,0.0
1954,2.93068490595e-06
1953,6.81331184869e-06
1952,4.78710672588e-06
1951,7.17693179541e-06
1950,4.6863284179e-06
1949,3.04708817715e-06
1948,7.09886369035e-06
1947,4.33336583358e-06
1946,7.68063676024e-06
1945,1.06873859456e-05
1944,2.59571201354e-06
1943,1.31634199091e-06
1942,1.67043163397e-06
1941,2.7899216869e-06
1940,3.40070893446e-06
1939,1.11794548451e-06
1938,1.1001027496e-06
1937,1.02572676588e-06
1936,8.57039767502e-07
1935,1.72367283655e-06
1934,2.12188173565e-06
1933,8.26851848407e-07
1932,4.25224305821e-07
1931,6.60387754925e-06
1930,3.90265393476e-06
1929,1.24903096015e-06
1928,1.21899833282e-06
1927,1.84656776142e-06
1926,1.42120283028e-06
1925,9.1663691416e-07
1924,9.26479239916e-07
1923,0.0
1922,4.06022355591e-06
1921,1.6184608114e-06
1920,8.8075695776e-07
1919,1.79845440828e-06
1918,2.9682200104e-06
1917,6.05503909436e-07
1916,2.85883038388e-06
1915,1.66763204033e-06
1914,3.75823792331e-06
1913,6.12436014356e-06
1912,1.1650617059e-05
1911,4.12310137624e-06
1910,5.5313405757e-06
1909,9.32370505391e-06
1908,5.45407126587e-06
1907,4.86082118713e-06
1906,2.46224758884e-06
1905,3.82324135677e-06
1904,1.31328817811e-06
1903,0.0
1902,0.0
1901,2.05629448879e-06
1900,3.74703047835e-06
1899,1.28908007379e-06
1898,6.59266618628e-07
1897,1.29494260167e-06
1896,0.0
1895,3.28567786163e-06
1894,0.0
1893,6.36883854676e-07
1892,6.42775143114e-07
1891,0.0
1890,1.96636596561e-06
1889,2.05904093991e-06
1888,7.08035781296e-07
1887,1.3342984759e-06
1886,0.0
1885,7.09373304154e-07
1884,0.0
1883,7.13056201664e-07
1882,0.0
1881,7.00764463954e-07
1880,4.91480881043e-06
1879,2.02938344287e-06
1878,2.24334204124e-06
1877,0.0
1876,0.0
1875,0.0
1874,4.0520554051e-06
1873,0.0
1872,1.36576012062e-06
1871,2.83745899872e-06
1870,2.61479950371e-06
1869,2.57800063161e-06
1868,1.46901120856e-06
1867,0.0
1866,0.0
1865,0.0
1864,1.87676768056e-06
1863,1.77847019551e-06
1862,0.0
1861,0.0
1860,3.62790073338e-06
1859,0.0
1858,0.0
1857,7.04335714575e-06
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,5.65610859729e-06
1824,0.0
1823,0.0
1822,0.0
1821,5.55796400663e-06
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
