date,freq
2017,2.8930781947e-06
2016,1.42586513654e-06
2015,4.04244801412e-06
2014,2.76376107347e-06
2013,2.42172163218e-06
2012,2.68920017211e-06
2011,2.35456790589e-06
2010,1.75720622953e-06
2009,5.86620854371e-06
2008,1.37915511854e-06
2007,1.72492951507e-06
2006,4.53606926351e-06
2005,1.97062640583e-06
2004,8.47542141914e-07
2003,5.88629502758e-07
2002,3.13635360003e-06
2001,2.28986333114e-06
2000,3.08314248681e-06
1999,3.8320851053e-06
1998,4.12880342195e-06
1997,2.25530140815e-06
1996,2.81270919525e-06
1995,1.8401143079e-06
1994,2.6810729654e-06
1993,2.76143239917e-06
1992,5.04501480845e-06
1991,5.56555810025e-06
1990,3.4820093283e-06
1989,6.23289848478e-06
1988,3.49687030108e-06
1987,5.8431530767e-06
1986,3.92380420665e-06
1985,5.08143565237e-06
1984,5.64253265884e-06
1983,5.16169289763e-06
1982,5.77050027929e-06
1981,5.66295464957e-06
1980,3.60258390418e-06
1979,4.39129105646e-06
1978,2.74103552896e-06
1977,1.3374991975e-06
1976,3.8912209192e-06
1975,7.26320649815e-06
1974,4.03420060802e-06
1973,4.11305273859e-06
1972,4.24562046559e-06
1971,3.54975982325e-06
1970,2.16200400475e-06
1969,4.34252537392e-06
1968,5.29918638563e-06
1967,1.49835012921e-06
1966,4.81319971891e-06
1965,5.08257622496e-06
1964,2.34060937765e-06
1963,3.79170064978e-06
1962,4.82665277663e-06
1961,6.16963282047e-06
1960,5.3478399663e-06
1959,6.1540809557e-06
1958,6.48471703505e-06
1957,3.96243087209e-06
1956,3.99595609243e-06
1955,4.66441841699e-06
1954,6.83826478054e-06
1953,1.70332796217e-05
1952,1.91484269035e-05
1951,1.26976485611e-05
1950,1.45796884112e-05
1949,2.08217692105e-05
1948,1.3651660943e-05
1947,1.35417682299e-05
1946,1.83153645821e-05
1945,1.13553475672e-05
1944,2.59571201354e-06
1943,6.58170995457e-06
1942,2.78405272328e-06
1941,2.7899216869e-06
1940,1.70035446723e-06
1939,3.35383645352e-06
1938,1.26511816204e-05
1937,4.10290706351e-06
1936,3.85667895376e-06
1935,3.87826388225e-06
1934,1.01850323311e-05
1933,1.03356481051e-05
1932,6.80358889314e-06
1931,1.03185586707e-05
1930,1.7345128599e-06
1929,4.99612384059e-06
1928,6.09499166408e-06
1927,4.15477746319e-06
1926,1.08958883655e-05
1925,7.33309531328e-06
1924,1.0654511259e-05
1923,1.22288880985e-05
1922,9.86054292149e-06
1921,9.71076486839e-06
1920,6.16529870432e-06
1919,7.19381763313e-06
1918,3.710275013e-06
1917,7.87155082267e-06
1916,8.00472507486e-06
1915,5.00289612098e-06
1914,5.36891131901e-06
1913,8.35140019576e-06
1912,5.82530852952e-06
1911,6.70003973639e-06
1910,7.54273714868e-06
1909,1.13956395103e-05
1908,1.43789151555e-05
1907,8.64145988823e-06
1906,1.29267998414e-05
1905,7.64648271353e-06
1904,5.90979680149e-06
1903,5.22085182113e-06
1902,1.16402797502e-05
1901,5.4834519701e-06
1900,1.93596574715e-05
1899,9.6681005534e-06
1898,1.45038656098e-05
1897,1.553931122e-05
1896,1.57310271228e-05
1895,1.51141181635e-05
1894,1.89051641346e-05
1893,1.21007932388e-05
1892,1.47838282916e-05
1891,1.66887019342e-05
1890,1.31091064374e-05
1889,2.4022144299e-05
1888,1.48687514072e-05
1887,2.33502233282e-05
1886,1.55281180461e-05
1885,1.41874660831e-05
1884,1.25128343447e-05
1883,1.64002926383e-05
1882,1.37776629639e-05
1881,1.33145248151e-05
1880,4.21269326608e-06
1879,2.02938344287e-06
1878,6.73002612372e-06
1877,1.51585202253e-05
1876,1.78926771663e-05
1875,2.63465733647e-05
1874,2.56630175657e-05
1873,2.63811174514e-05
1872,8.19456072374e-06
1871,1.13498359949e-05
1870,1.56887970223e-05
1869,2.44910060003e-05
1868,2.35041793369e-05
1867,1.71402518246e-06
1866,3.71466195648e-06
1865,5.54942036304e-06
1864,1.50141414445e-05
1863,7.11388078203e-06
1862,6.9508160258e-06
1861,1.52533841328e-05
1860,5.44185110007e-06
1859,7.22878937657e-06
1858,5.47928192184e-06
1857,1.05650357186e-05
1856,1.19638691153e-05
1855,1.40395212523e-05
1854,4.45409498358e-06
1853,7.87226463405e-06
1852,7.79566015599e-06
1851,1.69348010161e-06
1850,5.14917149831e-06
1849,6.93296172658e-06
1848,8.8552625054e-06
1847,5.27791754485e-06
1846,2.06643591466e-06
1845,8.74941160207e-06
1844,1.82270359599e-05
1843,7.40532294613e-06
1842,4.56817081304e-06
1841,7.26168950468e-06
1840,6.58874379011e-06
1839,1.21512884011e-05
1838,1.09207860782e-05
1837,9.2459040645e-06
1836,1.10165645064e-05
1835,3.47348105759e-05
1834,1.45512599312e-05
1833,1.31794558642e-05
1832,2.21399109533e-06
1831,2.27530767848e-06
1830,2.27341963234e-06
1829,4.7842883969e-06
1828,2.60631144379e-06
1827,0.0
1826,1.28938257915e-05
1825,1.69683257919e-05
1824,1.98949546395e-05
1823,5.0655995137e-06
1822,0.0
1821,0.0
1820,1.32028016345e-05
1819,2.35060439916e-05
1818,0.0
1817,1.20342011998e-05
1816,6.66635557007e-06
1815,0.0
1814,0.0
1813,0.0
1812,6.49030348659e-06
