date,freq
2017,5.78615638939e-07
2016,5.70346054617e-07
2015,2.88746286723e-07
2014,0.0
2013,0.0
2012,8.9640005737e-07
2011,1.17728395294e-06
2010,2.92867704922e-07
2009,0.0
2008,8.27493071125e-07
2007,2.87488252511e-07
2006,1.41752164485e-06
2005,5.63036115952e-07
2004,0.0
2003,2.06020325965e-06
2002,3.13635360003e-07
2001,1.6356166651e-06
2000,0.0
1999,8.84327331993e-07
1998,6.35200526454e-07
1997,0.0
1996,0.0
1995,0.0
1994,0.0
1993,0.0
1992,0.0
1991,0.0
1990,0.0
1989,0.0
1988,0.0
1987,0.0
1986,0.0
1985,0.0
1984,0.0
1983,0.0
1982,0.0
1981,0.0
1980,3.27507627653e-07
1979,0.0
1978,3.4262944112e-07
1977,0.0
1976,0.0
1975,0.0
1974,0.0
1973,0.0
1972,0.0
1971,0.0
1970,0.0
1969,0.0
1968,0.0
1967,7.49175064607e-07
1966,7.40492264448e-07
1965,0.0
1964,0.0
1963,3.79170064978e-07
1962,0.0
1961,0.0
1960,0.0
1959,0.0
1958,0.0
1957,0.0
1956,4.43995121382e-07
1955,4.66441841699e-07
1954,0.0
1953,0.0
1952,0.0
1951,0.0
1950,0.0
1949,0.0
1948,0.0
1947,0.0
1946,0.0
1945,0.0
1944,6.48928003385e-07
1943,1.97451298637e-06
1942,1.67043163397e-06
1941,3.34790602428e-06
1940,1.13356964482e-06
1939,1.11794548451e-06
1938,5.50051374798e-07
1937,5.12863382939e-07
1936,0.0
1935,1.72367283655e-06
1934,1.69750538852e-06
1933,8.26851848407e-07
1932,8.50448611643e-07
1931,2.47645408097e-06
1930,0.0
1929,1.24903096015e-06
1928,1.21899833282e-06
1927,1.84656776142e-06
1926,4.73734276759e-07
1925,1.37495537124e-06
1924,2.77943771975e-06
1923,0.0
1922,0.0
1921,0.0
1920,1.76151391552e-06
1919,0.0
1918,0.0
1917,5.44953518492e-06
1916,5.71766076776e-07
1915,4.4470187742e-06
1914,1.87911896165e-05
1913,0.0
1912,5.29573502684e-07
1911,0.0
1910,0.0
1909,1.55395084232e-06
1908,4.95824660534e-07
1907,0.0
1906,6.15561897211e-07
1905,0.0
1904,6.56644089054e-07
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,6.29241084912e-07
1895,0.0
1894,1.26034427564e-06
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,2.05904093991e-06
1888,4.24821468778e-06
1887,6.67149237949e-07
1886,0.0
1885,0.0
1884,6.95157463593e-07
1883,2.13916860499e-06
1882,0.0
1881,0.0
1880,7.02115544347e-07
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,1.73770400645e-06
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
