date,freq
2017,0.0
2016,8.55519081925e-07
2015,0.0
2014,6.14169127438e-07
2013,1.75574818333e-05
2012,8.9640005737e-07
2011,1.76592592941e-06
2010,5.85735409843e-07
2009,2.51408937588e-06
2008,2.75831023708e-07
2007,1.14995301005e-06
2006,2.83504328969e-07
2005,5.63036115952e-07
2004,5.65028094609e-07
2003,2.94314751379e-07
2002,9.4090608001e-07
2001,8.50520665853e-06
2000,1.84988549209e-06
1999,1.17910310932e-06
1998,0.0
1997,0.0
1996,1.56261621958e-06
1995,0.0
1994,1.19158798462e-06
1993,2.76143239917e-07
1992,2.920798047e-06
1991,3.03575896377e-06
1990,2.48714952022e-07
1989,4.93437796712e-06
1988,4.0348503474e-06
1987,2.78245384605e-07
1986,2.80271729047e-07
1985,5.64603961374e-07
1984,0.0
1983,1.14704286614e-06
1982,8.65575041894e-07
1981,0.0
1980,3.27507627653e-07
1979,1.68895809864e-06
1978,6.8525888224e-07
1977,2.674998395e-06
1976,3.24268409934e-07
1975,6.91733952205e-07
1974,0.0
1973,0.0
1972,7.07603410931e-07
1971,3.90473580558e-06
1970,1.44133600317e-06
1969,7.23754228986e-07
1968,1.8925665663e-06
1967,1.12376259691e-06
1966,1.4809845289e-06
1965,1.17290220576e-06
1964,3.90101562942e-07
1963,1.13751019494e-06
1962,1.04577476827e-05
1961,2.05654427349e-06
1960,1.6454892204e-06
1959,2.05136031857e-06
1958,4.32314469003e-07
1957,8.80540193798e-06
1956,4.43995121382e-07
1955,7.92951130888e-06
1954,9.76894968649e-07
1953,9.73330264099e-07
1952,5.31900747321e-07
1951,1.10414335314e-06
1950,5.20703157544e-07
1949,1.01569605905e-06
1948,1.09213287544e-06
1947,1.62501218759e-06
1946,1.77245463698e-06
1945,0.0
1944,3.89356802031e-06
1943,6.58170995457e-07
1942,1.11362108931e-06
1941,9.48573373545e-06
1940,3.40070893446e-06
1939,5.58972742253e-07
1938,1.6501541244e-06
1937,0.0
1936,1.714079535e-06
1935,1.72367283655e-06
1934,1.69750538852e-06
1933,0.0
1932,8.50448611643e-07
1931,4.12742346828e-07
1930,8.67256429948e-07
1929,1.24903096015e-06
1928,8.12665555211e-07
1927,9.2328388071e-07
1926,2.3686713838e-06
1925,2.74991074248e-06
1924,4.63239619958e-07
1923,2.03814801642e-06
1922,1.74009580968e-06
1921,8.092304057e-07
1920,0.0
1919,0.0
1918,2.2261650078e-06
1917,3.63302345662e-06
1916,1.71529823033e-06
1915,1.11175469355e-06
1914,1.0737822638e-06
1913,2.2270400522e-06
1912,3.70701451879e-06
1911,3.60771370421e-06
1910,1.00569828649e-06
1909,1.03596722821e-06
1908,1.4874739816e-06
1907,4.32072994412e-06
1906,5.5400570749e-06
1905,6.37206892794e-07
1904,0.0
1903,2.61042591057e-06
1902,4.10833402947e-06
1901,6.85431496263e-07
1900,6.24505079724e-07
1899,0.0
1898,1.97779985588e-06
1897,4.53229910584e-06
1896,6.29241084912e-07
1895,2.6285422893e-06
1894,1.26034427564e-06
1893,0.0
1892,6.42775143114e-07
1891,1.23620014328e-06
1890,6.55455321871e-07
1889,6.8634697997e-07
1888,2.12410734389e-06
1887,2.6685969518e-06
1886,6.75135567222e-07
1885,7.09373304154e-07
1884,0.0
1883,4.27833720998e-06
1882,1.37776629639e-06
1881,7.00764463954e-06
1880,2.80846217739e-06
1879,2.02938344287e-06
1878,0.0
1877,0.0
1876,0.0
1875,1.31732866823e-06
1874,4.0520554051e-06
1873,1.31905587257e-06
1872,2.73152024125e-06
1871,1.41872949936e-06
1870,1.17665977667e-05
1869,7.73400189483e-06
1868,2.93802241711e-06
1867,1.37122014597e-05
1866,3.71466195648e-06
1865,1.84980678768e-06
1864,1.87676768056e-06
1863,1.77847019551e-06
1862,1.73770400645e-06
1861,1.69482045919e-06
1860,0.0
1859,5.42159203243e-06
1858,1.82642730728e-06
1857,5.28251785931e-06
1856,0.0
1855,3.50988031308e-06
1854,8.90818996715e-06
1853,1.96806615851e-06
1852,1.948915039e-06
1851,5.08044030483e-06
1850,5.14917149831e-06
1849,1.73324043165e-06
1848,8.8552625054e-06
1847,1.75930584828e-06
1846,0.0
1845,1.74988232041e-06
1844,4.05045243554e-06
1843,3.70266147307e-06
1842,1.82726832522e-05
1841,7.26168950468e-06
1840,2.19624793004e-06
1839,0.0
1838,0.0
1837,0.0
1836,2.20331290128e-06
1835,0.0
1834,6.23625425624e-06
1833,2.19657597737e-06
1832,2.21399109533e-06
1831,6.82592303544e-06
1830,4.54683926469e-06
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,1.49212159796e-05
1823,5.0655995137e-06
1822,0.0
1821,0.0
1820,6.60140081725e-06
1819,1.17530219958e-05
1818,0.0
1817,0.0
1816,6.66635557007e-05
1815,1.30346656934e-05
1814,0.0
1813,1.55682003939e-05
1812,0.0
