date,freq
2017,0.0
2016,2.85173027308e-07
2015,2.88746286723e-07
2014,3.07084563719e-07
2013,6.05430408045e-07
2012,0.0
2011,0.0
2010,5.85735409843e-07
2009,2.79343263986e-07
2008,2.75831023708e-07
2007,8.62464757534e-07
2006,2.83504328969e-07
2005,2.81518057976e-07
2004,2.82514047305e-07
2003,0.0
2002,3.13635360003e-07
2001,0.0
2000,0.0
1999,0.0
1998,0.0
1997,3.22185915449e-07
1996,0.0
1995,0.0
1994,8.93690988467e-07
1993,1.38071619958e-06
1992,1.32763547591e-06
1991,7.58939740944e-07
1990,0.0
1989,0.0
1988,0.0
1987,2.78245384605e-07
1986,8.4081518714e-07
1985,5.64603961374e-07
1984,1.07476812549e-06
1983,2.86760716535e-07
1982,1.15410005586e-06
1981,1.78830146828e-06
1980,1.63753813826e-06
1979,6.75583239455e-07
1978,4.11155329344e-06
1977,1.67187399688e-06
1976,5.18829455894e-06
1975,2.76693580882e-06
1974,3.02565045602e-06
1973,3.42754394883e-06
1972,3.18421534919e-06
1971,4.96966375255e-06
1970,1.44133600317e-06
1969,1.08563134348e-06
1968,3.40661981934e-06
1967,2.99670025843e-06
1966,2.22147679334e-06
1965,1.9548370096e-06
1964,3.12081250354e-06
1963,3.03336051983e-06
1962,4.42443171191e-06
1961,1.64523541879e-06
1960,2.4682338306e-06
1959,4.92326476456e-06
1958,8.64628938007e-07
1957,2.2013504845e-06
1956,4.43995121382e-06
1955,2.79865105019e-06
1954,4.88447484324e-06
1953,9.73330264099e-07
1952,3.19140448392e-06
1951,1.65621502971e-06
1950,1.56210947263e-06
1949,5.07848029524e-07
1948,4.91459793947e-06
1947,1.62501218759e-06
1946,1.77245463698e-06
1945,6.67961621597e-07
1944,6.48928003385e-07
1943,3.94902597274e-06
1942,5.56810544655e-07
1941,2.23193734952e-06
1940,5.66784822409e-07
1939,3.35383645352e-06
1938,3.30030824879e-06
1937,2.05145353176e-06
1936,2.57111930251e-06
1935,3.44734567311e-06
1934,8.48752694259e-07
1933,2.06712962102e-06
1932,2.12612152911e-06
1931,1.65096938731e-06
1930,2.16814107487e-06
1929,0.0
1928,8.12665555211e-07
1927,1.38492582106e-06
1926,1.42120283028e-06
1925,4.5831845708e-07
1924,9.26479239916e-07
1923,1.01907400821e-06
1922,4.06022355591e-06
1921,3.2369216228e-06
1920,0.0
1919,0.0
1918,7.42055002601e-07
1917,1.21100781887e-06
1916,1.71529823033e-06
1915,5.55877346775e-07
1914,2.6844556595e-06
1913,2.2270400522e-06
1912,5.29573502684e-07
1911,1.03077534406e-06
1910,1.00569828649e-05
1909,2.58991807053e-06
1908,1.98329864213e-06
1907,1.62027372904e-06
1906,1.23112379442e-05
1905,1.27441378559e-06
1904,3.28322044527e-06
1903,1.95781943292e-06
1902,1.36944467649e-06
1901,1.37086299253e-06
1900,4.37153555807e-06
1899,1.93362011068e-06
1898,1.31853323726e-06
1897,3.88482780501e-06
1896,6.29241084912e-07
1895,1.31427114465e-06
1894,1.89051641346e-06
1893,6.36883854676e-07
1892,1.28555028623e-06
1891,0.0
1890,1.96636596561e-06
1889,0.0
1888,1.41607156259e-06
1887,2.00144771385e-06
1886,2.02540670167e-06
1885,1.41874660831e-06
1884,2.08547239078e-06
1883,0.0
1882,6.88883148196e-07
1881,0.0
1880,0.0
1879,0.0
1878,1.12167102062e-06
1877,0.0
1876,0.0
1875,0.0
1874,1.35068513503e-06
1873,0.0
1872,0.0
1871,2.83745899872e-06
1870,1.30739975186e-06
1869,1.28900031581e-06
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
