date,freq
2017,5.78615638939e-06
2016,1.22624401743e-05
2015,3.40720618333e-05
2014,9.21253691156e-06
2013,1.18058929569e-05
2012,1.88244012048e-05
2011,2.14854321412e-05
2010,1.02503696723e-05
2009,2.51408937588e-05
2008,1.35157201617e-05
2007,1.09245535954e-05
2006,1.10566688298e-05
2005,3.43452030731e-05
2004,1.86459271221e-05
2003,5.65084322648e-05
2002,3.35589835203e-05
2001,2.02816466473e-05
2000,1.94237976669e-05
1999,1.44440130892e-05
1998,4.35112360621e-05
1997,1.48205521107e-05
1996,7.50055785399e-06
1995,1.9321200233e-05
1994,1.54906438001e-05
1993,1.76731673547e-05
1992,2.09766405193e-05
1991,6.57747775484e-06
1990,2.01459111138e-05
1989,2.72689308709e-05
1988,1.99052617138e-05
1987,2.05901584607e-05
1986,1.06503257038e-05
1985,2.99240099528e-05
1984,8.86683703533e-06
1983,1.06101465118e-05
1982,1.00983754888e-05
1981,3.27855269186e-05
1980,3.14407322547e-05
1979,1.55384145075e-05
1978,1.26772893214e-05
1977,1.27062423763e-05
1976,1.84832993662e-05
1975,1.62557478768e-05
1974,1.51282522801e-05
1973,1.30246670055e-05
1972,2.15819040334e-05
1971,1.66838711693e-05
1970,1.87373680412e-05
1969,1.48369616942e-05
1968,3.17951183138e-05
1967,4.49505038764e-05
1966,1.74015682145e-05
1965,1.56386960768e-05
1964,2.76972109689e-05
1963,2.42668841586e-05
1962,2.73510324009e-05
1961,2.09767515896e-05
1960,3.41439013233e-05
1959,3.48731254157e-05
1958,2.93973838922e-05
1957,2.86175562984e-05
1956,3.3743629225e-05
1955,3.26509289189e-05
1954,3.32144289341e-05
1953,2.87132427909e-05
1952,2.978644185e-05
1951,3.5884658977e-05
1950,3.59285178705e-05
1949,2.89473376829e-05
1948,2.78493883237e-05
1947,6.39171460453e-05
1946,3.13133652533e-05
1945,3.13941962151e-05
1944,2.40103361252e-05
1943,2.17196428501e-05
1942,4.00903592152e-05
1941,3.12471228933e-05
1940,2.83392411205e-05
1939,2.57127461436e-05
1938,2.58524146155e-05
1937,2.41045789981e-05
1936,4.32805082589e-05
1935,1.72367283655e-05
1934,3.86182475888e-05
1933,1.86041665891e-05
1932,1.6583747927e-05
1931,1.89861479541e-05
1930,2.21150389637e-05
1929,1.79027770954e-05
1928,1.5440645549e-05
1927,2.12355292563e-05
1926,2.88977908823e-05
1925,1.6957782912e-05
1924,3.2890013017e-05
1923,1.83433321478e-05
1922,1.39207664774e-05
1921,2.67046033881e-05
1920,1.76151391552e-05
1919,6.29459042899e-06
1918,1.40990450494e-05
1917,1.33210860076e-05
1916,1.20070876123e-05
1915,2.05674618307e-05
1914,1.28853871656e-05
1913,1.00216802349e-05
1912,2.0123793102e-05
1911,2.31924452413e-05
1910,9.55413372167e-06
1909,1.19136231244e-05
1908,2.37995837056e-05
1907,3.6726204525e-05
1906,1.84668569163e-05
1905,2.23022412478e-05
1904,2.29825431169e-05
1903,2.93672914939e-05
1902,1.71180584561e-05
1901,1.43940614215e-05
1900,1.56126269931e-05
1899,1.67580409592e-05
1898,1.71409320843e-05
1897,2.91362085376e-05
1896,5.97779030667e-05
1895,2.03712027421e-05
1894,2.77275740641e-05
1893,3.43917281525e-05
1892,1.60693785778e-05
1891,2.16335025073e-05
1890,2.81845788405e-05
1889,3.36310020185e-05
1888,3.54017890648e-05
1887,3.66932080872e-05
1886,2.02540670167e-05
1885,1.56062126914e-05
1884,2.15498813714e-05
1883,1.92525174449e-05
1882,3.65108068544e-05
1881,1.05114669593e-05
1880,1.05317331652e-05
1879,1.21763006572e-05
1878,3.36501306186e-05
1877,8.8424701314e-06
1876,2.81170641184e-05
1875,7.9039720094e-06
1874,2.43123324306e-05
1873,3.95716761771e-06
1872,6.82880060312e-06
1871,7.09364749679e-06
1870,6.53699875928e-06
1869,7.73400189483e-06
1868,1.46901120856e-05
1867,2.05683021895e-05
1866,7.42932391295e-06
1865,3.69961357536e-06
1864,1.87676768056e-06
1863,8.89235097754e-06
1862,1.21639280452e-05
1861,1.01689227552e-05
1860,1.81395036669e-05
1859,1.98791707856e-05
1858,2.19171276874e-05
1857,0.0
1856,1.02547449559e-05
1855,1.57944614089e-05
1854,2.22704749179e-06
1853,1.18083969511e-05
1852,7.79566015599e-06
1851,0.0
1850,5.14917149831e-06
1849,0.0
1848,8.8552625054e-06
1847,5.27791754485e-06
1846,1.44650514026e-05
1845,1.22491762429e-05
1844,1.01261310888e-05
1843,3.70266147307e-06
1842,4.56817081304e-06
1841,0.0
1840,4.39249586007e-06
1839,4.86051536044e-06
1838,8.19058955864e-06
1837,6.93442804837e-06
1836,2.42364419141e-05
1835,1.73674052879e-05
1834,1.87087627687e-05
1833,4.39315195473e-06
1832,4.42798219066e-06
1831,6.82592303544e-06
1830,9.09367852937e-06
1829,1.91371535876e-05
1828,5.21262288758e-06
1827,0.0
1826,1.28938257915e-05
1825,0.0
1824,0.0
1823,1.01311990274e-05
1822,0.0
1821,5.55796400663e-06
1820,0.0
1819,5.87651099789e-06
1818,5.86530904313e-06
1817,0.0
1816,1.33327111401e-05
1815,1.95519985401e-05
1814,2.60621974342e-05
1813,7.78410019694e-06
1812,0.0
