date,freq
2017,0.0
2016,0.0
2015,5.77492573446e-07
2014,0.0
2013,0.0
2012,0.0
2011,0.0
2010,0.0
2009,0.0
2008,0.0
2007,0.0
2006,2.83504328969e-07
2005,0.0
2004,0.0
2003,2.94314751379e-07
2002,0.0
2001,0.0
2000,0.0
1999,0.0
1998,0.0
1997,0.0
1996,0.0
1995,3.06685717983e-07
1994,0.0
1993,2.76143239917e-07
1992,5.31054190363e-07
1991,0.0
1990,4.97429904043e-07
1989,0.0
1988,2.6899002316e-07
1987,0.0
1986,0.0
1985,0.0
1984,1.07476812549e-06
1983,0.0
1982,0.0
1981,0.0
1980,0.0
1979,0.0
1978,0.0
1977,0.0
1976,0.0
1975,0.0
1974,3.36183384002e-07
1973,0.0
1972,0.0
1971,3.54975982325e-07
1970,7.20668001584e-07
1969,0.0
1968,0.0
1967,3.74587532303e-07
1966,3.70246132224e-07
1965,0.0
1964,0.0
1963,0.0
1962,4.02221064719e-07
1961,4.11308854698e-07
1960,8.227446102e-07
1959,8.20544127427e-07
1958,0.0
1957,0.0
1956,8.87990242763e-07
1955,0.0
1954,0.0
1953,4.86665132049e-07
1952,0.0
1951,0.0
1950,0.0
1949,0.0
1948,0.0
1947,0.0
1946,0.0
1945,0.0
1944,0.0
1943,6.58170995457e-07
1942,0.0
1941,1.11596867476e-06
1940,5.66784822409e-07
1939,5.58972742253e-07
1938,5.50051374798e-07
1937,1.02572676588e-06
1936,0.0
1935,4.30918209138e-07
1934,4.2437634713e-07
1933,4.13425924203e-07
1932,4.25224305821e-07
1931,8.25484693656e-07
1930,2.60176928984e-06
1929,2.08171826691e-06
1928,4.06332777606e-07
1927,0.0
1926,2.3686713838e-06
1925,1.37495537124e-06
1924,2.77943771975e-06
1923,1.01907400821e-06
1922,8.12044711182e-06
1921,1.6184608114e-06
1920,8.8075695776e-07
1919,8.99227204141e-07
1918,0.0
1917,1.81651172831e-06
1916,2.2870643071e-06
1915,5.55877346775e-06
1914,5.36891131901e-06
1913,1.1135200261e-06
1912,5.29573502684e-07
1911,5.1538767203e-07
1910,1.50854742974e-06
1909,5.17983614106e-07
1908,1.4874739816e-06
1907,1.08018248603e-06
1906,1.23112379442e-06
1905,1.27441378559e-06
1904,1.31328817811e-06
1903,9.13649068698e-06
1902,5.47777870596e-06
1901,2.74172598505e-06
1900,9.36757619586e-06
1899,9.02356051651e-06
1898,1.18667991353e-05
1897,7.12218430918e-06
1896,1.25848216982e-05
1895,8.54276244023e-06
1894,7.56206565385e-06
1893,3.82130312806e-06
1892,2.57110057246e-06
1891,5.56290064474e-06
1890,7.86546386245e-06
1889,6.17712281973e-06
1888,7.08035781296e-07
1887,1.00072385692e-05
1886,1.35027113444e-06
1885,2.83749321662e-06
1884,2.78062985437e-06
1883,4.99139341165e-06
1882,1.37776629639e-06
1881,2.10229339186e-06
1880,4.91480881043e-06
1879,1.01469172143e-06
1878,1.12167102062e-06
1877,0.0
1876,0.0
1875,1.31732866823e-06
1874,0.0
1873,2.63811174514e-06
1872,1.36576012062e-06
1871,7.09364749679e-06
1870,3.92219925557e-06
1869,5.15600126322e-06
1868,1.17520896684e-05
1867,3.42805036492e-06
1866,3.71466195648e-06
1865,0.0
1864,1.87676768056e-06
1863,3.55694039101e-06
1862,5.21311201935e-06
1861,0.0
1860,1.81395036669e-06
1859,7.22878937657e-06
1858,0.0
1857,3.52167857287e-06
1856,1.19638691153e-05
1855,5.26482046962e-06
1854,6.68114247536e-06
1853,1.37764631096e-05
1852,7.79566015599e-06
1851,1.01608806097e-05
1850,8.58195249718e-06
1849,1.21326830215e-05
1848,3.54210500216e-06
1847,2.11116701794e-05
1846,2.06643591466e-06
1845,1.57489408837e-05
1844,1.01261310888e-05
1843,3.70266147307e-06
1842,0.0
1841,4.84112633645e-06
1840,6.58874379011e-06
1839,2.43025768022e-06
1838,2.73019651955e-06
1837,1.8491808129e-05
1836,6.60993870384e-06
1835,8.68370264397e-06
1834,1.663001135e-05
1833,6.5897279321e-06
1832,6.64197328598e-06
1831,2.04777691063e-05
1830,1.59139374264e-05
1829,2.39214419845e-06
1828,2.60631144379e-06
1827,5.6652088196e-06
1826,1.28938257915e-05
1825,5.65610859729e-06
1824,1.49212159796e-05
1823,1.01311990274e-05
1822,1.54668673922e-05
1821,0.0
1820,3.30070040863e-05
1819,2.35060439916e-05
1818,4.10571633019e-05
1817,1.80513017997e-05
1816,1.33327111401e-05
1815,6.51733284671e-06
1814,6.51554935854e-06
1813,0.0
1812,1.29806069732e-05
