date,freq
2017,5.78615638939e-07
2016,0.0
2015,8.66238860168e-07
2014,6.14169127438e-07
2013,9.08145612067e-07
2012,5.97600038246e-07
2011,5.88641976471e-07
2010,8.78603114765e-07
2009,2.79343263986e-07
2008,1.65498614225e-06
2007,8.62464757534e-07
2006,8.50512986908e-07
2005,1.40759028988e-06
2004,1.13005618922e-06
2003,8.82944254137e-07
2002,6.27270720006e-07
2001,1.96273999812e-06
2000,3.08314248681e-07
1999,5.89551554662e-07
1998,1.58800131614e-06
1997,6.44371830899e-07
1996,1.25009297567e-06
1995,9.2005715395e-07
1994,1.48948498078e-06
1993,1.6568594395e-06
1992,1.59316257109e-06
1991,1.01191965459e-06
1990,2.23843456819e-06
1989,1.81792872473e-06
1988,1.88293016212e-06
1987,3.33894461526e-06
1986,5.04489112284e-06
1985,2.82301980687e-06
1984,2.41822828236e-06
1983,3.44112859842e-06
1982,2.01967509775e-06
1981,5.06685416014e-06
1980,6.55015255305e-07
1979,4.72908267619e-06
1978,6.50995938128e-06
1977,4.34687239188e-06
1976,8.10671024834e-06
1975,4.84213766543e-06
1974,6.05130091203e-06
1973,1.1653649426e-05
1972,6.01462899292e-06
1971,7.0995196465e-06
1970,6.84634601505e-06
1969,6.15191094638e-06
1968,7.19175295193e-06
1967,8.24092571068e-06
1966,8.88590717337e-06
1965,7.8193480384e-06
1964,8.19213282178e-06
1963,5.3083809097e-06
1962,7.64220022967e-06
1961,8.22617709396e-06
1960,4.9364676612e-06
1959,3.69244857342e-06
1958,4.32314469003e-06
1957,3.52216077519e-06
1956,5.32794145658e-06
1955,5.13086025869e-06
1954,3.9075798746e-06
1953,2.9199907923e-06
1952,4.78710672588e-06
1951,4.41657341256e-06
1950,4.6863284179e-06
1949,4.06278423619e-06
1948,4.91459793947e-06
1947,3.79169510438e-06
1946,5.31736391093e-06
1945,1.33592324319e-06
1944,1.29785600677e-06
1943,0.0
1942,3.89767381259e-06
1941,2.23193734952e-06
1940,2.83392411205e-06
1939,1.11794548451e-06
1938,2.20020549919e-06
1937,1.53859014882e-06
1936,8.57039767502e-07
1935,1.72367283655e-06
1934,2.54625808278e-06
1933,2.06712962102e-06
1932,2.12612152911e-06
1931,8.25484693656e-07
1930,8.67256429948e-07
1929,8.32687306765e-07
1928,8.12665555211e-07
1927,9.2328388071e-07
1926,4.73734276759e-07
1925,4.5831845708e-07
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,8.8075695776e-07
1919,8.99227204141e-07
1918,0.0
1917,6.05503909436e-07
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
