date,freq
2017,1.04150815009e-05
2016,5.41828751886e-06
2015,8.66238860168e-06
2014,8.59836778413e-06
2013,6.35701928447e-06
2012,5.07960032509e-06
2011,7.35802470589e-06
2010,5.85735409843e-06
2009,8.93898444756e-06
2008,1.04815789009e-05
2007,9.19962408036e-06
2006,1.07731645008e-05
2005,1.04161681451e-05
2004,1.0170505703e-05
2003,1.707025558e-05
2002,1.09772376001e-05
2001,1.27578099878e-05
2000,7.39954196835e-06
1999,7.66417021061e-06
1998,8.2576068439e-06
1997,9.98776337893e-06
1996,1.09383135371e-05
1995,1.13473715654e-05
1994,1.40011588193e-05
1993,1.04934431168e-05
1992,1.30108276639e-05
1991,1.82145537826e-05
1990,2.36279204421e-05
1989,1.6101654419e-05
1988,1.72153614822e-05
1987,2.05901584607e-05
1986,2.35428252399e-05
1985,1.8067326764e-05
1984,2.76752792315e-05
1983,2.49481823385e-05
1982,1.32721506424e-05
1981,2.17576678641e-05
1980,2.3580549191e-05
1979,2.02674971837e-05
1978,1.26772893214e-05
1977,2.00624879625e-05
1976,1.88075677762e-05
1975,1.83309497334e-05
1974,1.54644356641e-05
1973,2.12507724827e-05
1972,1.80438869788e-05
1971,2.41383667981e-05
1970,1.98183700436e-05
1969,1.55607159232e-05
1968,1.62760724702e-05
1967,1.57326763567e-05
1966,1.70313220823e-05
1965,1.29019242634e-05
1964,1.20931484512e-05
1963,1.47876325342e-05
1962,1.60888425888e-05
1961,1.15166479315e-05
1960,1.02843076275e-05
1959,9.0259854017e-06
1958,9.07860384907e-06
1957,6.60405145349e-06
1956,3.99595609243e-06
1955,4.66441841699e-06
1954,5.86136981189e-06
1953,6.81331184869e-06
1952,5.85090822053e-06
1951,1.1593505208e-05
1950,8.85195367825e-06
1949,9.14126453144e-06
1948,7.64493012807e-06
1947,2.70835364599e-06
1946,5.31736391093e-06
1945,6.01165459437e-06
1944,7.78713604062e-06
1943,9.87256493186e-06
1942,1.00225898038e-05
1941,1.1717671085e-05
1940,3.57074438118e-05
1939,4.1922955669e-05
1938,1.6501541244e-05
1937,6.15436059527e-06
1936,1.5426715815e-05
1935,3.27497838945e-05
1934,3.05550969933e-05
1933,1.36430554987e-05
1932,1.36071777863e-05
1931,1.27950127517e-05
1930,2.60176928984e-05
1929,2.41479318962e-05
1928,1.86913077699e-05
1927,1.52341840317e-05
1926,1.89493710704e-05
1925,1.64994644549e-05
1924,1.85295847983e-05
1923,1.68147211355e-05
1922,1.74009580968e-05
1921,1.94215297368e-05
1920,9.68832653536e-06
1919,2.15814528994e-05
1918,9.64671503381e-06
1917,1.27155820982e-05
1916,1.08635554587e-05
1915,1.66763204033e-05
1914,2.41601009355e-05
1913,3.284884077e-05
1912,2.11829401074e-05
1911,1.85539561931e-05
1910,2.26282114461e-05
1909,2.64171643194e-05
1908,1.09081425317e-05
1907,2.16036497206e-05
1906,2.52380377857e-05
1905,1.91162067838e-05
1904,1.37895258701e-05
1903,2.02308008069e-05
1902,1.23250020884e-05
1901,1.23377669327e-05
1900,9.36757619586e-06
1899,7.08994040583e-06
1898,9.88899927942e-06
1897,1.10070121142e-05
1896,2.07649558021e-05
1895,2.6285422893e-06
1894,8.19223779168e-06
1893,9.55325782014e-06
1892,7.71330171737e-06
1891,1.11258012895e-05
1890,1.24536511156e-05
1889,1.23542456395e-05
1888,7.78839359426e-06
1887,1.00072385692e-05
1886,6.75135567222e-06
1885,1.13499728665e-05
1884,2.78062985437e-06
1883,4.27833720998e-06
1882,9.64436407474e-06
1881,1.61175826709e-05
1880,4.21269326608e-06
1879,4.05876688574e-06
1878,5.6083551031e-06
1877,1.26321001877e-06
1876,1.27804836902e-06
1875,3.9519860047e-06
1874,2.70137027007e-06
1873,0.0
1872,0.0
1871,0.0
1870,3.92219925557e-06
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,1.84980678768e-06
1864,1.87676768056e-06
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,1.80719734414e-06
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,2.22704749179e-06
1853,3.93613231702e-06
1852,0.0
1851,0.0
1850,1.71639049944e-06
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
