date,freq
2017,1.73584691682e-06
2016,5.98863357348e-06
2015,1.0394866322e-05
2014,8.90545234785e-06
2013,7.87059530458e-06
2012,4.48200028685e-06
2011,5.59209877648e-06
2010,6.7359572132e-06
2009,6.70423833567e-06
2008,1.10332409483e-05
2007,6.03725330274e-06
2006,8.78863419805e-06
2005,5.34884310154e-06
2004,7.34536522992e-06
2003,2.94314751379e-06
2002,5.95907184006e-06
2001,9.81369999061e-07
2000,4.00808523286e-06
1999,1.00223764293e-05
1998,2.85840236904e-06
1997,8.69901971713e-06
1996,8.43812758574e-06
1995,7.05377151362e-06
1994,7.74532190005e-06
1993,1.27025890362e-05
1992,1.32763547591e-06
1991,3.28873887742e-06
1990,3.73072428032e-06
1989,1.11672764519e-05
1988,9.68364083376e-06
1987,7.23437999972e-06
1986,2.10203796785e-05
1985,2.3431064397e-05
1984,2.36448987609e-05
1983,3.3264243118e-05
1982,2.59672512568e-05
1981,1.81810649276e-05
1980,1.70303966379e-05
1979,1.68895809864e-05
1978,9.25099491024e-06
1977,8.69374478375e-06
1976,6.80963660861e-06
1975,1.0030142307e-05
1974,7.39603444804e-06
1973,2.39928076418e-06
1972,8.13743922571e-06
1971,6.38956768185e-06
1970,5.04467601109e-06
1969,7.59941940436e-06
1968,2.27107987956e-06
1967,1.87293766152e-06
1966,6.2941842478e-06
1965,3.51870661728e-06
1964,6.24162500707e-06
1963,8.34174142952e-06
1962,4.42443171191e-06
1961,5.34701511108e-06
1960,6.5819568816e-06
1959,4.92326476456e-06
1958,2.59388681402e-06
1957,3.52216077519e-06
1956,9.7678926704e-06
1955,5.59730210039e-06
1954,1.07458446551e-05
1953,6.32664671664e-06
1952,3.19140448392e-06
1951,8.83314682512e-06
1950,4.16562526035e-06
1949,5.07848029524e-06
1948,5.46066437719e-06
1947,5.41670729197e-06
1946,8.27145497256e-06
1945,6.67961621597e-06
1944,7.78713604062e-06
1943,3.29085497729e-06
1942,6.68172653586e-06
1941,6.69581204856e-06
1940,2.26713928964e-06
1939,1.22974003296e-05
1938,3.30030824879e-06
1937,4.10290706351e-06
1936,5.14223860501e-06
1935,4.74010030052e-06
1934,7.2143979012e-06
1933,3.72083331783e-06
1932,1.48828507037e-05
1931,1.1969528058e-05
1930,6.50442322461e-06
1929,7.91052941426e-06
1928,9.75198666253e-06
1927,1.52341840317e-05
1926,5.21107704435e-06
1925,3.66654765664e-06
1924,9.72803201912e-06
1923,1.68147211355e-05
1922,8.12044711182e-06
1921,9.71076486839e-06
1920,1.32113543664e-05
1919,1.8883771287e-05
1918,1.63252100572e-05
1917,1.33210860076e-05
1916,8.57649115163e-06
1915,6.6705281613e-06
1914,8.59025811041e-06
1913,1.44757603393e-05
1912,1.0061896551e-05
1911,1.28846918007e-05
1910,1.00569828649e-05
1909,1.4503541195e-05
1908,9.42066855014e-06
1907,8.64145988823e-06
1906,6.15561897211e-06
1905,7.00927582074e-06
1904,6.56644089054e-06
1903,1.17469165975e-05
1902,1.16402797502e-05
1901,1.64503559103e-05
1900,1.43636168337e-05
1899,1.09571806272e-05
1898,1.0548265898e-05
1897,7.76965561002e-06
1896,1.4472544953e-05
1895,1.11713047295e-05
1894,1.38637870321e-05
1893,1.14639093842e-05
1892,1.28555028623e-05
1891,1.54525017909e-05
1890,1.24536511156e-05
1889,2.19631033591e-05
1888,5.66428625037e-06
1887,1.06743878072e-05
1886,1.55281180461e-05
1885,1.63155859956e-05
1884,2.29401962986e-05
1883,1.64002926383e-05
1882,1.37776629639e-05
1881,1.33145248151e-05
1880,2.03613507861e-05
1879,1.82644509858e-05
1878,1.12167102062e-05
1877,1.89481502816e-05
1876,2.30048706423e-05
1875,9.22130067763e-06
1874,6.75342567517e-06
1873,2.63811174514e-05
1872,1.63891214475e-05
1871,1.56060244929e-05
1870,1.8303596526e-05
1869,1.03120025264e-05
1868,1.02830784599e-05
1867,2.05683021895e-05
1866,2.97172956518e-05
1865,3.32965221783e-05
1864,1.31373737639e-05
1863,3.02339933236e-05
1862,2.60655600968e-05
1861,1.69482045919e-05
1860,2.53953051337e-05
1859,3.43367495387e-05
1858,1.64378457655e-05
1857,2.11300714372e-05
1856,1.70912415932e-05
1855,1.22845810958e-05
1854,1.33622849507e-05
1853,3.54251908532e-05
1852,2.3386980468e-05
1851,3.8950042337e-05
1850,4.80589339842e-05
1849,2.4265366043e-05
1848,2.47947350151e-05
1847,3.51861169657e-05
1846,2.06643591466e-05
1845,2.27484701654e-05
1844,2.6327940831e-05
1843,2.59186303115e-05
1842,2.28408540652e-05
1841,2.42056316823e-05
1840,3.07474710205e-05
1839,9.72103072089e-06
1838,2.18415721564e-05
1837,1.61803321129e-05
1836,3.30496935192e-05
1835,2.17092566099e-05
1834,2.07875141875e-05
1833,8.78630390947e-06
1832,1.3283946572e-05
1831,1.82024614278e-05
1830,2.95544552205e-05
1829,4.7842883969e-06
1828,1.56378686628e-05
1827,0.0
1826,0.0
1825,1.13122171946e-05
1824,0.0
1823,5.0655995137e-06
1822,0.0
1821,1.11159280133e-05
1820,2.6405603269e-05
1819,5.87651099789e-06
1818,1.17306180863e-05
1817,6.0171005999e-06
1816,6.66635557007e-06
1815,3.91039970802e-05
1814,1.95466480756e-05
1813,4.67046011816e-05
1812,6.49030348659e-06
