date,freq
2017,1.27295440567e-05
2016,2.02472849389e-05
2015,1.18385977556e-05
2014,1.07479597302e-05
2013,1.3924899385e-05
2012,1.13544007267e-05
2011,1.79535802824e-05
2010,8.78603114765e-06
2009,1.11737305595e-05
2008,9.65408582979e-06
2007,1.06370653429e-05
2006,1.30411991326e-05
2005,1.46389390147e-05
2004,1.35606742706e-05
2003,1.67759408286e-05
2002,1.56817680002e-05
2001,2.02816466473e-05
2000,1.54157124341e-05
1999,1.73917708625e-05
1998,2.19144181627e-05
1997,2.80301746441e-05
1996,1.93764411228e-05
1995,2.82150860545e-05
1994,2.44275536848e-05
1993,2.92711834312e-05
1992,3.15977243266e-05
1991,3.1622489206e-05
1990,2.98457942426e-05
1989,2.93465636992e-05
1988,3.84655733119e-05
1987,3.14417284603e-05
1986,2.66258142594e-05
1985,3.58523515473e-05
1984,3.11682756393e-05
1983,3.87126967322e-05
1982,4.44328521506e-05
1981,4.50055869518e-05
1980,3.99559305736e-05
1979,3.3441370353e-05
1978,5.00238984035e-05
1977,5.34999679e-05
1976,4.66946510304e-05
1975,3.63160324907e-05
1974,3.96696393122e-05
1973,4.55863345194e-05
1972,5.1655048998e-05
1971,5.53762532427e-05
1970,4.43210820974e-05
1969,5.97097238914e-05
1968,5.67769969889e-05
1967,5.61881298455e-05
1966,5.77583966269e-05
1965,6.41186539149e-05
1964,5.22736094342e-05
1963,4.51212377324e-05
1962,4.50487592486e-05
1961,5.1824915692e-05
1960,5.88262396293e-05
1959,3.65142136705e-05
1958,2.85327549542e-05
1957,4.40270096899e-05
1956,2.70837024043e-05
1955,2.56543012934e-05
1954,2.88184015751e-05
1953,2.43332566025e-05
1952,3.08502433446e-05
1951,2.81556555051e-05
1950,2.44730484046e-05
1949,1.47275928562e-05
1948,2.51190561351e-05
1947,2.32918413555e-05
1946,1.65429099451e-05
1945,3.20621578367e-05
1944,2.66060481388e-05
1943,1.84287878728e-05
1942,2.33860428755e-05
1941,1.33916240971e-05
1940,1.2469266093e-05
1939,1.67691822676e-05
1938,1.92517981179e-05
1937,2.46174423811e-05
1936,1.49981959313e-05
1935,7.32560955535e-06
1934,7.2143979012e-06
1933,5.37453701464e-06
1932,8.07926181061e-06
1931,9.90581632388e-06
1930,6.93805143958e-06
1929,7.49418576088e-06
1928,1.05646522177e-05
1927,9.69448074745e-06
1926,1.3738294026e-05
1925,6.41645839912e-06
1924,8.33831315925e-06
1923,4.58583303695e-06
1922,3.48019161935e-06
1921,5.6646128399e-06
1920,7.04605566208e-06
1919,2.69768161242e-06
1918,5.19438501821e-06
1917,2.42201563774e-06
1916,5.71766076776e-06
1915,5.55877346775e-06
1914,6.44269358281e-06
1913,4.4540801044e-06
1912,3.1774410161e-06
1911,3.60771370421e-06
1910,2.01139657298e-06
1909,3.10790168464e-06
1908,1.98329864213e-06
1907,1.62027372904e-06
1906,2.46224758884e-06
1905,7.00927582074e-06
1904,3.93986453432e-06
1903,2.61042591057e-06
1902,3.42361169122e-06
1901,2.74172598505e-06
1900,4.99604063779e-06
1899,1.28908007379e-06
1898,1.97779985588e-06
1897,0.0
1896,1.25848216982e-06
1895,2.6285422893e-06
1894,2.52068855128e-06
1893,4.45818698273e-06
1892,1.28555028623e-06
1891,4.32670050146e-06
1890,1.96636596561e-06
1889,5.49077583976e-06
1888,2.83214312518e-06
1887,4.00289542769e-06
1886,2.70054226889e-06
1885,2.83749321662e-06
1884,6.95157463593e-07
1883,2.85222480665e-06
1882,1.37776629639e-06
1881,4.90535124768e-06
1880,2.10634663304e-06
1879,4.05876688574e-06
1878,4.48668408248e-06
1877,2.52642003754e-06
1876,2.55609673804e-06
1875,6.58664334117e-06
1874,4.0520554051e-06
1873,6.59527936284e-06
1872,4.09728036187e-06
1871,1.41872949936e-06
1870,7.84439851113e-06
1869,2.57800063161e-06
1868,4.40703362567e-06
1867,0.0
1866,3.71466195648e-06
1865,3.69961357536e-06
1864,7.50707072224e-06
1863,3.55694039101e-06
1862,3.4754080129e-06
1861,1.69482045919e-06
1860,0.0
1859,3.61439468829e-06
1858,7.30570922912e-06
1857,1.76083928644e-06
1856,3.41824831865e-06
1855,3.50988031308e-06
1854,6.68114247536e-06
1853,3.93613231702e-06
1852,5.84674511699e-06
1851,5.08044030483e-06
1850,5.14917149831e-06
1849,3.46648086329e-06
1848,5.31315750324e-06
1847,5.27791754485e-06
1846,0.0
1845,5.24964696124e-06
1844,4.05045243554e-06
1843,1.85133073653e-06
1842,2.28408540652e-06
1841,2.42056316823e-06
1840,2.19624793004e-06
1839,4.86051536044e-06
1838,5.46039303909e-06
1837,4.62295203225e-06
1836,6.60993870384e-06
1835,0.0
1834,2.07875141875e-06
1833,6.5897279321e-06
1832,0.0
1831,0.0
1830,2.27341963234e-06
1829,4.7842883969e-06
1828,2.60631144379e-06
1827,5.6652088196e-06
1826,0.0
1825,0.0
1824,4.97373865988e-06
1823,0.0
1822,5.15562246408e-06
1821,5.55796400663e-06
1820,6.60140081725e-06
1819,0.0
1818,5.86530904313e-06
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,6.49030348659e-06
