date,freq
2017,1.04150815009e-05
2016,9.69588292849e-06
2015,8.66238860168e-06
2014,1.10550442939e-05
2013,8.17331050861e-06
2012,8.9640005737e-06
2011,6.47506174119e-06
2010,7.02882491812e-06
2009,5.30752201574e-06
2008,6.619944569e-06
2007,7.18720631278e-06
2006,1.19071818167e-05
2005,6.75643339142e-06
2004,8.75793546645e-06
2003,6.76923928172e-06
2002,9.09542544009e-06
2001,5.56109666135e-06
2000,5.85797072495e-06
1999,8.25372176527e-06
1998,1.01632084233e-05
1997,6.76590422444e-06
1996,7.81308109791e-06
1995,5.82702864169e-06
1994,4.76635193849e-06
1993,1.3254875516e-05
1992,9.29344833135e-06
1991,8.34833715038e-06
1990,7.21273360863e-06
1989,9.34934772717e-06
1988,1.3449501158e-05
1987,1.16863061534e-05
1986,9.80951051664e-06
1985,1.46797029957e-05
1984,1.10163732863e-05
1983,1.08969072283e-05
1982,6.92460033515e-06
1981,1.37103112569e-05
1980,7.86018306366e-06
1979,8.10699887346e-06
1978,1.16494009981e-05
1977,8.024995185e-06
1976,7.13390501854e-06
1975,8.99254137866e-06
1974,5.37893414403e-06
1973,4.45580713347e-06
1972,5.30702558199e-06
1971,5.32463973488e-06
1970,2.88267200634e-06
1969,2.89501691595e-06
1968,3.02810650608e-06
1967,1.12376259691e-06
1966,4.44295358669e-06
1965,3.9096740192e-07
1964,0.0
1963,0.0
1962,0.0
1961,0.0
1960,0.0
1959,0.0
1958,0.0
1957,0.0
1956,0.0
1955,0.0
1954,0.0
1953,0.0
1952,0.0
1951,0.0
1950,0.0
1949,0.0
1948,0.0
1947,0.0
1946,0.0
1945,0.0
1944,0.0
1943,0.0
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,0.0
1934,0.0
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
