date,freq
2017,1.73584691682e-06
2016,4.84794146424e-06
2015,1.44373143361e-06
2014,2.14959194603e-06
2013,5.75158887643e-06
2012,8.9640005737e-07
2011,1.00069136e-05
2010,2.6358093443e-06
2009,2.23474611189e-06
2008,8.27493071125e-07
2007,1.72492951507e-06
2006,3.40205194763e-06
2005,1.1260722319e-06
2004,1.80808990275e-05
2003,3.53177701655e-06
2002,5.33180112005e-06
2001,5.23397332833e-06
2000,3.08314248681e-06
1999,3.24253355064e-06
1998,3.17600263227e-06
1997,1.35318084489e-05
1996,2.18766270741e-06
1995,6.13371435967e-06
1994,1.19158798462e-06
1993,4.41829183867e-06
1992,8.23133995062e-06
1991,3.54171879107e-06
1990,1.98971961617e-06
1989,2.33733693179e-06
1988,3.76586032424e-06
1987,7.51262538433e-06
1986,2.24217383237e-06
1985,4.79913367168e-06
1984,6.17991672159e-06
1983,2.86760716535e-07
1982,1.15410005586e-06
1981,2.086351713e-06
1980,3.27507627653e-06
1979,1.35116647891e-06
1978,7.53784770464e-06
1977,6.6874959875e-07
1976,9.72805229801e-07
1975,5.53387161764e-06
1974,1.34473353601e-06
1973,1.37101757953e-06
1972,1.76900852733e-06
1971,0.0
1970,1.08100200238e-06
1969,2.17126268696e-06
1968,2.64959319282e-06
1967,1.12376259691e-06
1966,7.40492264448e-07
1965,7.8193480384e-07
1964,1.17030468883e-06
1963,2.65419045485e-06
1962,2.41332638832e-06
1961,3.29047083759e-06
1960,3.2909784408e-06
1959,2.46163238228e-06
1958,8.64628938007e-07
1957,2.2013504845e-06
1956,2.66397072829e-06
1955,1.8657673668e-06
1954,1.46534245297e-06
1953,1.45999539615e-06
1952,4.78710672588e-06
1951,1.10414335314e-06
1950,4.6863284179e-06
1949,2.0313921181e-06
1948,2.18426575088e-06
1947,3.79169510438e-06
1946,1.18163642465e-06
1945,6.67961621597e-07
1944,7.78713604062e-06
1943,7.23988095003e-06
1942,1.67043163397e-06
1941,5.5798433738e-06
1940,2.26713928964e-06
1939,2.23589096901e-06
1938,6.05056512278e-06
1937,9.74440427584e-06
1936,5.99927837252e-06
1935,4.30918209138e-06
1934,5.09251616556e-06
1933,4.13425924203e-06
1932,1.74341965387e-05
1931,7.01661989608e-06
1930,1.21415900193e-05
1929,2.99767430435e-05
1928,7.72032277451e-06
1927,1.06177646282e-05
1926,1.42120283028e-05
1925,5.95813994204e-06
1924,6.94859429937e-06
1923,1.52861101232e-05
1922,5.80031936558e-06
1921,2.4276912171e-06
1920,6.16529870432e-06
1919,1.79845440828e-06
1918,4.45233001561e-06
1917,6.6605430038e-06
1916,1.31506197658e-05
1915,2.11233391775e-05
1914,1.34222782975e-05
1913,2.67244806264e-05
1912,1.11210435564e-05
1911,1.39154671448e-05
1910,7.03988800544e-06
1909,7.25177059749e-06
1908,1.23956165133e-05
1907,1.18820073463e-05
1906,1.84668569163e-05
1905,7.00927582074e-06
1904,4.59650862338e-06
1903,1.69677684187e-05
1902,1.36944467649e-06
1901,1.23377669327e-05
1900,3.12252539862e-06
1899,5.15632029515e-06
1898,6.59266618628e-06
1897,3.88482780501e-06
1896,5.0339286793e-06
1895,4.59994900628e-06
1894,2.77275740641e-05
1893,9.55325782014e-06
1892,7.71330171737e-06
1891,9.27150107457e-06
1890,1.31091064374e-06
1889,1.30405926194e-05
1888,3.54017890648e-06
1887,4.00289542769e-06
1886,1.01270335083e-05
1885,2.83749321662e-06
1884,1.5293464199e-05
1883,7.13056201664e-06
1882,1.37776629639e-06
1881,4.90535124768e-06
1880,7.02115544347e-07
1879,1.11616089358e-05
1878,1.12167102062e-06
1877,0.0
1876,5.11219347607e-06
1875,5.26931467293e-06
1874,1.35068513503e-06
1873,5.27622349027e-06
1872,1.36576012062e-06
1871,1.41872949936e-06
1870,0.0
1869,0.0
1868,2.93802241711e-06
1867,0.0
1866,0.0
1865,1.84980678768e-06
1864,0.0
1863,5.33541058652e-06
1862,1.73770400645e-06
1861,0.0
1860,0.0
1859,0.0
1858,1.82642730728e-06
1857,1.76083928644e-06
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,1.69348010161e-06
1850,0.0
1849,1.73324043165e-06
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,2.02522621777e-06
1843,1.85133073653e-06
1842,0.0
1841,2.42056316823e-06
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,2.19657597737e-06
1832,2.21399109533e-06
1831,2.27530767848e-06
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,6.51733284671e-06
1814,0.0
1813,0.0
1812,0.0
