date,freq
2017,1.73584691682e-06
2016,5.70346054617e-07
2015,8.66238860168e-07
2014,2.14959194603e-06
2013,9.08145612067e-07
2012,2.09160013386e-06
2011,2.06024691765e-06
2010,1.46433852461e-06
2009,2.23474611189e-06
2008,1.93081716596e-06
2007,8.62464757534e-07
2006,1.41752164485e-06
2005,2.81518057976e-06
2004,1.41257023652e-06
2003,2.06020325965e-06
2002,9.4090608001e-07
2001,9.81369999061e-07
2000,9.24942746044e-07
1999,5.89551554662e-07
1998,6.35200526454e-07
1997,1.61092957725e-06
1996,1.25009297567e-06
1995,9.2005715395e-07
1994,8.93690988467e-07
1993,1.6568594395e-06
1992,2.38974385663e-06
1991,3.03575896377e-06
1990,1.98971961617e-06
1989,4.15526565652e-06
1988,2.42091020844e-06
1987,2.78245384605e-06
1986,4.2040759357e-06
1985,2.82301980687e-06
1984,3.49299640786e-06
1983,1.43380358267e-06
1982,2.88525013965e-06
1981,1.19220097886e-06
1980,5.89513729775e-06
1979,2.70233295782e-06
1978,3.4262944112e-06
1977,3.67812279313e-06
1976,2.9184156894e-06
1975,2.42106883272e-06
1974,2.01710030401e-06
1973,2.39928076418e-06
1972,3.53801705466e-06
1971,1.77487991163e-06
1970,1.44133600317e-06
1969,2.89501691595e-06
1968,3.40661981934e-06
1967,3.74587532303e-06
1966,2.59172292557e-06
1965,5.08257622496e-06
1964,3.51091406648e-06
1963,4.55004077974e-06
1962,3.21776851776e-06
1961,4.52439740168e-06
1960,2.4682338306e-06
1959,1.23081619114e-06
1958,3.45851575203e-06
1957,3.08189067829e-06
1956,3.10796584967e-06
1955,6.06374394209e-06
1954,6.34981729622e-06
1953,7.29997698074e-06
1952,2.6595037366e-06
1951,8.28107514855e-06
1950,5.20703157544e-06
1949,5.07848029524e-06
1948,7.09886369035e-06
1947,4.87503656277e-06
1946,8.86227318489e-06
1945,5.34369297278e-06
1944,5.84035203046e-06
1943,3.94902597274e-06
1942,4.45448435724e-06
1941,7.25379638594e-06
1940,5.10106340168e-06
1939,4.47178193803e-06
1938,3.85035962359e-06
1937,5.12863382939e-06
1936,2.57111930251e-06
1935,4.30918209138e-06
1934,4.2437634713e-06
1933,6.20138886305e-06
1932,5.52791597568e-06
1931,6.19113520242e-06
1930,8.2389360845e-06
1929,5.82881114735e-06
1928,6.90765721929e-06
1927,6.92462910532e-06
1926,4.73734276759e-06
1925,3.20822919956e-06
1924,4.63239619958e-06
1923,8.6621290698e-06
1922,1.10206067946e-05
1921,1.05199952741e-05
1920,7.04605566208e-06
1919,3.59690881656e-06
1918,9.64671503381e-06
1917,5.44953518492e-06
1916,2.2870643071e-06
1915,2.2235093871e-06
1914,8.59025811041e-06
1913,5.01084011745e-06
1912,4.76616152415e-06
1911,2.57693836015e-06
1910,3.01709485947e-06
1909,5.17983614106e-06
1908,9.91649321067e-07
1907,1.02617336173e-05
1906,7.38674276653e-06
1905,1.91162067838e-06
1904,9.19301724676e-06
1903,1.95781943292e-06
1902,8.21666805894e-06
1901,8.22517795515e-06
1900,5.62054571752e-06
1899,1.2246260701e-05
1898,5.93339956765e-06
1897,3.88482780501e-06
1896,5.66316976421e-06
1895,7.88562686791e-06
1894,7.56206565385e-06
1893,3.18441927338e-06
1892,7.07052657425e-06
1891,8.03530093129e-06
1890,2.62182128748e-06
1889,4.80442885979e-06
1888,8.49642937555e-06
1887,6.00434314154e-06
1886,4.05081340333e-06
1885,6.38435973739e-06
1884,1.04273619539e-05
1883,6.41750581497e-06
1882,6.19994833376e-06
1881,7.70840910349e-06
1880,8.42538653216e-06
1879,9.13222549291e-06
1878,5.6083551031e-06
1877,1.26321001877e-06
1876,6.39024184509e-06
1875,7.9039720094e-06
1874,1.08054810803e-05
1873,5.27622349027e-06
1872,9.56032084437e-06
1871,9.93110649551e-06
1870,5.22959900742e-06
1869,5.15600126322e-06
1868,5.87604483422e-06
1867,3.42805036492e-06
1866,1.67159788041e-05
1865,9.24903393841e-06
1864,7.50707072224e-06
1863,5.33541058652e-06
1862,1.56393360581e-05
1861,5.08446137758e-06
1860,7.25580146676e-06
1859,3.61439468829e-06
1858,1.82642730728e-06
1857,1.76083928644e-06
1856,3.41824831865e-06
1855,1.05296409392e-05
1854,6.68114247536e-06
1853,1.37764631096e-05
1852,1.3642405273e-05
1851,6.77392040644e-06
1850,5.14917149831e-06
1849,5.19972129494e-06
1848,1.23973675076e-05
1847,5.27791754485e-06
1846,1.03321795733e-05
1845,1.04992939225e-05
1844,1.21513573066e-05
1843,9.25665368267e-06
1842,0.0
1841,1.21028158411e-05
1840,4.39249586007e-06
1839,7.29077304067e-06
1838,1.09207860782e-05
1837,2.31147601612e-06
1836,6.60993870384e-06
1835,6.51277698298e-06
1834,8.31500567499e-06
1833,0.0
1832,8.85596438131e-06
1831,6.82592303544e-06
1830,6.82025889703e-06
1829,4.7842883969e-06
1828,5.21262288758e-06
1827,0.0
1826,1.28938257915e-05
1825,2.26244343891e-05
1824,4.97373865988e-06
1823,0.0
1822,2.06224898563e-05
1821,2.22318560265e-05
1820,1.32028016345e-05
1819,5.87651099789e-06
1818,5.86530904313e-06
1817,6.0171005999e-06
1816,6.66635557007e-06
1815,6.51733284671e-06
1814,6.51554935854e-06
1813,1.55682003939e-05
1812,6.49030348659e-06
