date,freq
2017,1.04150815009e-05
2016,1.71103816385e-06
2015,9.81737374857e-06
2014,2.45667650975e-06
2013,2.7244368362e-06
2012,1.25496008032e-05
2011,8.53530865884e-06
2010,1.46433852461e-06
2009,3.35211916784e-06
2008,3.08930746553e-05
2007,4.59981204018e-06
2006,7.3711125532e-06
2005,3.37821669571e-06
2004,4.80273880418e-06
2003,3.82609176793e-06
2002,7.52724864008e-06
2001,1.30849333208e-06
2000,4.00808523286e-06
1999,3.8320851053e-06
1998,1.90560157936e-06
1997,1.12765070407e-05
1996,2.18766270741e-06
1995,6.74708579564e-06
1994,2.35338626963e-05
1993,1.10457295967e-06
1992,7.96581285544e-06
1991,5.05959827296e-06
1990,1.24357476011e-06
1989,2.07763282826e-06
1988,4.0348503474e-06
1987,2.78245384605e-07
1986,2.24217383237e-06
1985,2.54071782618e-06
1984,2.41822828236e-06
1983,2.86760716535e-06
1982,3.17377515361e-06
1981,4.172703426e-06
1980,9.82522882958e-07
1979,2.70233295782e-06
1978,3.76892385232e-06
1977,2.674998395e-06
1976,2.59414727947e-06
1975,1.03760092831e-06
1974,1.34473353601e-06
1973,1.02826318465e-06
1972,3.18421534919e-06
1971,3.54975982325e-06
1970,2.52233800554e-06
1969,8.68505074784e-06
1968,3.7851331326e-06
1967,1.27359760983e-05
1966,3.33221519001e-06
1965,3.9096740192e-06
1964,1.56040625177e-06
1963,1.55459726641e-05
1962,3.61998958247e-06
1961,2.46785312819e-06
1960,2.0568615255e-06
1959,2.05136031857e-06
1958,8.64628938007e-07
1957,2.2013504845e-06
1956,1.77598048553e-06
1955,3.73153473359e-06
1954,4.39602735892e-06
1953,4.37998618844e-06
1952,4.25520597856e-06
1951,3.86450173599e-06
1950,2.60351578772e-06
1949,1.01569605905e-06
1948,5.46066437719e-07
1947,1.62501218759e-06
1946,0.0
1945,1.33592324319e-06
1944,3.24464001692e-06
1943,3.94902597274e-06
1942,1.67043163397e-06
1941,5.5798433738e-06
1940,1.70035446723e-06
1939,2.23589096901e-06
1938,2.75025687399e-06
1937,2.05145353176e-06
1936,5.14223860501e-06
1935,2.15459104569e-06
1934,1.69750538852e-06
1933,3.30740739363e-06
1932,8.50448611643e-07
1931,8.25484693656e-07
1930,8.67256429948e-07
1929,4.16343653382e-06
1928,3.65699499845e-06
1927,1.84656776142e-06
1926,9.47468553519e-07
1925,7.33309531328e-06
1924,2.77943771975e-06
1923,1.01907400821e-06
1922,1.16006387312e-06
1921,7.2830736513e-06
1920,2.64227087328e-06
1919,1.61860896745e-05
1918,8.90466003121e-06
1917,6.6605430038e-06
1916,4.5741286142e-06
1915,1.66763204033e-06
1914,5.36891131901e-06
1913,5.01084011745e-06
1912,0.0
1911,3.09232603218e-06
1910,3.51994400272e-06
1909,3.62588529874e-06
1908,2.9749479632e-06
1907,1.62027372904e-06
1906,4.92449517769e-06
1905,1.91162067838e-06
1904,6.56644089054e-06
1903,1.30521295528e-06
1902,7.53194572069e-06
1901,5.4834519701e-06
1900,2.4980203189e-06
1899,6.44540036893e-06
1898,5.27413294902e-06
1897,3.23735650417e-06
1896,3.14620542456e-06
1895,7.88562686791e-06
1894,1.13430984808e-05
1893,3.82130312806e-06
1892,7.07052657425e-06
1891,5.56290064474e-06
1890,4.5881872531e-06
1889,4.80442885979e-06
1888,1.77008945324e-05
1887,1.3342984759e-06
1886,5.40108453778e-06
1885,4.96561312908e-06
1884,5.56125970874e-06
1883,5.70444961331e-06
1882,5.51106518557e-06
1881,3.50382231977e-06
1880,2.80846217739e-06
1879,5.07345860717e-06
1878,0.0
1877,7.57926011263e-06
1876,5.11219347607e-06
1875,0.0
1874,6.75342567517e-06
1873,1.31905587257e-06
1872,8.19456072374e-06
1871,1.13498359949e-05
1870,2.61479950371e-05
1869,1.80460044213e-05
1868,8.81406725133e-06
1867,0.0
1866,0.0
1865,1.84980678768e-06
1864,1.87676768056e-06
1863,1.0670821173e-05
1862,1.04262240387e-05
1861,3.38964091839e-06
1860,2.3581354767e-05
1859,1.2650381409e-05
1858,1.09585638437e-05
1857,1.05650357186e-05
1856,6.8364966373e-06
1855,8.7747007827e-06
1854,2.22704749179e-06
1853,1.96806615851e-06
1852,0.0
1851,3.38696020322e-06
1850,0.0
1849,0.0
1848,3.54210500216e-06
1847,3.51861169657e-06
1846,0.0
1845,3.49976464083e-06
1844,0.0
1843,5.5539922096e-06
1842,0.0
1841,2.42056316823e-06
1840,8.78499172015e-06
1839,2.43025768022e-06
1838,1.09207860782e-05
1837,6.93442804837e-06
1836,6.60993870384e-06
1835,6.51277698298e-06
1834,8.31500567499e-06
1833,8.78630390947e-06
1832,4.42798219066e-06
1831,4.55061535696e-06
1830,2.27341963234e-06
1829,2.39214419845e-06
1828,2.08504915503e-05
1827,0.0
1826,0.0
1825,1.13122171946e-05
1824,0.0
1823,1.01311990274e-05
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,5.86530904313e-06
1817,0.0
1816,0.0
1815,6.51733284671e-06
1814,0.0
1813,1.55682003939e-05
1812,1.29806069732e-05
