date,freq
2017,8.10061894515e-06
2016,5.70346054617e-07
2015,8.66238860168e-07
2014,3.68501476463e-06
2013,3.02715204022e-07
2012,1.01592006502e-05
2011,8.82962964707e-07
2010,1.46433852461e-06
2009,2.23474611189e-06
2008,1.93081716596e-06
2007,2.87488252511e-07
2006,2.83504328969e-07
2005,3.09669863773e-06
2004,1.97759833113e-06
2003,9.41807204413e-06
2002,1.56817680002e-06
2001,1.96273999812e-05
2000,4.9330279789e-06
1999,3.8320851053e-06
1998,5.24040434325e-05
1997,1.61092957725e-06
1996,3.12523243916e-06
1995,3.98691433379e-06
1994,2.08527897309e-06
1993,2.89950401913e-05
1992,7.96581285544e-06
1991,1.31549555097e-05
1990,6.21787380054e-06
1989,7.27171489891e-06
1988,1.80223315517e-05
1987,5.56490769209e-06
1986,2.35428252399e-05
1985,4.79913367168e-06
1984,3.57360401727e-05
1983,4.33008681967e-05
1982,3.52000517037e-05
1981,2.086351713e-05
1980,1.44103356167e-05
1979,2.26320385218e-05
1978,1.85019898205e-05
1977,4.41374735175e-05
1976,1.42678100371e-05
1975,1.21053441636e-05
1974,3.73163556242e-05
1973,1.37101757953e-05
1972,1.20292579858e-05
1971,3.54975982325e-06
1970,2.16200400475e-06
1969,2.17126268696e-06
1968,1.13553993978e-06
1967,1.98531392121e-05
1966,1.4809845289e-06
1965,4.30064142112e-06
1964,0.0
1963,0.0
1962,0.0
1961,0.0
1960,0.0
1959,0.0
1958,0.0
1957,0.0
1956,0.0
1955,0.0
1954,0.0
1953,0.0
1952,0.0
1951,0.0
1950,0.0
1949,0.0
1948,0.0
1947,0.0
1946,0.0
1945,0.0
1944,0.0
1943,0.0
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,0.0
1934,0.0
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
