date,freq
2017,1.15723127788e-06
2016,5.70346054617e-07
2015,5.77492573446e-07
2014,0.0
2013,6.05430408045e-07
2012,0.0
2011,0.0
2010,2.92867704922e-07
2009,1.39671631993e-06
2008,2.75831023708e-07
2007,2.87488252511e-07
2006,1.70102597382e-06
2005,0.0
2004,0.0
2003,1.4715737569e-06
2002,5.95907184006e-06
2001,3.2712333302e-07
2000,2.77482823813e-06
1999,3.24253355064e-06
1998,3.81120315873e-06
1997,2.25530140815e-06
1996,1.18758832688e-05
1995,1.53342858992e-06
1994,0.0
1993,5.52286479834e-07
1992,1.85868966627e-06
1991,2.78277905013e-06
1990,4.97429904043e-06
1989,5.19408207065e-07
1988,2.15192018528e-06
1987,3.89543538447e-06
1986,8.4081518714e-07
1985,7.05754951718e-06
1984,2.68692031374e-06
1983,5.73521433069e-07
1982,8.65575041894e-07
1981,1.49025122357e-06
1980,9.82522882958e-07
1979,1.35116647891e-06
1978,1.7131472056e-06
1977,0.0
1976,3.24268409934e-06
1975,2.76693580882e-06
1974,1.00855015201e-06
1973,1.71377197441e-06
1972,2.47661193826e-06
1971,4.61468777023e-06
1970,3.24300600713e-06
1969,0.0
1968,1.51405325304e-06
1967,4.86963791995e-06
1966,7.03467651225e-06
1965,1.17290220576e-06
1964,3.12081250354e-06
1963,1.89585032489e-06
1962,2.41332638832e-06
1961,2.46785312819e-06
1960,5.3478399663e-06
1959,1.23081619114e-06
1958,3.02620128302e-06
1957,1.3208102907e-06
1956,4.43995121382e-07
1955,0.0
1954,2.93068490595e-06
1953,4.86665132049e-06
1952,1.06380149464e-06
1951,4.41657341256e-06
1950,1.04140631509e-06
1949,8.63341650191e-06
1948,4.36853150175e-06
1947,1.08334145839e-06
1946,0.0
1945,6.67961621597e-07
1944,3.89356802031e-06
1943,1.31634199091e-06
1942,0.0
1941,5.5798433738e-07
1940,0.0
1939,5.58972742253e-07
1938,0.0
1937,5.12863382939e-07
1936,4.28519883751e-07
1935,1.72367283655e-06
1934,0.0
1933,1.24027777261e-06
1932,1.70089722329e-06
1931,2.06371173414e-06
1930,8.67256429948e-07
1929,1.24903096015e-06
1928,1.21899833282e-06
1927,4.61641940355e-07
1926,0.0
1925,1.83327382832e-06
1924,9.26479239916e-07
1923,0.0
1922,0.0
1921,0.0
1920,8.8075695776e-07
1919,0.0
1918,7.42055002601e-07
1917,6.05503909436e-07
1916,1.71529823033e-06
1915,1.66763204033e-06
1914,0.0
1913,5.5676001305e-07
1912,4.76616152415e-06
1911,1.54616301609e-06
1910,0.0
1909,2.07193445643e-06
1908,2.9749479632e-06
1907,5.40091243015e-07
1906,0.0
1905,1.27441378559e-06
1904,6.56644089054e-07
1903,2.61042591057e-06
1902,0.0
1901,2.05629448879e-06
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,6.30172137821e-07
1893,6.36883854676e-07
1892,6.42775143114e-07
1891,1.85430021491e-06
1890,0.0
1889,2.05904093991e-06
1888,0.0
1887,1.3342984759e-06
1886,1.35027113444e-06
1885,7.09373304154e-07
1884,2.08547239078e-06
1883,0.0
1882,0.0
1881,7.00764463954e-07
1880,7.02115544347e-07
1879,2.02938344287e-06
1878,0.0
1877,1.26321001877e-06
1876,0.0
1875,1.31732866823e-06
1874,1.35068513503e-06
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,1.28900031581e-06
1868,0.0
1867,0.0
1866,1.85733097824e-06
1865,1.84980678768e-06
1864,1.87676768056e-06
1863,3.55694039101e-06
1862,0.0
1861,1.69482045919e-06
1860,0.0
1859,1.80719734414e-06
1858,1.82642730728e-06
1857,1.76083928644e-06
1856,0.0
1855,0.0
1854,2.22704749179e-06
1853,1.96806615851e-06
1852,3.897830078e-06
1851,1.69348010161e-06
1850,1.71639049944e-06
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,2.02522621777e-06
1843,0.0
1842,0.0
1841,1.45233790094e-05
1840,0.0
1839,2.43025768022e-05
1838,0.0
1837,6.93442804837e-06
1836,4.40662580256e-06
1835,2.17092566099e-06
1834,4.1575028375e-06
1833,2.19657597737e-06
1832,0.0
1831,0.0
1830,4.54683926469e-06
1829,4.7842883969e-06
1828,5.21262288758e-06
1827,0.0
1826,0.0
1825,0.0
1824,9.94747731975e-06
1823,0.0
1822,1.03112449282e-05
1821,0.0
1820,0.0
1819,5.87651099789e-06
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
