date,freq
2017,0.0
2016,1.99621119116e-06
2015,0.0
2014,0.0
2013,9.08145612067e-07
2012,1.19520007649e-06
2011,1.47160494118e-06
2010,2.92867704922e-07
2009,6.98358159966e-06
2008,0.0
2007,1.72492951507e-06
2006,3.40205194763e-06
2005,0.0
2004,2.82514047305e-07
2003,8.82944254137e-07
2002,3.13635360003e-07
2001,0.0
2000,9.8660559578e-06
1999,5.89551554662e-07
1998,4.12880342195e-06
1997,2.5774873236e-06
1996,3.12523243916e-07
1995,3.6802286158e-06
1994,2.08527897309e-06
1993,2.76143239917e-07
1992,1.59316257109e-06
1991,5.05959827296e-07
1990,1.06947429369e-05
1989,5.19408207065e-07
1988,5.3798004632e-07
1987,5.28666230749e-06
1986,5.60543458093e-07
1985,3.95222772962e-06
1984,5.37384062747e-07
1983,1.14704286614e-06
1982,2.59672512568e-06
1981,1.49025122357e-06
1980,9.82522882958e-06
1979,1.68895809864e-06
1978,1.02788832336e-06
1977,2.674998395e-06
1976,9.72805229801e-07
1975,1.38346790441e-06
1974,1.00855015201e-06
1973,3.08478955394e-06
1972,4.59942217105e-06
1971,2.48483187628e-06
1970,1.80167000396e-06
1969,1.08563134348e-06
1968,2.64959319282e-06
1967,1.49835012921e-06
1966,2.22147679334e-06
1965,8.99225024416e-06
1964,7.80203125884e-06
1963,4.55004077974e-06
1962,2.0111053236e-06
1961,5.34701511108e-06
1960,4.113723051e-06
1959,6.1540809557e-06
1958,3.02620128302e-06
1957,3.08189067829e-06
1956,4.8839463352e-06
1955,6.53018578379e-06
1954,9.76894968649e-07
1953,5.35331645254e-06
1952,4.78710672588e-06
1951,1.10414335314e-06
1950,1.04140631509e-05
1949,5.07848029524e-07
1948,1.09213287544e-05
1947,4.87503656277e-06
1946,4.13572748628e-06
1945,4.00776972958e-06
1944,1.42764160745e-05
1943,3.94902597274e-06
1942,2.78405272328e-06
1941,3.34790602428e-06
1940,3.40070893446e-06
1939,1.67691822676e-06
1938,4.40041099839e-06
1937,2.05145353176e-06
1936,8.57039767502e-07
1935,1.29275462742e-06
1934,5.09251616556e-06
1933,2.89398146942e-06
1932,0.0
1931,4.12742346828e-07
1930,6.50442322461e-06
1929,1.24903096015e-06
1928,4.06332777606e-07
1927,0.0
1926,0.0
1925,4.5831845708e-07
1924,0.0
1923,0.0
1922,0.0
1921,8.092304057e-07
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
