date,freq
2017,1.73584691682e-06
2016,1.14069210923e-06
2015,1.15498514689e-06
2014,9.21253691156e-07
2013,1.51357602011e-06
2012,2.09160013386e-06
2011,1.47160494118e-06
2010,1.17147081969e-06
2009,2.79343263986e-06
2008,1.10332409483e-06
2007,3.44985903014e-06
2006,3.11854761866e-06
2005,2.25214446381e-06
2004,1.69508428383e-06
2003,3.23746226517e-06
2002,2.50908288003e-06
2001,2.94410999718e-06
2000,9.24942746044e-07
1999,2.94775777331e-06
1998,4.12880342195e-06
1997,4.18841690084e-06
1996,2.81270919525e-06
1995,2.45348574387e-06
1994,3.57476395387e-06
1993,2.48528915925e-06
1992,6.90370447472e-06
1991,4.55363844566e-06
1990,2.23843456819e-06
1989,5.97319438125e-06
1988,5.3798004632e-06
1987,3.89543538447e-06
1986,2.80271729047e-06
1985,7.62215347855e-06
1984,5.1051485961e-06
1983,4.01465003149e-06
1982,6.92460033515e-06
1981,1.19220097886e-05
1980,7.53267543601e-06
1979,6.41804077483e-06
1978,8.90836546912e-06
1977,8.024995185e-06
1976,4.21548932914e-06
1975,6.91733952205e-06
1974,1.24387852081e-05
1973,9.59712305671e-06
1972,8.84504263664e-06
1971,1.45540152753e-05
1970,8.64801601901e-06
1969,1.12181905493e-05
1968,1.09768860845e-05
1967,6.36798804916e-06
1966,8.51566104115e-06
1965,7.42838063648e-06
1964,7.02182813295e-06
1963,9.47925162446e-06
1962,8.44664235911e-06
1961,8.22617709396e-06
1960,6.5819568816e-06
1959,9.0259854017e-06
1958,4.32314469003e-06
1957,4.84297106589e-06
1956,6.65992682072e-06
1955,1.30603715676e-05
1954,8.79205471784e-06
1953,1.16799631692e-05
1952,9.04231270445e-06
1951,9.93729017826e-06
1950,4.6863284179e-06
1949,7.61772044286e-06
1948,7.09886369035e-06
1947,9.20840239635e-06
1946,1.65429099451e-05
1945,1.13553475672e-05
1944,1.49253440779e-05
1943,7.89805194549e-06
1942,1.11362108931e-05
1941,1.00437180728e-05
1940,1.58699750275e-05
1939,1.56512367831e-05
1938,1.04509761212e-05
1937,9.23154089291e-06
1936,1.41411561638e-05
1935,1.37893826924e-05
1934,1.61263011909e-05
1933,1.73638888165e-05
1932,1.36071777863e-05
1931,1.73351785668e-05
1930,1.34424746642e-05
1929,1.70700897887e-05
1928,1.99103061027e-05
1927,1.47725420914e-05
1926,1.3738294026e-05
1925,2.01660121115e-05
1924,2.50149394777e-05
1923,2.49673132012e-05
1922,3.0161660701e-05
1921,1.78030689254e-05
1920,1.8495896113e-05
1919,1.70853168787e-05
1918,2.5971925091e-05
1917,2.48256602869e-05
1916,1.60094501497e-05
1915,3.16850087662e-05
1914,2.89921211226e-05
1913,2.95082806917e-05
1912,3.86588656959e-05
1911,3.71079123862e-05
1910,2.31310605893e-05
1909,3.52228857592e-05
1908,2.57828823477e-05
1907,2.43041059357e-05
1906,2.95469710661e-05
1905,2.8037103283e-05
1904,2.56091194731e-05
1903,2.15360137622e-05
1902,2.19111148238e-05
1901,2.53609653617e-05
1900,2.24821828701e-05
1899,1.99807411437e-05
1898,1.84594653216e-05
1897,2.07190816267e-05
1896,2.07649558021e-05
1895,1.77426604528e-05
1894,2.07956805481e-05
1893,1.84696317856e-05
1892,2.31399051521e-05
1891,2.10154024357e-05
1890,2.29409362655e-05
1889,1.64723275193e-05
1888,3.04455385957e-05
1887,2.33502233282e-05
1886,2.63302871217e-05
1885,2.12811991246e-05
1884,2.08547239078e-05
1883,1.56872364366e-05
1882,1.37776629639e-05
1881,2.31252273105e-05
1880,2.31698129634e-05
1879,2.13085261501e-05
1878,2.46767624536e-05
1877,2.02113603003e-05
1876,2.81170641184e-05
1875,2.50292446964e-05
1874,3.37671283759e-05
1873,4.35288437948e-05
1872,2.185216193e-05
1871,2.55371309885e-05
1870,2.35331955334e-05
1869,3.22250078951e-05
1868,2.05661569198e-05
1867,2.91384281018e-05
1866,2.78599646736e-05
1865,4.25455561167e-05
1864,3.19050505695e-05
1863,1.42277615641e-05
1862,2.78032641032e-05
1861,1.52533841328e-05
1860,4.17208584339e-05
1859,2.5300762818e-05
1858,2.19171276874e-05
1857,3.34559464423e-05
1856,3.76007315051e-05
1855,3.50988031308e-05
1854,2.67245699015e-05
1853,1.77125954266e-05
1852,1.3642405273e-05
1851,2.37087214225e-05
1850,2.57458574915e-05
1849,3.29315682013e-05
1848,1.94815775119e-05
1847,3.16675052691e-05
1846,1.23986154879e-05
1845,1.74988232041e-05
1844,1.21513573066e-05
1843,2.59186303115e-05
1842,1.59885978457e-05
1841,1.93645053458e-05
1840,2.85512230905e-05
1839,1.94420614418e-05
1838,2.73019651955e-06
1837,1.38688560967e-05
1836,2.20331290128e-05
1835,1.73674052879e-05
1834,2.07875141875e-06
1833,1.75726078189e-05
1832,1.3283946572e-05
1831,9.10123071392e-06
1830,6.82025889703e-06
1829,1.43528651907e-05
1828,7.81893433138e-06
1827,4.53216705568e-05
1826,2.5787651583e-05
1825,0.0
1824,4.97373865988e-06
1823,5.0655995137e-06
1822,5.15562246408e-06
1821,1.66738920199e-05
1820,6.60140081725e-06
1819,0.0
1818,2.34612361725e-05
1817,1.20342011998e-05
1816,6.66635557007e-06
1815,2.60693313868e-05
1814,6.51554935854e-06
1813,2.33523005908e-05
1812,1.29806069732e-05
