date,freq
2017,1.96729317239e-05
2016,2.05324579662e-05
2015,2.62759120918e-05
2014,1.71967355683e-05
2013,2.6638937954e-05
2012,2.53980016255e-05
2011,2.6194567953e-05
2010,2.6065225738e-05
2009,2.87723561906e-05
2008,2.39972990626e-05
2007,3.39236137963e-05
2006,3.11854761866e-05
2005,2.56181432758e-05
2004,2.5991292352e-05
2003,3.17859931489e-05
2002,2.66590056003e-05
2001,2.19172633124e-05
2000,3.14480533655e-05
1999,3.12462323971e-05
1998,2.66784221111e-05
1997,2.80301746441e-05
1996,3.46900800747e-05
1995,3.40421146962e-05
1994,3.27686695771e-05
1993,3.14803293505e-05
1992,4.27498623242e-05
1991,4.14887058382e-05
1990,3.00945091946e-05
1989,3.11644924239e-05
1988,4.16934535898e-05
1987,3.67283907678e-05
1986,4.11999441699e-05
1985,4.1498391161e-05
1984,3.35865039217e-05
1983,3.3264243118e-05
1982,4.24131770528e-05
1981,3.57660293657e-05
1980,4.22484839672e-05
1979,3.04012457755e-05
1978,4.21434212578e-05
1977,3.31031051381e-05
1976,4.18306248814e-05
1975,3.14738948253e-05
1974,3.69801722402e-05
1973,2.77631059855e-05
1972,2.90117398482e-05
1971,3.052793448e-05
1970,2.81060520618e-05
1969,1.70082243812e-05
1968,2.64959319282e-05
1967,2.24752519382e-05
1966,1.8142060479e-05
1965,2.54128811248e-05
1964,2.76972109689e-05
1963,1.7441822989e-05
1962,1.93066111065e-05
1961,2.09767515896e-05
1960,1.2341169153e-05
1959,2.25649635042e-05
1958,1.46986919461e-05
1957,1.05664823256e-05
1956,1.33198536414e-05
1955,1.21274878842e-05
1954,1.70956619514e-05
1953,1.26532934333e-05
1952,1.75527246616e-05
1951,2.04266520331e-05
1950,1.45796884112e-05
1949,1.01569605905e-05
1948,1.69280595693e-05
1947,1.08334145839e-05
1946,1.53612735205e-05
1945,1.87029254047e-05
1944,2.01167681049e-05
1943,1.97451298637e-05
1942,1.28066425271e-05
1941,2.7899216869e-05
1940,1.58699750275e-05
1939,2.57127461436e-05
1938,2.97027742391e-05
1937,2.35917156152e-05
1936,3.04249117463e-05
1935,2.58550925483e-05
1934,3.81938712417e-05
1933,2.93532406184e-05
1932,3.01909257133e-05
1931,2.93047066248e-05
1930,2.94867186182e-05
1929,3.24748049638e-05
1928,4.18522760934e-05
1927,3.6469713288e-05
1926,3.12664622661e-05
1925,3.52905211952e-05
1924,3.3353252637e-05
1923,3.3629442271e-05
1922,3.24817884473e-05
1921,1.86122993311e-05
1920,2.90649796061e-05
1919,3.86667697781e-05
1918,4.37812451535e-05
1917,4.17797697511e-05
1916,3.88800932207e-05
1915,3.61320275404e-05
1914,2.25494275398e-05
1913,2.78380006525e-05
1912,3.23039836637e-05
1911,3.4015586354e-05
1910,2.4639608019e-05
1909,3.10790168464e-05
1908,3.76826742006e-05
1907,2.91649271228e-05
1906,2.46224758884e-05
1905,3.82324135677e-05
1904,3.6772068987e-05
1903,3.4588143315e-05
1902,3.83444509417e-05
1901,4.1811321272e-05
1900,5.37074368563e-05
1899,4.51178025825e-05
1898,3.56003974059e-05
1897,4.14381632534e-05
1896,4.65638402835e-05
1895,3.61424564779e-05
1894,5.41948038526e-05
1893,4.3308102118e-05
1892,4.43514848749e-05
1891,3.09050035819e-05
1890,4.26045959216e-05
1889,4.87306355779e-05
1888,3.96500037526e-05
1887,3.60260588492e-05
1886,4.32086763022e-05
1885,4.96561312908e-05
1884,4.30997627428e-05
1883,5.77575523348e-05
1882,5.92439507449e-05
1881,7.84856199628e-05
1880,6.52967456242e-05
1879,7.10284205004e-05
1878,5.83268930722e-05
1877,2.7790620413e-05
1876,3.32292575945e-05
1875,3.82025313788e-05
1874,3.64684986459e-05
1873,4.48478996673e-05
1872,4.23385637393e-05
1871,5.24929914763e-05
1870,5.49107895779e-05
1869,6.05830148428e-05
1868,3.67252802139e-05
1867,4.79927051088e-05
1866,3.9003950543e-05
1865,5.17945900551e-05
1864,6.3810101139e-05
1863,6.40249270383e-05
1862,6.42950482387e-05
1861,4.40653319391e-05
1860,7.98138161344e-05
1859,7.22878937657e-05
1858,4.74871099893e-05
1857,6.86727321711e-05
1856,7.3492338851e-05
1855,4.38735039135e-05
1854,7.57196147208e-05
1853,6.49461832309e-05
1852,6.04163662089e-05
1851,4.7417442845e-05
1850,7.03720104768e-05
1849,6.06634151076e-05
1848,6.90710475421e-05
1847,6.68536222348e-05
1846,7.85245647569e-05
1845,5.42463519328e-05
1844,6.68324651864e-05
1843,8.3309883144e-05
1842,7.76589038217e-05
1841,7.26168950468e-05
1840,0.000105419900642
1839,7.29077304067e-05
1838,5.73341269105e-05
1837,8.32131365805e-05
1836,0.00010355570636
1835,0.000102033506067
1834,7.89925539124e-05
1833,8.56664631173e-05
1832,5.31357862879e-05
1831,3.86802305342e-05
1830,5.22886515439e-05
1829,0.000102862200533
1828,0.000117284014971
1827,3.39912529176e-05
1826,4.51283902703e-05
1825,6.22171945701e-05
1824,8.45535572179e-05
1823,7.59839927055e-05
1822,8.24899594253e-05
1821,6.66955680795e-05
1820,6.60140081725e-05
1819,3.52590659873e-05
1818,8.21143266039e-05
1817,0.000108307810798
1816,5.99972001307e-05
1815,0.000117311991241
1814,7.1671042944e-05
1813,8.56251021663e-05
1812,9.08642488123e-05
