date,freq
2017,0.0
2016,0.0
2015,1.15498514689e-06
2014,3.07084563719e-07
2013,9.08145612067e-07
2012,0.0
2011,1.76592592941e-06
2010,2.05007393445e-06
2009,5.58686527973e-07
2008,5.51662047416e-07
2007,2.87488252511e-07
2006,8.50512986908e-07
2005,2.25214446381e-06
2004,5.65028094609e-07
2003,2.94314751379e-07
2002,3.13635360003e-06
2001,6.54246666041e-07
2000,1.84988549209e-06
1999,8.84327331993e-07
1998,2.54080210582e-06
1997,3.22185915449e-07
1996,1.25009297567e-06
1995,6.13371435967e-07
1994,1.78738197693e-06
1993,1.6568594395e-06
1992,2.65527095181e-06
1991,3.03575896377e-06
1990,1.24357476011e-06
1989,2.85674513886e-06
1988,4.30384037056e-06
1987,3.33894461526e-06
1986,3.36326074856e-06
1985,4.23452971031e-06
1984,3.76168843923e-06
1983,2.86760716535e-06
1982,5.77050027929e-06
1981,3.87465318128e-06
1980,3.27507627653e-06
1979,7.43141563401e-06
1978,3.76892385232e-06
1977,7.69062038563e-06
1976,9.72805229801e-06
1975,6.57147254594e-06
1974,6.05130091203e-06
1973,7.8833510823e-06
1972,8.84504263664e-06
1971,1.56189432223e-05
1970,1.11703540246e-05
1969,1.44750845797e-05
1968,1.62760724702e-05
1967,1.57326763567e-05
1966,8.88590717337e-06
1965,1.13380546557e-05
1964,8.19213282178e-06
1963,1.17542720143e-05
1962,6.43553703551e-06
1961,1.43958099144e-05
1960,9.4615630173e-06
1959,5.74380889199e-06
1958,1.21048051321e-05
1957,1.54094533915e-05
1956,1.06558829132e-05
1955,6.06374394209e-06
1954,9.76894968649e-06
1953,7.29997698074e-06
1952,7.97851120981e-06
1951,1.43538635908e-05
1950,1.30175789386e-05
1949,4.06278423619e-06
1948,6.55279725263e-06
1947,9.20840239635e-06
1946,4.72654569861e-06
1945,6.67961621597e-06
1944,1.23296320643e-05
1943,5.26536796366e-06
1942,8.35215816983e-06
1941,8.36976506069e-06
1940,7.36820269132e-06
1939,6.14870016479e-06
1938,1.1001027496e-06
1937,9.23154089291e-06
1936,1.07129970938e-05
1935,5.6019367188e-06
1934,5.09251616556e-06
1933,2.89398146942e-06
1932,1.27567291746e-06
1931,2.06371173414e-06
1930,3.46902571979e-06
1929,1.24903096015e-06
1928,1.21899833282e-06
1927,9.2328388071e-07
1926,2.84240566056e-06
1925,3.20822919956e-06
1924,1.38971885987e-06
1923,4.58583303695e-06
1922,0.0
1921,4.8553824342e-06
1920,6.16529870432e-06
1919,1.79845440828e-06
1918,1.4841100052e-06
1917,8.4770547321e-06
1916,7.43295899808e-06
1915,3.33526408065e-06
1914,6.97958471471e-06
1913,9.46492022186e-06
1912,4.76616152415e-06
1911,1.54616301609e-06
1910,1.50854742974e-06
1909,5.17983614106e-07
1908,3.96659728427e-06
1907,5.40091243015e-06
1906,2.46224758884e-06
1905,1.27441378559e-06
1904,4.59650862338e-06
1903,2.61042591057e-06
1902,6.84722338245e-07
1901,0.0
1900,1.24901015945e-06
1899,6.44540036893e-07
1898,3.95559971177e-06
1897,2.58988520334e-06
1896,1.88772325474e-06
1895,0.0
1894,1.26034427564e-06
1893,2.5475354187e-06
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,4.95625046907e-06
1887,6.67149237949e-07
1886,0.0
1885,1.41874660831e-06
1884,0.0
1883,2.85222480665e-06
1882,6.88883148196e-07
1881,0.0
1880,1.40423108869e-06
1879,1.01469172143e-06
1878,0.0
1877,0.0
1876,1.27804836902e-06
1875,1.31732866823e-06
1874,0.0
1873,0.0
1872,0.0
1871,1.41872949936e-06
1870,0.0
1869,0.0
1868,1.46901120856e-06
1867,1.71402518246e-06
1866,0.0
1865,1.84980678768e-06
1864,0.0
1863,1.77847019551e-06
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,1.82642730728e-06
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,1.73324043165e-06
1848,1.77105250108e-06
1847,1.75930584828e-06
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,2.17092566099e-06
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,1.13304176392e-05
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
