date,freq
2017,0.0
2016,0.0
2015,0.0
2014,0.0
2013,0.0
2012,0.0
2011,0.0
2010,0.0
2009,2.79343263986e-07
2008,5.51662047416e-07
2007,0.0
2006,5.67008657939e-07
2005,5.63036115952e-07
2004,5.65028094609e-07
2003,8.82944254137e-07
2002,3.13635360003e-07
2001,0.0
2000,3.08314248681e-07
1999,2.94775777331e-07
1998,0.0
1997,6.44371830899e-07
1996,6.25046487833e-07
1995,0.0
1994,0.0
1993,0.0
1992,0.0
1991,0.0
1990,2.48714952022e-07
1989,0.0
1988,0.0
1987,0.0
1986,0.0
1985,2.82301980687e-07
1984,0.0
1983,0.0
1982,2.88525013965e-07
1981,2.98050244714e-07
1980,1.31003051061e-06
1979,1.01337485918e-06
1978,1.37051776448e-06
1977,3.34374799375e-07
1976,1.62134204967e-06
1975,1.38346790441e-06
1974,6.72366768004e-07
1973,3.42754394883e-07
1972,0.0
1971,7.0995196465e-07
1970,3.60334000792e-07
1969,0.0
1968,0.0
1967,0.0
1966,3.70246132224e-07
1965,3.9096740192e-07
1964,0.0
1963,0.0
1962,0.0
1961,0.0
1960,0.0
1959,0.0
1958,0.0
1957,0.0
1956,8.87990242763e-07
1955,9.32883683398e-07
1954,4.88447484324e-07
1953,0.0
1952,0.0
1951,5.5207167657e-07
1950,5.20703157544e-07
1949,0.0
1948,0.0
1947,0.0
1946,0.0
1945,1.33592324319e-06
1944,3.89356802031e-06
1943,2.63268398183e-06
1942,3.34086326793e-06
1941,5.5798433738e-06
1940,2.83392411205e-06
1939,1.67691822676e-06
1938,5.50051374798e-06
1937,3.59004368057e-06
1936,1.28555965125e-06
1935,3.87826388225e-06
1934,7.2143979012e-06
1933,6.61481478725e-06
1932,5.9531402815e-06
1931,4.95290816194e-06
1930,6.07079500963e-06
1929,9.57590402779e-06
1928,5.28232610887e-06
1927,6.00134522461e-06
1926,3.31613993732e-06
1925,6.41645839912e-06
1924,2.31619809979e-06
1923,4.58583303695e-06
1922,1.16006387312e-06
1921,4.8553824342e-06
1920,5.28454174656e-06
1919,5.39536322484e-06
1918,8.90466003121e-06
1917,1.21100781887e-05
1916,6.86119292131e-06
1915,5.55877346775e-06
1914,7.51647584661e-06
1913,8.35140019576e-06
1912,1.27097640644e-05
1911,8.24620275248e-06
1910,5.02849143246e-06
1909,4.66185252696e-06
1908,5.9498959264e-06
1907,6.48109491618e-06
1906,4.30893328048e-06
1905,3.18603446397e-06
1904,5.25315271243e-06
1903,5.22085182113e-06
1902,2.73888935298e-06
1901,2.74172598505e-06
1900,3.74703047835e-06
1899,5.15632029515e-06
1898,1.12075325167e-05
1897,4.53229910584e-06
1896,6.29241084912e-06
1895,3.28567786163e-06
1894,6.30172137821e-06
1893,5.73195469208e-06
1892,1.28555028623e-06
1891,3.09050035819e-06
1890,5.24364257497e-06
1889,2.74538791988e-06
1888,4.95625046907e-06
1887,6.67149237949e-06
1886,1.28275757772e-05
1885,9.93122625816e-06
1884,7.64673209952e-06
1883,6.41750581497e-06
1882,6.19994833376e-06
1881,3.50382231977e-06
1880,8.42538653216e-06
1879,7.10284205004e-06
1878,1.12167102062e-05
1877,8.8424701314e-06
1876,6.39024184509e-06
1875,1.31732866823e-05
1874,1.35068513503e-05
1873,6.59527936284e-06
1872,1.50233613269e-05
1871,5.67491799743e-06
1870,1.04591980148e-05
1869,1.54680037897e-05
1868,7.34505604278e-06
1867,6.85610072983e-06
1866,7.42932391295e-06
1865,9.24903393841e-06
1864,1.31373737639e-05
1863,7.11388078203e-06
1862,1.21639280452e-05
1861,1.01689227552e-05
1860,1.26976525668e-05
1859,3.61439468829e-06
1858,9.1321365364e-06
1857,5.28251785931e-06
1856,1.36729932746e-05
1855,8.7747007827e-06
1854,2.22704749179e-06
1853,1.18083969511e-05
1852,1.948915039e-06
1851,8.46740050804e-06
1850,1.2014733496e-05
1849,1.03994425899e-05
1848,5.31315750324e-06
1847,5.27791754485e-06
1846,4.13287182931e-06
1845,1.04992939225e-05
1844,1.21513573066e-05
1843,1.11079844192e-05
1842,0.0
1841,2.42056316823e-06
1840,8.78499172015e-06
1839,1.70118037616e-05
1838,2.73019651955e-06
1837,9.2459040645e-06
1836,2.20331290128e-06
1835,4.34185132199e-06
1834,8.31500567499e-06
1833,4.39315195473e-06
1832,2.21399109533e-06
1831,4.55061535696e-06
1830,6.82025889703e-06
1829,4.7842883969e-06
1828,7.81893433138e-06
1827,0.0
1826,0.0
1825,5.65610859729e-06
1824,4.97373865988e-06
1823,5.0655995137e-06
1822,0.0
1821,1.11159280133e-05
1820,0.0
1819,5.87651099789e-06
1818,0.0
1817,1.80513017997e-05
1816,1.33327111401e-05
1815,0.0
1814,6.51554935854e-06
1813,7.78410019694e-06
1812,0.0
