date,freq
2017,1.15723127788e-06
2016,3.4220763277e-06
2015,2.5987165805e-06
2014,1.22833825488e-06
2013,5.14615846838e-06
2012,2.98800019123e-07
2011,8.82962964707e-07
2010,3.51441245906e-06
2009,5.58686527973e-07
2008,8.27493071125e-07
2007,4.31232378767e-06
2006,0.0
2005,5.63036115952e-07
2004,1.69508428383e-06
2003,3.53177701655e-06
2002,4.07725968004e-06
2001,7.19671332645e-06
2000,4.9330279789e-06
1999,2.65298199598e-06
1998,1.90560157936e-06
1997,1.2887436618e-06
1996,6.25046487833e-07
1995,0.0
1994,5.95793992311e-07
1993,0.0
1992,0.0
1991,0.0
1990,2.48714952022e-07
1989,0.0
1988,0.0
1987,2.78245384605e-07
1986,2.80271729047e-07
1985,0.0
1984,0.0
1983,2.86760716535e-07
1982,0.0
1981,5.96100489428e-07
1980,6.55015255305e-07
1979,0.0
1978,0.0
1977,3.34374799375e-07
1976,3.24268409934e-07
1975,3.45866976102e-07
1974,6.72366768004e-07
1973,0.0
1972,3.53801705466e-07
1971,3.54975982325e-07
1970,3.60334000792e-07
1969,3.61877114493e-07
1968,0.0
1967,0.0
1966,3.70246132224e-07
1965,0.0
1964,0.0
1963,0.0
1962,4.02221064719e-07
1961,0.0
1960,0.0
1959,0.0
1958,0.0
1957,4.40270096899e-07
1956,4.43995121382e-07
1955,0.0
1954,0.0
1953,0.0
1952,0.0
1951,0.0
1950,0.0
1949,0.0
1948,0.0
1947,0.0
1946,5.90818212326e-07
1945,0.0
1944,6.48928003385e-07
1943,1.97451298637e-06
1942,8.90896871449e-06
1941,8.92774939807e-06
1940,1.13356964482e-06
1939,5.58972742253e-07
1938,0.0
1937,0.0
1936,4.28519883751e-07
1935,1.29275462742e-06
1934,1.27312904139e-06
1933,4.13425924203e-07
1932,8.50448611643e-07
1931,1.65096938731e-06
1930,8.67256429948e-07
1929,2.08171826691e-06
1928,1.21899833282e-06
1927,1.84656776142e-06
1926,2.84240566056e-06
1925,9.1663691416e-07
1924,1.38971885987e-06
1923,5.09537004106e-07
1922,1.16006387312e-06
1921,0.0
1920,0.0
1919,2.69768161242e-06
1918,0.0
1917,6.05503909436e-07
1916,5.71766076776e-07
1915,1.66763204033e-06
1914,1.0737822638e-06
1913,0.0
1912,1.58872050805e-06
1911,1.03077534406e-06
1910,1.50854742974e-06
1909,1.03596722821e-06
1908,4.95824660534e-07
1907,5.40091243015e-07
1906,2.46224758884e-06
1905,0.0
1904,6.56644089054e-07
1903,1.30521295528e-06
1902,6.84722338245e-07
1901,0.0
1900,4.37153555807e-06
1899,0.0
1898,3.29633309314e-06
1897,1.29494260167e-06
1896,0.0
1895,1.31427114465e-06
1894,6.30172137821e-07
1893,0.0
1892,1.28555028623e-06
1891,1.85430021491e-06
1890,0.0
1889,6.8634697997e-07
1888,1.41607156259e-06
1887,0.0
1886,0.0
1885,2.12811991246e-06
1884,1.39031492719e-06
1883,1.42611240333e-06
1882,1.37776629639e-06
1881,2.10229339186e-06
1880,1.40423108869e-06
1879,0.0
1878,2.24334204124e-06
1877,3.78963005631e-06
1876,0.0
1875,2.63465733647e-06
1874,2.70137027007e-06
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,8.81406725133e-06
1867,0.0
1866,0.0
1865,1.84980678768e-06
1864,0.0
1863,1.77847019551e-06
1862,0.0
1861,3.38964091839e-06
1860,0.0
1859,1.80719734414e-06
1858,1.82642730728e-06
1857,0.0
1856,0.0
1855,1.75494015654e-06
1854,0.0
1853,1.96806615851e-06
1852,3.897830078e-06
1851,1.69348010161e-06
1850,5.14917149831e-06
1849,1.73324043165e-06
1848,0.0
1847,1.75930584828e-06
1846,2.06643591466e-06
1845,0.0
1844,0.0
1843,0.0
1842,2.28408540652e-06
1841,4.84112633645e-06
1840,0.0
1839,0.0
1838,2.73019651955e-06
1837,0.0
1836,2.20331290128e-06
1835,2.17092566099e-06
1834,0.0
1833,0.0
1832,4.42798219066e-06
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,6.51733284671e-06
1814,0.0
1813,0.0
1812,0.0
