date,freq
2017,0.0
2016,2.85173027308e-07
2015,2.02122400706e-06
2014,1.22833825488e-06
2013,1.81629122413e-06
2012,1.49400009562e-06
2011,2.06024691765e-06
2010,8.78603114765e-07
2009,4.1901489598e-06
2008,8.27493071125e-07
2007,6.61222980776e-06
2006,1.13401731588e-06
2005,4.78580698559e-06
2004,2.26011237844e-06
2003,2.94314751379e-06
2002,2.82271824003e-06
2001,3.59835666322e-06
2000,1.84988549209e-06
1999,5.60073976929e-06
1998,4.12880342195e-06
1997,3.22185915449e-06
1996,3.43775568308e-06
1995,3.06685717983e-06
1994,3.27686695771e-06
1993,8.28429719751e-06
1992,1.1683192188e-05
1991,4.80661835931e-06
1990,1.49228971213e-05
1989,1.35046133837e-05
1988,4.84182041688e-06
1987,6.67788923051e-06
1986,2.18611948656e-05
1985,1.60912128992e-05
1984,9.94160516082e-06
1983,1.69188822755e-05
1982,1.93311759356e-05
1981,1.6690813704e-05
1980,4.06109458289e-05
1979,2.39832050007e-05
1978,2.87808730541e-05
1977,5.18280939031e-05
1976,3.85879407821e-05
1975,3.56242985385e-05
1974,4.26952897682e-05
1973,3.46181938831e-05
1972,5.02398421761e-05
1971,3.79824301088e-05
1970,3.71144020816e-05
1969,3.03976776174e-05
1968,4.46645709646e-05
1967,3.25891153104e-05
1966,3.62841209579e-05
1965,4.45702838189e-05
1964,5.81251328783e-05
1963,3.5262816043e-05
1962,2.69488113362e-05
1961,2.75576932648e-05
1960,1.85117537295e-05
1959,2.13341473131e-05
1958,5.23100507494e-05
1957,1.67302636822e-05
1956,2.48637267974e-05
1955,3.54495799691e-05
1954,1.61187669827e-05
1953,1.55732842256e-05
1952,2.92545411026e-05
1951,3.5884658977e-05
1950,2.60351578772e-05
1949,3.91042982734e-05
1948,2.7303321886e-05
1947,4.1166975419e-05
1946,4.66746387737e-05
1945,4.00776972958e-05
1944,7.00842243656e-05
1943,5.00209956548e-05
1942,5.62378650102e-05
1941,3.18051072306e-05
1940,4.81767099048e-05
1939,4.24819284112e-05
1938,2.91527228643e-05
1937,2.66688959128e-05
1936,3.34245509326e-05
1935,3.40425385219e-05
1934,4.62570218371e-05
1933,2.35652776796e-05
1932,2.72143555726e-05
1931,1.692243622e-05
1930,2.25486671786e-05
1929,3.3723835924e-05
1928,2.43799666563e-05
1927,2.03122453756e-05
1926,2.5581650945e-05
1925,2.65824705106e-05
1924,2.1772262138e-05
1923,2.9043609234e-05
1922,1.79809900333e-05
1921,1.53753777083e-05
1920,6.86990427053e-05
1919,9.89149924555e-06
1918,3.3392475117e-05
1917,1.45320938265e-05
1916,2.40141752246e-05
1915,1.77880750968e-05
1914,3.48979235735e-05
1913,5.5119241292e-05
1912,5.71939382899e-05
1911,6.59696220198e-05
1910,4.27421771759e-05
1909,6.11220664645e-05
1908,7.83402963643e-05
1907,3.99667519831e-05
1906,3.63181519354e-05
1905,2.67626894974e-05
1904,2.88923399184e-05
1903,3.4588143315e-05
1902,3.01277828828e-05
1901,3.35861433169e-05
1900,2.87272336673e-05
1899,2.64261415126e-05
1898,4.94449963971e-05
1897,4.14381632534e-05
1896,3.20912953305e-05
1895,3.41710497609e-05
1894,6.42775580578e-05
1893,2.86597734604e-05
1892,2.31399051521e-05
1891,3.21412037252e-05
1890,1.44200170812e-05
1889,1.09815516795e-05
1888,1.69928587511e-05
1887,1.00072385692e-05
1886,1.41778469117e-05
1885,6.38435973739e-06
1884,8.34188956311e-06
1883,1.78264050416e-05
1882,9.64436407474e-06
1881,6.30688017558e-06
1880,2.80846217739e-06
1879,2.02938344287e-06
1878,3.36501306186e-06
1877,5.05284007509e-06
1876,1.78926771663e-05
1875,1.05386293459e-05
1874,2.70137027007e-06
1873,9.23339110798e-06
1872,1.0926080965e-05
1871,7.09364749679e-06
1870,7.84439851113e-06
1869,1.16010028422e-05
1868,1.17520896684e-05
1867,0.0
1866,0.0
1865,3.69961357536e-06
1864,0.0
1863,7.11388078203e-06
1862,0.0
1861,1.69482045919e-06
1860,3.62790073338e-06
1859,3.61439468829e-06
1858,7.30570922912e-06
1857,3.52167857287e-06
1856,1.02547449559e-05
1855,0.0
1854,2.22704749179e-06
1853,5.90419847554e-06
1852,1.948915039e-06
1851,0.0
1850,1.37311239955e-05
1849,0.0
1848,1.77105250108e-06
1847,1.75930584828e-06
1846,0.0
1845,3.49976464083e-06
1844,0.0
1843,7.40532294613e-06
1842,4.56817081304e-06
1841,0.0
1840,2.19624793004e-06
1839,0.0
1838,0.0
1837,2.31147601612e-06
1836,2.20331290128e-06
1835,2.17092566099e-06
1834,4.1575028375e-06
1833,0.0
1832,2.21399109533e-06
1831,0.0
1830,2.27341963234e-06
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,5.65610859729e-06
1824,4.97373865988e-06
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,5.86530904313e-06
1817,6.0171005999e-06
1816,0.0
1815,0.0
1814,6.51554935854e-06
1813,0.0
1812,0.0
