date,freq
2017,0.0
2016,0.0
2015,0.0
2014,0.0
2013,0.0
2012,0.0
2011,0.0
2010,0.0
2009,0.0
2008,0.0
2007,0.0
2006,0.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,0.0
2000,0.0
1999,0.0
1998,0.0
1997,0.0
1996,0.0
1995,0.0
1994,0.0
1993,0.0
1992,0.0
1991,0.0
1990,0.0
1989,0.0
1988,0.0
1987,0.0
1986,0.0
1985,0.0
1984,0.0
1983,0.0
1982,0.0
1981,2.98050244714e-07
1980,0.0
1979,0.0
1978,0.0
1977,0.0
1976,0.0
1975,0.0
1974,0.0
1973,0.0
1972,0.0
1971,0.0
1970,0.0
1969,0.0
1968,0.0
1967,0.0
1966,0.0
1965,0.0
1964,0.0
1963,0.0
1962,0.0
1961,0.0
1960,0.0
1959,0.0
1958,0.0
1957,0.0
1956,0.0
1955,0.0
1954,0.0
1953,0.0
1952,0.0
1951,0.0
1950,0.0
1949,5.07848029524e-07
1948,0.0
1947,0.0
1946,0.0
1945,0.0
1944,1.29785600677e-06
1943,3.94902597274e-06
1942,2.78405272328e-06
1941,3.90589036166e-06
1940,3.96749375687e-06
1939,5.58972742253e-07
1938,3.85035962359e-06
1937,2.05145353176e-06
1936,2.99963918626e-06
1935,2.15459104569e-06
1934,4.2437634713e-06
1933,4.54768516624e-06
1932,2.55134583493e-06
1931,4.12742346828e-06
1930,3.90265393476e-06
1929,2.08171826691e-06
1928,1.21899833282e-06
1927,2.30820970177e-06
1926,2.3686713838e-06
1925,1.83327382832e-06
1924,1.85295847983e-06
1923,2.54768502053e-06
1922,3.48019161935e-06
1921,7.2830736513e-06
1920,2.64227087328e-06
1919,3.59690881656e-06
1918,5.93644002081e-06
1917,4.23852736605e-06
1916,4.5741286142e-06
1915,3.89114142743e-06
1914,4.29512905521e-06
1913,2.78380006525e-06
1912,1.58872050805e-06
1911,2.57693836015e-06
1910,2.01139657298e-06
1909,1.55395084232e-06
1908,1.98329864213e-06
1907,2.16036497206e-06
1906,1.23112379442e-06
1905,1.91162067838e-06
1904,1.31328817811e-06
1903,1.95781943292e-06
1902,2.05416701473e-06
1901,4.11258897758e-06
1900,3.12252539862e-06
1899,6.44540036893e-07
1898,6.59266618628e-07
1897,6.47471300835e-07
1896,2.51696433965e-06
1895,2.6285422893e-06
1894,1.89051641346e-06
1893,1.27376770935e-06
1892,5.14220114491e-06
1891,2.47240028655e-06
1890,6.55455321871e-07
1889,2.05904093991e-06
1888,1.41607156259e-06
1887,2.00144771385e-06
1886,3.37567783611e-06
1885,2.12811991246e-06
1884,2.08547239078e-06
1883,7.13056201664e-07
1882,4.13329888918e-06
1881,2.80305785581e-06
1880,2.10634663304e-06
1879,3.0440751643e-06
1878,2.24334204124e-06
1877,2.52642003754e-06
1876,1.27804836902e-06
1875,3.9519860047e-06
1874,2.70137027007e-06
1873,2.63811174514e-06
1872,2.73152024125e-06
1871,0.0
1870,5.22959900742e-06
1869,1.28900031581e-06
1868,1.46901120856e-06
1867,1.71402518246e-06
1866,1.85733097824e-06
1865,3.69961357536e-06
1864,3.75353536112e-06
1863,3.55694039101e-06
1862,1.73770400645e-06
1861,3.38964091839e-06
1860,1.81395036669e-06
1859,7.22878937657e-06
1858,1.82642730728e-06
1857,3.52167857287e-06
1856,1.70912415932e-06
1855,1.75494015654e-06
1854,6.68114247536e-06
1853,1.96806615851e-06
1852,0.0
1851,1.01608806097e-05
1850,3.43278099887e-06
1849,1.73324043165e-06
1848,3.54210500216e-06
1847,5.27791754485e-06
1846,6.19930774397e-06
1845,0.0
1844,6.07567865331e-06
1843,7.40532294613e-06
1842,2.28408540652e-06
1841,4.84112633645e-06
1840,2.19624793004e-06
1839,0.0
1838,0.0
1837,4.62295203225e-06
1836,2.20331290128e-06
1835,2.17092566099e-06
1834,2.07875141875e-06
1833,0.0
1832,4.42798219066e-06
1831,9.10123071392e-06
1830,0.0
1829,2.39214419845e-06
1828,2.60631144379e-06
1827,5.6652088196e-06
1826,6.44691289576e-06
1825,0.0
1824,0.0
1823,5.0655995137e-06
1822,0.0
1821,5.55796400663e-06
1820,6.60140081725e-06
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,7.78410019694e-06
1812,0.0
