date,freq
2017,2.8930781947e-06
2016,5.70346054617e-07
2015,1.15498514689e-06
2014,1.22833825488e-06
2013,6.05430408045e-07
2012,1.9422001243e-05
2011,1.17728395294e-06
2010,8.78603114765e-07
2009,1.9554028479e-06
2008,1.10332409483e-06
2007,2.29990602009e-06
2006,2.83504328969e-07
2005,8.44554173927e-07
2004,8.47542141914e-07
2003,5.88629502758e-07
2002,3.13635360003e-07
2001,9.81369999061e-07
2000,1.84988549209e-06
1999,1.76865466399e-06
1998,0.0
1997,9.66557746348e-07
1996,6.25046487833e-07
1995,6.13371435967e-07
1994,5.95793992311e-07
1993,1.38071619958e-06
1992,4.77948771326e-06
1991,2.27681922283e-06
1990,4.97429904043e-07
1989,2.33733693179e-06
1988,1.88293016212e-06
1987,3.89543538447e-06
1986,2.52244556142e-06
1985,1.41150990344e-06
1984,1.34346015687e-06
1983,8.60282149604e-07
1982,1.73115008379e-06
1981,5.96100489428e-07
1980,3.27507627653e-07
1979,2.02674971837e-06
1978,2.05577664672e-06
1977,5.01562199063e-06
1976,3.24268409934e-06
1975,1.03760092831e-06
1974,2.01710030401e-06
1973,3.77029834371e-06
1972,3.18421534919e-06
1971,5.32463973488e-06
1970,3.60334000792e-07
1969,2.09888726406e-05
1968,2.0439718916e-05
1967,1.98531392121e-05
1966,2.11040295368e-05
1965,2.54128811248e-05
1964,2.41862969024e-05
1963,2.50252242886e-05
1962,2.41332638832e-05
1961,2.30332958631e-05
1960,2.22141044754e-05
1959,2.2975235568e-05
1958,2.72358115472e-05
1957,2.86175562984e-05
1956,2.21997560691e-05
1955,2.84529523436e-05
1954,1.70956619514e-05
1953,2.43332566025e-06
1952,2.6595037366e-06
1951,1.10414335314e-06
1950,1.56210947263e-06
1949,5.07848029524e-06
1948,7.64493012807e-06
1947,1.62501218759e-06
1946,5.90818212326e-07
1945,2.67184648639e-06
1944,3.24464001692e-06
1943,1.97451298637e-06
1942,1.67043163397e-06
1941,3.34790602428e-06
1940,5.66784822409e-07
1939,0.0
1938,2.75025687399e-06
1937,5.12863382939e-07
1936,2.99963918626e-06
1935,1.72367283655e-06
1934,0.0
1933,1.65370369681e-06
1932,4.25224305821e-06
1931,2.06371173414e-06
1930,6.50442322461e-06
1929,2.49806192029e-06
1928,1.21899833282e-06
1927,4.61641940355e-06
1926,2.3686713838e-06
1925,2.74991074248e-06
1924,6.48535467942e-06
1923,1.52861101232e-06
1922,6.9603832387e-06
1921,1.6184608114e-06
1920,6.16529870432e-06
1919,0.0
1918,1.4841100052e-06
1917,2.42201563774e-06
1916,3.43059646065e-06
1915,3.89114142743e-06
1914,6.44269358281e-06
1913,7.79464018271e-06
1912,1.58872050805e-06
1911,1.54616301609e-06
1910,1.00569828649e-06
1909,2.07193445643e-06
1908,4.95824660534e-07
1907,1.08018248603e-06
1906,1.23112379442e-06
1905,2.54882757118e-06
1904,1.96993226716e-06
1903,1.95781943292e-06
1902,4.79305636771e-06
1901,1.37086299253e-06
1900,1.87351523917e-06
1899,1.28908007379e-06
1898,2.63706647451e-06
1897,4.53229910584e-06
1896,1.25848216982e-06
1895,6.57135572326e-07
1894,1.26034427564e-06
1893,3.18441927338e-06
1892,2.57110057246e-06
1891,3.09050035819e-06
1890,4.5881872531e-06
1889,6.17712281973e-06
1888,2.12410734389e-06
1887,2.00144771385e-06
1886,7.42649123944e-06
1885,2.12811991246e-06
1884,6.95157463593e-07
1883,0.0
1882,6.88883148196e-07
1881,3.50382231977e-06
1880,2.10634663304e-06
1879,2.02938344287e-06
1878,8.97336816496e-06
1877,1.26321001877e-05
1876,0.0
1875,3.9519860047e-06
1874,4.0520554051e-06
1873,7.91433523541e-06
1872,1.36576012062e-05
1871,1.13498359949e-05
1870,1.30739975186e-06
1869,5.15600126322e-06
1868,1.46901120856e-06
1867,5.14207554737e-06
1866,0.0
1865,3.69961357536e-06
1864,7.50707072224e-06
1863,8.89235097754e-06
1862,3.4754080129e-06
1861,3.38964091839e-06
1860,3.62790073338e-06
1859,3.61439468829e-06
1858,5.47928192184e-06
1857,3.52167857287e-06
1856,0.0
1855,3.50988031308e-06
1854,8.90818996715e-06
1853,1.96806615851e-06
1852,1.948915039e-05
1851,5.08044030483e-06
1850,5.14917149831e-06
1849,5.19972129494e-06
1848,1.23973675076e-05
1847,8.79652924142e-06
1846,0.0
1845,8.74941160207e-06
1844,2.02522621777e-06
1843,3.70266147307e-06
1842,4.56817081304e-06
1841,4.84112633645e-06
1840,4.39249586007e-06
1839,0.0
1838,0.0
1837,4.62295203225e-06
1836,0.0
1835,4.34185132199e-06
1834,0.0
1833,2.19657597737e-06
1832,2.21399109533e-06
1831,1.59271537494e-05
1830,1.13670981617e-05
1829,2.39214419845e-06
1828,0.0
1827,5.6652088196e-06
1826,1.93407386873e-05
1825,5.09049773756e-05
1824,0.0
1823,0.0
1822,5.15562246408e-06
1821,5.55796400663e-06
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,1.30346656934e-05
1814,0.0
1813,7.78410019694e-06
1812,6.49030348659e-06
