date,freq
2017,0.0
2016,2.85173027308e-07
2015,2.88746286723e-07
2014,0.0
2013,9.08145612067e-07
2012,5.97600038246e-07
2011,0.0
2010,2.92867704922e-07
2009,2.79343263986e-07
2008,5.51662047416e-07
2007,2.87488252511e-07
2006,8.50512986908e-07
2005,2.81518057976e-07
2004,2.82514047305e-07
2003,0.0
2002,6.27270720006e-07
2001,6.54246666041e-07
2000,3.08314248681e-07
1999,5.89551554662e-07
1998,1.27040105291e-06
1997,1.61092957725e-06
1996,3.12523243916e-07
1995,0.0
1994,5.95793992311e-07
1993,5.52286479834e-07
1992,2.65527095181e-07
1991,5.05959827296e-07
1990,7.46144856065e-07
1989,7.79112310598e-07
1988,1.07596009264e-06
1987,8.34736153814e-07
1986,5.60543458093e-07
1985,1.12920792275e-06
1984,2.68692031374e-07
1983,1.72056429921e-06
1982,5.77050027929e-07
1981,8.94150734142e-07
1980,6.55015255305e-07
1979,3.37791619728e-07
1978,3.4262944112e-07
1977,0.0
1976,1.29707363973e-06
1975,0.0
1974,6.72366768004e-07
1973,6.85508789765e-07
1972,0.0
1971,1.4199039293e-06
1970,3.60334000792e-07
1969,1.80938557247e-06
1968,1.51405325304e-06
1967,1.12376259691e-06
1966,1.11073839667e-06
1965,7.8193480384e-07
1964,0.0
1963,1.13751019494e-06
1962,0.0
1961,1.64523541879e-06
1960,2.0568615255e-06
1959,1.23081619114e-06
1958,1.29694340701e-06
1957,0.0
1956,4.43995121382e-07
1955,1.3993255251e-06
1954,9.76894968649e-07
1953,0.0
1952,2.6595037366e-06
1951,0.0
1950,5.20703157544e-07
1949,0.0
1948,5.46066437719e-07
1947,1.08334145839e-06
1946,1.77245463698e-06
1945,0.0
1944,2.59571201354e-06
1943,6.58170995457e-07
1942,1.11362108931e-06
1941,5.5798433738e-07
1940,1.13356964482e-06
1939,1.11794548451e-06
1938,1.6501541244e-06
1937,5.12863382939e-07
1936,8.57039767502e-07
1935,1.72367283655e-06
1934,4.2437634713e-07
1933,4.13425924203e-07
1932,8.50448611643e-07
1931,4.12742346828e-07
1930,1.30088464492e-06
1929,2.08171826691e-06
1928,1.21899833282e-06
1927,4.61641940355e-07
1926,4.73734276759e-07
1925,0.0
1924,0.0
1923,1.52861101232e-06
1922,3.48019161935e-06
1921,8.092304057e-07
1920,8.8075695776e-07
1919,0.0
1918,2.2261650078e-06
1917,3.02751954718e-06
1916,1.71529823033e-06
1915,5.55877346775e-07
1914,1.0737822638e-06
1913,0.0
1912,1.05914700537e-06
1911,0.0
1910,0.0
1909,5.17983614106e-07
1908,0.0
1907,5.40091243015e-07
1906,6.15561897211e-07
1905,6.37206892794e-07
1904,0.0
1903,0.0
1902,0.0
1901,2.05629448879e-06
1900,2.4980203189e-06
1899,0.0
1898,0.0
1897,0.0
1896,6.29241084912e-07
1895,0.0
1894,0.0
1893,0.0
1892,2.57110057246e-06
1891,5.56290064474e-06
1890,5.24364257497e-06
1889,6.17712281973e-06
1888,2.83214312518e-06
1887,1.3342984759e-06
1886,2.70054226889e-06
1885,2.83749321662e-06
1884,6.95157463593e-07
1883,1.42611240333e-06
1882,1.37776629639e-06
1881,2.80305785581e-06
1880,0.0
1879,0.0
1878,1.12167102062e-06
1877,1.26321001877e-06
1876,3.83414510706e-06
1875,1.31732866823e-06
1874,6.75342567517e-06
1873,1.31905587257e-06
1872,4.09728036187e-06
1871,2.83745899872e-06
1870,0.0
1869,5.15600126322e-06
1868,1.46901120856e-06
1867,1.71402518246e-06
1866,0.0
1865,1.84980678768e-06
1864,0.0
1863,0.0
1862,0.0
1861,5.08446137758e-06
1860,0.0
1859,0.0
1858,1.82642730728e-06
1857,0.0
1856,1.70912415932e-06
1855,3.50988031308e-06
1854,2.22704749179e-06
1853,0.0
1852,1.948915039e-06
1851,1.69348010161e-06
1850,8.58195249718e-06
1849,1.73324043165e-06
1848,1.77105250108e-06
1847,0.0
1846,2.06643591466e-06
1845,5.24964696124e-06
1844,0.0
1843,7.40532294613e-06
1842,0.0
1841,2.42056316823e-06
1840,0.0
1839,2.43025768022e-06
1838,2.73019651955e-06
1837,0.0
1836,4.40662580256e-06
1835,2.17092566099e-06
1834,4.1575028375e-06
1833,8.78630390947e-06
1832,2.21399109533e-06
1831,1.36518460709e-05
1830,1.59139374264e-05
1829,1.19607209923e-05
1828,5.21262288758e-06
1827,5.6652088196e-06
1826,0.0
1825,0.0
1824,4.97373865988e-06
1823,5.0655995137e-06
1822,1.03112449282e-05
1821,5.55796400663e-06
1820,1.32028016345e-05
1819,0.0
1818,1.75959271294e-05
1817,3.61026035994e-05
1816,0.0
1815,6.51733284671e-06
1814,6.51554935854e-06
1813,2.33523005908e-05
1812,2.59612139464e-05
