date,freq
2017,5.78615638939e-07
2016,0.0
2015,0.0
2014,2.14959194603e-06
2013,0.0
2012,5.97600038246e-07
2011,0.0
2010,0.0
2009,0.0
2008,0.0
2007,2.87488252511e-07
2006,8.50512986908e-07
2005,5.63036115952e-07
2004,2.26011237844e-06
2003,0.0
2002,9.4090608001e-07
2001,6.54246666041e-07
2000,3.08314248681e-07
1999,5.89551554662e-07
1998,1.27040105291e-06
1997,2.25530140815e-06
1996,1.8751394635e-06
1995,3.06685717983e-07
1994,1.78738197693e-06
1993,1.10457295967e-06
1992,1.06210838073e-06
1991,1.51787948189e-06
1990,1.24357476011e-06
1989,5.19408207065e-07
1988,2.6899002316e-07
1987,2.78245384605e-07
1986,8.4081518714e-07
1985,1.69381188412e-06
1984,2.68692031374e-07
1983,1.43380358267e-06
1982,2.59672512568e-06
1981,1.49025122357e-06
1980,3.27507627653e-07
1979,6.75583239455e-07
1978,2.74103552896e-06
1977,6.6874959875e-07
1976,1.62134204967e-06
1975,0.0
1974,1.00855015201e-06
1973,1.71377197441e-06
1972,1.0614051164e-06
1971,3.54975982325e-07
1970,2.16200400475e-06
1969,3.61877114493e-07
1968,1.13553993978e-06
1967,7.49175064607e-07
1966,3.70246132224e-07
1965,3.9096740192e-07
1964,0.0
1963,7.58340129957e-07
1962,1.60888425888e-06
1961,2.87916198289e-06
1960,2.0568615255e-06
1959,5.33353682828e-06
1958,8.64628938007e-07
1957,8.80540193798e-07
1956,1.77598048553e-06
1955,1.8657673668e-06
1954,4.88447484324e-07
1953,6.32664671664e-06
1952,1.06380149464e-06
1951,1.10414335314e-06
1950,3.64492210281e-06
1949,5.07848029524e-07
1948,5.46066437719e-07
1947,1.08334145839e-06
1946,5.90818212326e-07
1945,0.0
1944,0.0
1943,2.63268398183e-06
1942,2.78405272328e-06
1941,1.11596867476e-06
1940,3.96749375687e-06
1939,3.35383645352e-06
1938,2.20020549919e-06
1937,5.64149721233e-06
1936,8.57039767502e-07
1935,3.44734567311e-06
1934,4.2437634713e-06
1933,8.26851848407e-07
1932,2.55134583493e-06
1931,2.8891964278e-06
1930,4.33628214974e-06
1929,5.82881114735e-06
1928,4.46966055366e-06
1927,2.76985164213e-06
1926,9.47468553519e-07
1925,1.46661906266e-05
1924,5.5588754395e-06
1923,4.58583303695e-06
1922,5.22028742903e-06
1921,4.8553824342e-06
1920,1.14498404509e-05
1919,3.59690881656e-06
1918,3.710275013e-06
1917,9.68806255098e-06
1916,1.08635554587e-05
1915,3.33526408065e-06
1914,6.44269358281e-06
1913,3.39623607961e-05
1912,6.35488203221e-06
1911,2.42232205854e-05
1910,1.55883234406e-05
1909,1.55395084232e-06
1908,1.33872658344e-05
1907,4.86082118713e-06
1906,1.29267998414e-05
1905,4.84277238524e-05
1904,3.6772068987e-05
1903,3.26303238821e-06
1902,3.42361169122e-05
1901,2.12483763841e-05
1900,2.74782235079e-05
1899,4.12505623612e-05
1898,2.57113981265e-05
1897,3.23735650417e-06
1896,5.0339286793e-06
1895,9.19989801256e-06
1894,3.15086068911e-06
1893,1.71958640762e-05
1892,6.42775143114e-07
1891,7.41720085965e-06
1890,8.52091918433e-06
1889,1.02952046996e-05
1888,1.06205367194e-05
1887,1.80130294246e-05
1886,1.01270335083e-05
1885,4.25623982493e-06
1884,9.03704702671e-06
1883,9.26973062163e-06
1882,1.23998966675e-05
1881,9.1099380314e-06
1880,9.82961762085e-05
1879,2.23232178716e-05
1878,1.68250653093e-05
1877,6.31605009386e-06
1876,1.40585320592e-05
1875,6.58664334117e-06
1874,1.35068513503e-06
1873,1.31905587257e-06
1872,1.36576012062e-06
1871,2.83745899872e-06
1870,3.92219925557e-06
1869,1.28900031581e-06
1868,1.02830784599e-05
1867,0.0
1866,0.0
1865,1.10988407261e-05
1864,1.87676768056e-06
1863,0.0
1862,1.73770400645e-06
1861,0.0
1860,1.81395036669e-06
1859,1.80719734414e-06
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,7.79566015599e-06
1851,1.69348010161e-06
1850,0.0
1849,5.19972129494e-06
1848,0.0
1847,3.51861169657e-06
1846,1.85979232319e-05
1845,3.49976464083e-06
1844,0.0
1843,5.5539922096e-06
1842,0.0
1841,0.0
1840,0.0
1839,2.43025768022e-06
1838,0.0
1837,2.31147601612e-06
1836,2.20331290128e-06
1835,0.0
1834,0.0
1833,2.19657597737e-06
1832,0.0
1831,0.0
1830,2.27341963234e-06
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,1.01311990274e-05
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,5.86530904313e-06
1817,0.0
1816,0.0
1815,0.0
1814,1.30310987171e-05
1813,0.0
1812,0.0
