date,freq
2017,5.78615638939e-07
2016,8.55519081925e-07
2015,2.88746286723e-07
2014,9.21253691156e-07
2013,6.05430408045e-07
2012,5.97600038246e-07
2011,2.94320988236e-07
2010,5.85735409843e-07
2009,2.79343263986e-07
2008,1.37915511854e-06
2007,5.74976505023e-07
2006,2.83504328969e-07
2005,2.81518057976e-07
2004,1.13005618922e-06
2003,8.82944254137e-07
2002,3.13635360003e-07
2001,0.0
2000,6.16628497363e-07
1999,2.94775777331e-07
1998,3.17600263227e-06
1997,2.25530140815e-06
1996,0.0
1995,9.2005715395e-07
1994,8.93690988467e-07
1993,2.48528915925e-06
1992,2.65527095181e-07
1991,2.52979913648e-07
1990,1.49228971213e-06
1989,1.03881641413e-06
1988,8.0697006948e-07
1987,1.11298153842e-06
1986,5.60543458093e-07
1985,4.23452971031e-06
1984,1.07476812549e-06
1983,2.86760716535e-06
1982,5.77050027929e-07
1981,2.086351713e-06
1980,1.96504576592e-06
1979,1.35116647891e-06
1978,3.4262944112e-07
1977,4.34687239188e-06
1976,0.0
1975,1.38346790441e-06
1974,1.34473353601e-06
1973,1.02826318465e-06
1972,1.41520682186e-06
1971,0.0
1970,2.52233800554e-06
1969,2.17126268696e-06
1968,7.57026626519e-07
1967,0.0
1966,3.33221519001e-06
1965,1.17290220576e-06
1964,1.56040625177e-06
1963,1.13751019494e-06
1962,8.04442129439e-07
1961,4.11308854698e-07
1960,2.0568615255e-06
1959,0.0
1958,1.29694340701e-06
1957,4.40270096899e-06
1956,1.33198536414e-06
1955,1.3993255251e-06
1954,2.93068490595e-06
1953,1.45999539615e-06
1952,0.0
1951,5.5207167657e-07
1950,2.08281263018e-06
1949,2.0313921181e-06
1948,5.46066437719e-07
1947,4.33336583358e-06
1946,1.18163642465e-06
1945,2.00388486479e-06
1944,1.29785600677e-06
1943,1.31634199091e-06
1942,1.67043163397e-06
1941,1.39496084345e-05
1940,1.13356964482e-06
1939,1.67691822676e-06
1938,1.6501541244e-06
1937,2.05145353176e-06
1936,3.85667895376e-06
1935,2.15459104569e-06
1934,3.39501077704e-06
1933,3.72083331783e-06
1932,5.10269166986e-06
1931,9.90581632388e-06
1930,6.07079500963e-06
1929,5.41246749397e-06
1928,4.46966055366e-06
1927,3.23149358248e-06
1926,3.78987421407e-06
1925,2.2915922854e-06
1924,2.77943771975e-06
1923,7.64305506159e-06
1922,1.50808303505e-05
1921,2.4276912171e-06
1920,6.16529870432e-06
1919,1.34884080621e-05
1918,1.03887700364e-05
1917,4.84403127549e-06
1916,8.57649115163e-06
1915,6.6705281613e-06
1914,4.83202018711e-06
1913,3.3405600783e-06
1912,1.32393375671e-05
1911,3.60771370421e-06
1910,5.02849143246e-06
1909,4.66185252696e-06
1908,9.91649321067e-07
1907,8.64145988823e-06
1906,3.69337138327e-06
1905,3.18603446397e-06
1904,3.93986453432e-06
1903,4.56824534349e-06
1902,2.05416701473e-06
1901,7.53974645889e-06
1900,3.74703047835e-06
1899,1.03126405903e-05
1898,9.22973266079e-06
1897,6.47471300835e-06
1896,4.40468759439e-06
1895,2.6285422893e-06
1894,1.89051641346e-06
1893,3.82130312806e-06
1892,5.78497628802e-06
1891,4.32670050146e-06
1890,9.1763745062e-06
1889,2.05904093991e-06
1888,4.24821468778e-06
1887,2.6685969518e-06
1886,2.70054226889e-06
1885,2.83749321662e-06
1884,4.17094478156e-06
1883,5.70444961331e-06
1882,5.51106518557e-06
1881,2.10229339186e-06
1880,2.10634663304e-06
1879,1.01469172143e-06
1878,0.0
1877,5.05284007509e-06
1876,2.55609673804e-06
1875,1.31732866823e-06
1874,0.0
1873,0.0
1872,2.73152024125e-06
1871,9.93110649551e-06
1870,0.0
1869,1.28900031581e-06
1868,0.0
1867,0.0
1866,1.85733097824e-06
1865,0.0
1864,7.50707072224e-06
1863,1.77847019551e-06
1862,1.73770400645e-06
1861,0.0
1860,0.0
1859,1.80719734414e-06
1858,0.0
1857,0.0
1856,0.0
1855,1.75494015654e-06
1854,2.22704749179e-06
1853,0.0
1852,1.948915039e-06
1851,3.38696020322e-06
1850,0.0
1849,8.66620215823e-06
1848,1.77105250108e-06
1847,0.0
1846,4.13287182931e-06
1845,0.0
1844,0.0
1843,1.85133073653e-06
1842,4.56817081304e-06
1841,9.68225267291e-06
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,4.39315195473e-06
1832,0.0
1831,0.0
1830,0.0
1829,2.39214419845e-06
1828,2.60631144379e-06
1827,1.13304176392e-05
1826,0.0
1825,0.0
1824,4.97373865988e-06
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,6.66635557007e-06
1815,0.0
1814,0.0
1813,0.0
1812,0.0
