date,freq
2017,4.8025098032e-05
2016,4.56276843694e-06
2015,2.30997029378e-06
2014,3.9306824156e-05
2013,9.08145612067e-07
2012,2.98800019123e-07
2011,7.06370371766e-06
2010,6.15022180336e-06
2009,5.02817875175e-06
2008,8.27493071125e-06
2007,6.03725330274e-06
2006,4.25256493454e-06
2005,4.78580698559e-06
2004,1.69508428383e-05
2003,4.70903602207e-06
2002,1.88181216002e-06
2001,7.19671332645e-06
2000,1.07909987038e-05
1999,1.47387888666e-05
1998,1.07984089497e-05
1997,1.2887436618e-06
1996,7.50055785399e-06
1995,1.38008573093e-05
1994,6.01751932234e-05
1993,8.56044043742e-06
1992,7.1692315699e-06
1991,7.33641749579e-06
1990,2.41253503461e-05
1989,2.41524816285e-05
1988,3.38927429182e-05
1987,8.62560692275e-06
1986,2.21414665947e-05
1985,7.36808169593e-05
1984,1.8002366102e-05
1983,6.99696148345e-05
1982,3.86623518713e-05
1981,5.36490440485e-05
1980,0.000122487852742
1979,2.70233295782e-05
1978,4.72828628746e-05
1977,2.50781099531e-05
1976,1.68619573165e-05
1975,5.18800464153e-05
1974,1.94986362721e-05
1973,2.09080180878e-05
1972,2.29971108553e-05
1971,3.01729584976e-05
1970,2.88267200634e-06
1969,3.47402029913e-05
1968,1.8925665663e-06
1967,1.87293766152e-06
1966,3.70246132224e-07
1965,0.0
1964,3.90101562942e-07
1963,7.58340129957e-07
1962,0.0
1961,1.23392656409e-06
1960,4.113723051e-07
1959,4.10272063714e-07
1958,0.0
1957,1.7610803876e-06
1956,0.0
1955,3.26509289189e-06
1954,0.0
1953,9.73330264099e-07
1952,0.0
1951,0.0
1950,5.20703157544e-07
1949,5.07848029524e-06
1948,0.0
1947,5.41670729197e-07
1946,0.0
1945,0.0
1944,6.48928003385e-07
1943,1.97451298637e-06
1942,0.0
1941,0.0
1940,0.0
1939,0.0
1938,0.0
1937,0.0
1936,0.0
1935,4.30918209138e-07
1934,0.0
1933,0.0
1932,4.25224305821e-07
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,1.84656776142e-06
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,3.2369216228e-06
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,1.0737822638e-06
1913,0.0
1912,1.05914700537e-06
1911,0.0
1910,0.0
1909,0.0
1908,9.91649321067e-07
1907,5.40091243015e-07
1906,6.15561897211e-07
1905,6.37206892794e-07
1904,1.31328817811e-06
1903,6.52606477641e-07
1902,0.0
1901,6.85431496263e-07
1900,0.0
1899,6.44540036893e-07
1898,0.0
1897,0.0
1896,7.55089301895e-06
1895,6.57135572326e-07
1894,0.0
1893,6.36883854676e-07
1892,3.85665085868e-06
1891,6.18100071638e-07
1890,6.55455321871e-07
1889,6.8634697997e-07
1888,0.0
1887,0.0
1886,6.75135567222e-07
1885,2.12811991246e-06
1884,6.95157463593e-07
1883,1.42611240333e-06
1882,0.0
1881,7.00764463954e-07
1880,2.80846217739e-06
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,1.31732866823e-06
1874,4.0520554051e-06
1873,1.31905587257e-06
1872,4.09728036187e-06
1871,4.25618849808e-06
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,8.89235097754e-06
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
