date,freq
2017,5.7282948255e-05
2016,4.22056080417e-05
2015,2.13672252175e-05
2014,3.96139087197e-05
2013,2.99688051982e-05
2012,2.95812018932e-05
2011,0.000145394568188
2010,4.01228755743e-05
2009,4.27395193899e-05
2008,5.48903737179e-05
2007,4.82980264219e-05
2006,3.43040238053e-05
2005,3.32191308411e-05
2004,4.09645368592e-05
2003,7.24014288393e-05
2002,5.33180112005e-05
2001,0.00011154905656
2000,4.99469082864e-05
1999,0.000100223764293
1998,3.58888297447e-05
1997,2.38417577433e-05
1996,3.43775568308e-05
1995,6.53240579305e-05
1994,4.4088755431e-05
1993,3.45179049896e-05
1992,3.53151036591e-05
1991,3.1622489206e-05
1990,2.43740652981e-05
1989,2.98659719062e-05
1988,4.27694136824e-05
1987,7.84651984585e-05
1986,2.80271729047e-05
1985,4.29099010644e-05
1984,2.76752792315e-05
1983,4.58817146456e-05
1982,8.56919291475e-05
1981,3.48718786316e-05
1980,2.88206712334e-05
1979,4.25617440857e-05
1978,2.26135431139e-05
1977,4.21312247213e-05
1976,3.14540357636e-05
1975,1.62557478768e-05
1974,3.32821550162e-05
1973,1.98797549032e-05
1972,1.91052920952e-05
1971,2.23634868865e-05
1970,4.14384100911e-05
1969,3.29308174189e-05
1968,1.32479659641e-05
1967,3.03415901166e-05
1966,2.07337834045e-05
1965,4.30064142112e-05
1964,2.06753828359e-05
1963,2.23710338337e-05
1962,2.81554745304e-05
1961,2.79690021195e-05
1960,2.18027321703e-05
1959,2.05136031857e-05
1958,3.54497864583e-05
1957,1.71705337791e-05
1956,3.28556389822e-05
1955,1.77247899846e-05
1954,3.27259814497e-05
1953,3.9419875696e-05
1952,1.4893220925e-05
1951,3.25722289176e-05
1950,1.04140631509e-05
1949,2.0313921181e-05
1948,2.23887239465e-05
1947,2.00418169803e-05
1946,2.12694556437e-05
1945,3.67378891878e-05
1944,3.30953281726e-05
1943,2.3035984841e-05
1942,2.72837166881e-05
1941,4.01748722913e-05
1940,3.79745831014e-05
1939,3.63332282465e-05
1938,4.23539558595e-05
1937,1.58987648711e-05
1936,2.39971134901e-05
1935,2.8009683594e-05
1934,2.67357098692e-05
1933,4.01023146477e-05
1932,2.63639069609e-05
1931,3.75595535614e-05
1930,2.73185775433e-05
1929,2.37315882428e-05
1928,1.78786422146e-05
1927,2.30820970177e-05
1926,2.32129795612e-05
1925,2.93323812531e-05
1924,2.87208564374e-05
1923,1.88528691519e-05
1922,2.72615010182e-05
1921,2.67046033881e-05
1920,2.64227087328e-05
1919,2.87752705325e-05
1918,2.9682200104e-05
1917,3.20917072001e-05
1916,3.14471342227e-05
1915,3.39085181533e-05
1914,3.97299437607e-05
1913,5.73462813442e-05
1912,3.1774410161e-05
1911,3.71079123862e-05
1910,5.38048583273e-05
1909,4.09207055144e-05
1908,4.61116934296e-05
1907,7.07519528349e-05
1906,2.77002853745e-05
1905,4.07812411388e-05
1904,3.80853571651e-05
1903,3.58933562703e-05
1902,2.12263924856e-05
1901,3.22152803243e-05
1900,4.68378809793e-05
1899,2.19143612544e-05
1898,2.50521315079e-05
1897,3.36685076434e-05
1896,1.95064736323e-05
1895,5.19137102137e-05
1894,3.71801561314e-05
1893,3.12073088791e-05
1892,4.43514848749e-05
1891,2.9050703367e-05
1890,1.31091064374e-05
1889,1.30405926194e-05
1888,1.06205367194e-05
1887,1.66787309487e-05
1886,1.62032536133e-05
1885,2.83749321662e-05
1884,1.5293464199e-05
1883,1.0695843025e-05
1882,4.13329888918e-06
1881,2.10229339186e-06
1880,1.19359642539e-05
1879,6.08815032861e-06
1878,6.73002612372e-06
1877,1.51585202253e-05
1876,3.70634027015e-05
1875,1.05386293459e-05
1874,1.35068513503e-06
1873,1.71477263434e-05
1872,8.19456072374e-06
1871,9.93110649551e-06
1870,3.26849937964e-05
1869,1.41790034739e-05
1868,5.87604483422e-06
1867,5.14207554737e-06
1866,1.85733097824e-06
1865,1.47984543014e-05
1864,1.12606060834e-05
1863,8.89235097754e-06
1862,2.08524480774e-05
1861,1.69482045919e-06
1860,1.81395036669e-06
1859,2.34935654739e-05
1858,0.0
1857,1.76083928644e-06
1856,1.19638691153e-05
1855,1.75494015654e-06
1854,8.90818996715e-06
1853,7.87226463405e-06
1852,3.897830078e-06
1851,0.0
1850,3.43278099887e-06
1849,0.0
1848,3.54210500216e-06
1847,1.75930584828e-06
1846,1.03321795733e-05
1845,3.49976464083e-06
1844,1.21513573066e-05
1843,1.66619766288e-05
1842,6.85225621956e-06
1841,7.26168950468e-06
1840,0.0
1839,0.0
1838,8.19058955864e-06
1837,6.93442804837e-06
1836,0.0
1835,0.0
1834,6.23625425624e-06
1833,2.19657597737e-06
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,5.0655995137e-06
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,1.20342011998e-05
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,6.49030348659e-06
