date,freq
2017,1.09936971398e-05
2016,2.08176309935e-05
2015,9.23988117513e-06
2014,1.59683973134e-05
2013,1.96764882615e-05
2012,1.67328010709e-05
2011,1.20671605177e-05
2010,1.20075759018e-05
2009,1.50845362553e-05
2008,9.10242378237e-06
2007,2.44365014635e-05
2006,1.36082077905e-05
2005,1.80171557105e-05
2004,2.06235254532e-05
2003,1.17725900552e-05
2002,1.88181216002e-05
2001,2.51884966426e-05
2000,2.00404261643e-05
1999,2.56454926278e-05
1998,2.25496186891e-05
1997,2.12642704197e-05
1996,2.43768130255e-05
1995,2.36148002847e-05
1994,2.83002146348e-05
1993,1.54640214353e-05
1992,2.07111134241e-05
1991,1.26489956824e-05
1990,1.79074765456e-05
1989,1.48031339014e-05
1988,2.44780921076e-05
1987,3.22764646141e-05
1986,2.69060859885e-05
1985,1.91965346867e-05
1984,3.76168843923e-05
1983,2.69555073543e-05
1982,2.01967509775e-05
1981,1.28161605227e-05
1980,1.96504576592e-05
1979,1.95919139442e-05
1978,2.02151370261e-05
1977,1.57156155706e-05
1976,1.16736627576e-05
1975,2.38648213511e-05
1974,1.27749685921e-05
1973,1.26819126107e-05
1972,1.5921076746e-05
1971,1.4199039293e-05
1970,1.29720240285e-05
1969,9.04692786233e-06
1968,1.21124260243e-05
1967,8.24092571068e-06
1966,1.29586146278e-05
1965,6.25547843072e-06
1964,1.59941640806e-05
1963,1.28917822093e-05
1962,7.64220022967e-06
1961,1.80975896067e-05
1960,8.6388184071e-06
1959,7.38489714684e-06
1958,7.34934597306e-06
1957,5.72351125969e-06
1956,6.21593169934e-06
1955,8.86239499228e-06
1954,1.31880820768e-05
1953,1.11932980371e-05
1952,7.97851120981e-06
1951,8.28107514855e-06
1950,7.28984420562e-06
1949,1.32040487676e-05
1948,1.14673951921e-05
1947,9.20840239635e-06
1946,1.00439096095e-05
1945,1.13553475672e-05
1944,1.55742720812e-05
1943,1.11889069228e-05
1942,9.46577925914e-06
1941,1.11596867476e-05
1940,1.41696205602e-05
1939,1.45332912986e-05
1938,1.76016439935e-05
1937,1.38473113394e-05
1936,6.85631814002e-06
1935,6.89469134621e-06
1934,1.10337850254e-05
1933,5.37453701464e-06
1932,3.82701875239e-06
1931,1.27950127517e-05
1930,3.90265393476e-06
1929,9.99224768117e-06
1928,7.3139899969e-06
1927,6.92462910532e-06
1926,8.05348270491e-06
1925,1.32912352553e-05
1924,6.48535467942e-06
1923,6.62398105338e-06
1922,6.38035130214e-06
1921,8.9015344627e-06
1920,3.52302783104e-06
1919,5.39536322484e-06
1918,8.16260502861e-06
1917,9.08255864154e-06
1916,4.00236253743e-06
1915,6.6705281613e-06
1914,8.05336697851e-06
1913,6.12436014356e-06
1912,6.88445553489e-06
1911,6.70003973639e-06
1910,6.53703886219e-06
1909,7.25177059749e-06
1908,5.9498959264e-06
1907,1.08018248603e-05
1906,4.30893328048e-06
1905,5.73486203515e-06
1904,7.22308497959e-06
1903,5.87345829877e-06
1902,6.84722338245e-06
1901,7.53974645889e-06
1900,1.24901015945e-06
1899,4.51178025825e-06
1898,1.97779985588e-06
1897,2.58988520334e-06
1896,4.40468759439e-06
1895,6.57135572326e-07
1894,2.52068855128e-06
1893,3.18441927338e-06
1892,3.85665085868e-06
1891,3.70860042983e-06
1890,3.93273193123e-06
1889,2.74538791988e-06
1888,2.83214312518e-06
1887,1.3342984759e-06
1886,1.35027113444e-06
1885,7.09373304154e-07
1884,3.47578731796e-06
1883,2.13916860499e-06
1882,0.0
1881,2.80305785581e-06
1880,1.40423108869e-06
1879,3.0440751643e-06
1878,1.12167102062e-06
1877,0.0
1876,0.0
1875,1.31732866823e-06
1874,0.0
1873,1.31905587257e-06
1872,0.0
1871,0.0
1870,0.0
1869,1.28900031581e-06
1868,0.0
1867,0.0
1866,0.0
1865,1.84980678768e-06
1864,0.0
1863,1.77847019551e-06
1862,3.4754080129e-06
1861,0.0
1860,1.81395036669e-06
1859,0.0
1858,3.65285461456e-06
1857,5.28251785931e-06
1856,0.0
1855,0.0
1854,0.0
1853,7.87226463405e-06
1852,0.0
1851,1.69348010161e-06
1850,0.0
1849,1.73324043165e-06
1848,3.54210500216e-06
1847,0.0
1846,0.0
1845,6.99952928166e-06
1844,4.05045243554e-06
1843,1.85133073653e-06
1842,0.0
1841,4.84112633645e-06
1840,2.19624793004e-06
1839,0.0
1838,0.0
1837,4.62295203225e-06
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,2.21399109533e-06
1831,2.27530767848e-06
1830,0.0
1829,0.0
1828,5.21262288758e-06
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
