date,freq
2017,0.0
2016,5.70346054617e-07
2015,0.0
2014,0.0
2013,0.0
2012,0.0
2011,0.0
2010,5.85735409843e-07
2009,0.0
2008,0.0
2007,0.0
2006,0.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,0.0
2000,0.0
1999,0.0
1998,0.0
1997,3.22185915449e-07
1996,3.12523243916e-07
1995,0.0
1994,0.0
1993,0.0
1992,0.0
1991,0.0
1990,0.0
1989,0.0
1988,2.6899002316e-07
1987,0.0
1986,0.0
1985,0.0
1984,0.0
1983,5.73521433069e-07
1982,0.0
1981,8.94150734142e-07
1980,0.0
1979,0.0
1978,0.0
1977,3.34374799375e-07
1976,3.24268409934e-07
1975,1.03760092831e-06
1974,0.0
1973,0.0
1972,3.53801705466e-07
1971,3.54975982325e-07
1970,3.60334000792e-07
1969,3.61877114493e-07
1968,1.13553993978e-06
1967,3.74587532303e-07
1966,0.0
1965,0.0
1964,0.0
1963,0.0
1962,4.02221064719e-07
1961,0.0
1960,1.6454892204e-06
1959,0.0
1958,4.32314469003e-07
1957,0.0
1956,0.0
1955,9.32883683398e-07
1954,0.0
1953,4.86665132049e-07
1952,0.0
1951,5.5207167657e-07
1950,0.0
1949,5.07848029524e-07
1948,0.0
1947,0.0
1946,0.0
1945,6.67961621597e-07
1944,1.29785600677e-06
1943,0.0
1942,0.0
1941,1.11596867476e-06
1940,0.0
1939,0.0
1938,0.0
1937,5.12863382939e-07
1936,0.0
1935,0.0
1934,4.2437634713e-07
1933,0.0
1932,0.0
1931,8.25484693656e-07
1930,0.0
1929,1.24903096015e-06
1928,0.0
1927,4.61641940355e-07
1926,0.0
1925,0.0
1924,4.63239619958e-07
1923,0.0
1922,1.16006387312e-06
1921,8.092304057e-07
1920,0.0
1919,8.99227204141e-07
1918,3.710275013e-06
1917,6.05503909436e-07
1916,2.85883038388e-06
1915,5.55877346775e-07
1914,0.0
1913,1.67028003915e-06
1912,2.11829401074e-06
1911,1.03077534406e-06
1910,0.0
1909,5.17983614106e-07
1908,9.91649321067e-07
1907,0.0
1906,2.46224758884e-06
1905,0.0
1904,6.56644089054e-07
1903,1.30521295528e-06
1902,0.0
1901,6.85431496263e-07
1900,1.24901015945e-06
1899,2.57816014757e-06
1898,6.59266618628e-07
1897,0.0
1896,1.88772325474e-06
1895,3.94281343395e-06
1894,1.89051641346e-06
1893,1.27376770935e-06
1892,6.42775143114e-07
1891,2.47240028655e-06
1890,1.96636596561e-06
1889,6.8634697997e-07
1888,7.08035781296e-07
1887,1.3342984759e-06
1886,0.0
1885,0.0
1884,6.95157463593e-07
1883,6.41750581497e-06
1882,2.75553259278e-06
1881,0.0
1880,3.51057772173e-06
1879,2.02938344287e-06
1878,4.48668408248e-06
1877,5.05284007509e-06
1876,0.0
1875,2.63465733647e-06
1874,1.35068513503e-06
1873,3.95716761771e-06
1872,2.73152024125e-06
1871,5.67491799743e-06
1870,5.22959900742e-06
1869,3.86700094742e-06
1868,2.93802241711e-06
1867,1.71402518246e-06
1866,0.0
1865,3.69961357536e-06
1864,0.0
1863,1.77847019551e-06
1862,5.21311201935e-06
1861,0.0
1860,0.0
1859,7.22878937657e-06
1858,9.1321365364e-06
1857,1.76083928644e-06
1856,0.0
1855,0.0
1854,2.22704749179e-06
1853,5.90419847554e-06
1852,1.948915039e-06
1851,5.08044030483e-06
1850,8.58195249718e-06
1849,5.19972129494e-06
1848,7.08421000432e-06
1847,7.03722339314e-06
1846,2.06643591466e-06
1845,1.74988232041e-06
1844,2.02522621777e-06
1843,3.70266147307e-06
1842,9.13634162609e-06
1841,2.42056316823e-06
1840,6.58874379011e-06
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,8.68370264397e-06
1834,0.0
1833,0.0
1832,0.0
1831,2.27530767848e-06
1830,2.27341963234e-06
1829,9.56857679381e-06
1828,0.0
1827,0.0
1826,6.44691289576e-06
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,6.60140081725e-06
1819,5.87651099789e-06
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
