date,freq
2017,5.78615638939e-07
2016,3.13690330039e-06
2015,0.0
2014,1.22833825488e-06
2013,2.11900642816e-06
2012,5.97600038246e-07
2011,8.82962964707e-07
2010,1.75720622953e-06
2009,1.11737305595e-06
2008,4.41329637933e-06
2007,2.29990602009e-06
2006,1.70102597382e-06
2005,3.65973475369e-06
2004,2.54262642574e-06
2003,3.23746226517e-06
2002,5.01816576005e-06
2001,2.61698666416e-06
2000,2.15819974077e-06
1999,1.76865466399e-06
1998,2.54080210582e-06
1997,1.61092957725e-06
1996,2.18766270741e-06
1995,3.06685717983e-07
1994,4.17055794618e-06
1993,3.86600535884e-06
1992,1.85868966627e-06
1991,2.78277905013e-06
1990,1.24357476011e-06
1989,2.59704103533e-06
1988,2.6899002316e-07
1987,2.22596307684e-06
1986,3.36326074856e-06
1985,2.2584158455e-06
1984,5.37384062747e-07
1983,2.58084644881e-06
1982,8.65575041894e-07
1981,4.76880391543e-06
1980,1.96504576592e-06
1979,2.70233295782e-06
1978,2.05577664672e-06
1977,3.34374799375e-06
1976,1.29707363973e-06
1975,2.07520185661e-06
1974,1.34473353601e-06
1973,4.45580713347e-06
1972,4.24562046559e-06
1971,3.54975982325e-06
1970,3.60334000792e-06
1969,1.44750845797e-06
1968,4.16364644585e-06
1967,1.87293766152e-06
1966,2.96196905779e-06
1965,3.51870661728e-06
1964,2.34060937765e-06
1963,4.17087071476e-06
1962,9.65330555327e-06
1961,4.11308854698e-06
1960,8.6388184071e-06
1959,4.10272063714e-06
1958,4.32314469003e-06
1957,3.96243087209e-06
1956,6.65992682072e-06
1955,3.26509289189e-06
1954,3.41913239027e-06
1953,3.40665592434e-06
1952,2.12760298928e-06
1951,3.86450173599e-06
1950,5.72773473298e-06
1949,2.0313921181e-06
1948,8.73706300351e-06
1947,1.08334145839e-06
1946,5.31736391093e-06
1945,8.68350108076e-06
1944,3.24464001692e-06
1943,2.63268398183e-06
1942,1.67043163397e-06
1941,3.90589036166e-06
1940,4.53427857927e-06
1939,8.94356387605e-06
1938,2.75025687399e-06
1937,5.12863382939e-07
1936,2.99963918626e-06
1935,1.29275462742e-06
1934,4.2437634713e-07
1933,1.65370369681e-06
1932,2.12612152911e-06
1931,1.23822704048e-06
1930,4.33628214974e-07
1929,1.24903096015e-06
1928,4.06332777606e-07
1927,0.0
1926,4.73734276759e-07
1925,0.0
1924,4.63239619958e-07
1923,0.0
1922,1.16006387312e-06
1921,8.092304057e-07
1920,2.64227087328e-06
1919,8.99227204141e-07
1918,0.0
1917,0.0
1916,1.14353215355e-06
1915,5.55877346775e-07
1914,0.0
1913,0.0
1912,1.05914700537e-06
1911,0.0
1910,0.0
1909,1.03596722821e-06
1908,9.91649321067e-07
1907,0.0
1906,1.23112379442e-06
1905,1.27441378559e-06
1904,0.0
1903,1.95781943292e-06
1902,0.0
1901,0.0
1900,1.24901015945e-06
1899,1.28908007379e-06
1898,1.31853323726e-06
1897,3.23735650417e-06
1896,1.88772325474e-06
1895,1.31427114465e-06
1894,0.0
1893,1.91065156403e-06
1892,6.42775143114e-07
1891,0.0
1890,0.0
1889,0.0
1888,1.41607156259e-06
1887,0.0
1886,6.75135567222e-07
1885,2.12811991246e-06
1884,6.95157463593e-07
1883,7.13056201664e-07
1882,1.37776629639e-06
1881,7.00764463954e-07
1880,0.0
1879,0.0
1878,1.12167102062e-06
1877,0.0
1876,1.27804836902e-06
1875,2.63465733647e-06
1874,0.0
1873,2.63811174514e-06
1872,2.73152024125e-06
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,1.85733097824e-06
1865,0.0
1864,1.87676768056e-06
1863,0.0
1862,0.0
1861,0.0
1860,1.81395036669e-06
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,1.75494015654e-06
1854,0.0
1853,0.0
1852,5.84674511699e-06
1851,0.0
1850,0.0
1849,1.73324043165e-06
1848,0.0
1847,1.75930584828e-06
1846,0.0
1845,0.0
1844,2.02522621777e-06
1843,0.0
1842,4.56817081304e-06
1841,0.0
1840,0.0
1839,0.0
1838,2.73019651955e-06
1837,0.0
1836,2.20331290128e-06
1835,2.17092566099e-06
1834,2.07875141875e-06
1833,0.0
1832,6.64197328598e-06
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,4.97373865988e-06
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,6.66635557007e-06
1815,0.0
1814,0.0
1813,0.0
1812,0.0
