date,freq
2017,0.0
2016,2.85173027308e-07
2015,0.0
2014,3.07084563719e-07
2013,0.0
2012,2.98800019123e-07
2011,0.0
2010,0.0
2009,8.38029791959e-07
2008,2.75831023708e-07
2007,2.87488252511e-07
2006,0.0
2005,2.81518057976e-07
2004,2.82514047305e-07
2003,5.88629502758e-07
2002,0.0
2001,0.0
2000,3.08314248681e-07
1999,0.0
1998,0.0
1997,0.0
1996,0.0
1995,0.0
1994,2.97896996156e-07
1993,0.0
1992,2.65527095181e-07
1991,0.0
1990,0.0
1989,0.0
1988,2.6899002316e-07
1987,8.34736153814e-07
1986,0.0
1985,5.64603961374e-07
1984,0.0
1983,5.73521433069e-07
1982,8.65575041894e-07
1981,0.0
1980,0.0
1979,3.37791619728e-07
1978,0.0
1977,3.34374799375e-07
1976,9.72805229801e-07
1975,3.45866976102e-07
1974,3.36183384002e-07
1973,0.0
1972,3.53801705466e-07
1971,7.0995196465e-07
1970,3.60334000792e-07
1969,7.23754228986e-07
1968,0.0
1967,1.12376259691e-06
1966,1.11073839667e-06
1965,0.0
1964,7.80203125884e-07
1963,7.58340129957e-07
1962,4.02221064719e-07
1961,1.23392656409e-06
1960,8.227446102e-07
1959,1.23081619114e-06
1958,8.64628938007e-07
1957,1.3208102907e-06
1956,8.87990242763e-07
1955,1.3993255251e-06
1954,2.93068490595e-06
1953,9.73330264099e-07
1952,1.59570224196e-06
1951,1.65621502971e-06
1950,5.20703157544e-07
1949,1.01569605905e-06
1948,1.63819931316e-06
1947,0.0
1946,0.0
1945,6.67961621597e-07
1944,6.48928003385e-07
1943,6.58170995457e-07
1942,1.11362108931e-06
1941,5.5798433738e-07
1940,5.66784822409e-07
1939,2.23589096901e-06
1938,1.6501541244e-06
1937,3.07718029764e-06
1936,4.71371872126e-06
1935,2.15459104569e-06
1934,5.09251616556e-06
1933,8.26851848407e-07
1932,1.70089722329e-06
1931,3.71468112145e-06
1930,3.03539750482e-06
1929,1.24903096015e-06
1928,4.87599333127e-06
1927,3.23149358248e-06
1926,2.3686713838e-06
1925,4.12486611372e-06
1924,2.31619809979e-06
1923,3.05722202464e-06
1922,1.74009580968e-06
1921,1.6184608114e-06
1920,4.4037847888e-06
1919,4.4961360207e-06
1918,2.9682200104e-06
1917,3.63302345662e-06
1916,2.85883038388e-06
1915,2.77938673388e-06
1914,3.75823792331e-06
1913,3.3405600783e-06
1912,3.1774410161e-06
1911,4.12310137624e-06
1910,3.01709485947e-06
1909,1.03596722821e-06
1908,1.4874739816e-06
1907,2.16036497206e-06
1906,2.46224758884e-06
1905,4.46044824956e-06
1904,3.93986453432e-06
1903,1.95781943292e-06
1902,5.47777870596e-06
1901,3.42715748131e-06
1900,2.4980203189e-06
1899,3.22270018447e-06
1898,5.27413294902e-06
1897,7.12218430918e-06
1896,1.25848216982e-06
1895,1.97140671698e-06
1894,1.89051641346e-06
1893,3.18441927338e-06
1892,3.85665085868e-06
1891,1.85430021491e-06
1890,1.96636596561e-06
1889,6.8634697997e-07
1888,2.83214312518e-06
1887,1.3342984759e-06
1886,6.076220105e-06
1885,7.09373304154e-07
1884,4.86610224515e-06
1883,2.13916860499e-06
1882,4.13329888918e-06
1881,8.40917356744e-06
1880,2.80846217739e-06
1879,1.21763006572e-05
1878,3.36501306186e-06
1877,2.52642003754e-06
1876,3.83414510706e-06
1875,2.63465733647e-06
1874,4.0520554051e-06
1873,3.95716761771e-06
1872,4.09728036187e-06
1871,7.09364749679e-06
1870,3.92219925557e-06
1869,3.86700094742e-06
1868,2.93802241711e-06
1867,1.71402518246e-06
1866,1.85733097824e-06
1865,7.39922715072e-06
1864,5.63030304168e-06
1863,1.77847019551e-06
1862,1.04262240387e-05
1861,1.69482045919e-06
1860,1.81395036669e-06
1859,9.03598672071e-06
1858,7.30570922912e-06
1857,3.52167857287e-06
1856,6.8364966373e-06
1855,8.7747007827e-06
1854,4.45409498358e-06
1853,3.93613231702e-06
1852,7.79566015599e-06
1851,3.38696020322e-06
1850,1.02983429966e-05
1849,6.93296172658e-06
1848,1.06263150065e-05
1847,1.2315140938e-05
1846,6.19930774397e-06
1845,8.74941160207e-06
1844,6.07567865331e-06
1843,5.5539922096e-06
1842,1.14204270326e-05
1841,7.26168950468e-06
1840,8.78499172015e-06
1839,1.21512884011e-05
1838,2.73019651955e-06
1837,2.31147601612e-06
1836,8.81325160511e-06
1835,8.68370264397e-06
1834,4.1575028375e-06
1833,4.39315195473e-06
1832,4.42798219066e-06
1831,2.27530767848e-06
1830,6.82025889703e-06
1829,2.39214419845e-06
1828,2.60631144379e-06
1827,0.0
1826,1.28938257915e-05
1825,0.0
1824,4.97373865988e-06
1823,5.0655995137e-06
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,5.86530904313e-06
1817,1.20342011998e-05
1816,6.66635557007e-06
1815,6.51733284671e-06
1814,0.0
1813,7.78410019694e-06
1812,1.29806069732e-05
