date,freq
2017,0.0
2016,0.0
2015,0.0
2014,3.07084563719e-07
2013,0.0
2012,5.97600038246e-07
2011,0.0
2010,0.0
2009,2.79343263986e-07
2008,0.0
2007,0.0
2006,0.0
2005,0.0
2004,0.0
2003,5.88629502758e-07
2002,0.0
2001,0.0
2000,0.0
1999,0.0
1998,0.0
1997,0.0
1996,3.12523243916e-07
1995,3.06685717983e-07
1994,2.97896996156e-07
1993,0.0
1992,2.65527095181e-07
1991,0.0
1990,2.48714952022e-07
1989,2.59704103533e-07
1988,5.3798004632e-07
1987,2.78245384605e-07
1986,0.0
1985,2.82301980687e-07
1984,0.0
1983,2.86760716535e-07
1982,2.88525013965e-07
1981,5.96100489428e-07
1980,0.0
1979,0.0
1978,0.0
1977,0.0
1976,0.0
1975,0.0
1974,6.72366768004e-07
1973,0.0
1972,0.0
1971,0.0
1970,0.0
1969,3.61877114493e-07
1968,0.0
1967,7.49175064607e-07
1966,3.70246132224e-07
1965,3.9096740192e-07
1964,0.0
1963,7.58340129957e-07
1962,2.0111053236e-06
1961,0.0
1960,0.0
1959,8.20544127427e-07
1958,4.32314469003e-07
1957,4.40270096899e-06
1956,1.77598048553e-06
1955,4.66441841699e-07
1954,0.0
1953,0.0
1952,1.59570224196e-06
1951,2.76035838285e-06
1950,1.04140631509e-06
1949,5.07848029524e-07
1948,1.63819931316e-06
1947,0.0
1946,5.90818212326e-07
1945,2.67184648639e-06
1944,6.48928003385e-07
1943,3.29085497729e-06
1942,1.67043163397e-06
1941,2.23193734952e-06
1940,4.53427857927e-06
1939,2.23589096901e-06
1938,2.75025687399e-06
1937,5.12863382939e-07
1936,2.14259941876e-06
1935,3.01642746397e-06
1934,3.81938712417e-06
1933,9.09537033247e-06
1932,8.50448611643e-07
1931,6.19113520242e-06
1930,1.12743335893e-05
1929,8.74321672103e-06
1928,2.84432944324e-06
1927,4.15477746319e-06
1926,2.84240566056e-06
1925,9.1663691416e-06
1924,7.41183391933e-06
1923,5.60490704516e-06
1922,8.70047904838e-06
1921,1.13292256798e-05
1920,1.58536252397e-05
1919,1.43876352663e-05
1918,1.4841100052e-05
1917,1.69541094642e-05
1916,1.25788536891e-05
1915,1.05616695887e-05
1914,3.91930526288e-05
1913,1.55892803654e-05
1912,4.44841742254e-05
1911,3.5046361698e-05
1910,7.69359189166e-05
1909,4.4028607199e-05
1908,1.93371617608e-05
1907,2.59243796647e-05
1906,3.75492757299e-05
1905,3.69579997821e-05
1904,7.2887493885e-05
1903,2.34938331951e-05
1902,2.67041711915e-05
1901,2.26192393767e-05
1900,1.8110647312e-05
1899,1.54689608854e-05
1898,7.77934609981e-05
1897,1.81291964234e-05
1896,4.71930813684e-05
1895,5.32279813584e-05
1894,2.07956805481e-05
1893,3.05704250244e-05
1892,1.99260294365e-05
1891,9.33331108173e-05
1890,7.86546386245e-06
1889,3.29446550386e-05
1888,3.68178606274e-05
1887,1.13415370451e-05
1886,1.48529824789e-05
1885,1.41874660831e-06
1884,4.79658649879e-05
1883,1.42611240333e-05
1882,4.13329888918e-06
1881,1.33145248151e-05
1880,1.19359642539e-05
1879,7.10284205004e-06
1878,1.12167102062e-06
1877,1.26321001877e-06
1876,0.0
1875,0.0
1874,1.35068513503e-05
1873,1.31905587257e-06
1872,9.56032084437e-06
1871,0.0
1870,2.61479950371e-06
1869,4.38260107374e-05
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
