date,freq
2017,2.25660099186e-05
2016,2.16731500754e-05
2015,2.51209269449e-05
2014,2.67163570435e-05
2013,2.24009250977e-05
2012,2.74896017593e-05
2011,2.6194567953e-05
2010,2.22579455741e-05
2009,2.1509431327e-05
2008,2.04114957544e-05
2007,2.18491071909e-05
2006,1.70102597382e-05
2005,3.01224322034e-05
2004,2.26011237844e-05
2003,3.32575669058e-05
2002,3.41862542404e-05
2001,4.57972666229e-05
2000,3.39145673549e-05
1999,3.65521963891e-05
1998,3.97000329034e-05
1997,3.57626366149e-05
1996,1.71887784154e-05
1995,9.2005715395e-07
1994,5.06424893465e-06
1993,2.76143239917e-06
1992,4.51396061808e-06
1991,2.27681922283e-06
1990,7.46144856065e-06
1989,6.49260258831e-06
1988,4.57283039372e-06
1987,4.17368076907e-06
1986,3.92380420665e-06
1985,9.59826734336e-06
1984,2.0151902353e-05
1983,3.72788931495e-06
1982,1.38492006703e-05
1981,3.09972254503e-05
1980,3.37332856482e-05
1979,3.31035787333e-05
1978,3.08366497008e-05
1977,2.50781099531e-05
1976,2.78870832543e-05
1975,4.80755096782e-05
1974,2.45413870321e-05
1973,7.54059668742e-06
1972,7.78363752025e-06
1971,9.58435152278e-06
1970,8.28768201822e-06
1969,5.06627960291e-06
1968,5.67769969889e-06
1967,6.36798804916e-06
1966,2.59172292557e-06
1965,1.17290220576e-06
1964,1.95050781471e-06
1963,3.03336051983e-06
1962,4.02221064719e-06
1961,4.11308854698e-06
1960,2.4682338306e-06
1959,3.69244857342e-06
1958,3.02620128302e-06
1957,2.64162058139e-06
1956,4.8839463352e-06
1955,2.33220920849e-06
1954,7.32671226487e-06
1953,3.40665592434e-06
1952,1.06380149464e-06
1951,2.76035838285e-06
1950,2.08281263018e-06
1949,4.57063226572e-06
1948,1.63819931316e-06
1947,2.70835364599e-06
1946,1.18163642465e-06
1945,1.33592324319e-06
1944,2.5308192132e-05
1943,2.3035984841e-05
1942,1.83747479736e-05
1941,1.45075927719e-05
1940,2.04042536067e-05
1939,1.28563730718e-05
1938,1.375128437e-05
1937,1.48730381052e-05
1936,1.32841163963e-05
1935,1.03420370193e-05
1934,2.97063442991e-06
1933,4.54768516624e-06
1932,3.40179444657e-06
1931,3.71468112145e-06
1930,2.60176928984e-06
1929,8.32687306765e-07
1928,1.62533111042e-06
1927,2.76985164213e-06
1926,1.42120283028e-06
1925,2.2915922854e-06
1924,1.38971885987e-06
1923,2.03814801642e-06
1922,3.48019161935e-06
1921,0.0
1920,1.76151391552e-06
1919,0.0
1918,0.0
1917,6.05503909436e-07
1916,0.0
1915,1.66763204033e-06
1914,0.0
1913,5.5676001305e-07
1912,5.29573502684e-07
1911,0.0
1910,5.02849143246e-07
1909,0.0
1908,0.0
1907,5.40091243015e-07
1906,0.0
1905,0.0
1904,0.0
1903,6.52606477641e-07
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,6.36883854676e-07
1892,0.0
1891,6.18100071638e-07
1890,0.0
1889,0.0
1888,7.08035781296e-07
1887,0.0
1886,0.0
1885,7.09373304154e-07
1884,0.0
1883,7.13056201664e-07
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,1.35068513503e-06
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
